# OWD receiver: AF43  port=5003
[1782647801.385260] seq=1 owd=173.742 ms
[1782647801.405330] seq=2 owd=173.774 ms
[1782647801.425615] seq=3 owd=174.072 ms
[1782647801.445733] seq=4 owd=174.184 ms
[1782647801.465343] seq=5 owd=173.800 ms
[1782647801.485381] seq=6 owd=173.809 ms
[1782647801.505388] seq=7 owd=173.841 ms
[1782647801.525392] seq=8 owd=173.832 ms
[1782647801.545421] seq=9 owd=173.868 ms
[1782647801.565408] seq=10 owd=173.849 ms
[1782647801.585389] seq=11 owd=173.838 ms
[1782647801.656531] seq=12 owd=224.975 ms
[1782647801.756063] seq=14 owd=284.512 ms
[1782647801.780102] seq=15 owd=288.553 ms
[1782647801.811448] seq=16 owd=299.906 ms
[1782647801.848459] seq=17 owd=316.918 ms
[1782647801.918294] seq=19 owd=346.753 ms
[1782647801.980958] seq=21 owd=369.401 ms
[1782647802.023603] seq=22 owd=392.036 ms
[1782647802.109528] seq=25 owd=417.982 ms
[1782647802.136378] seq=26 owd=424.832 ms
[1782647802.309309] seq=32 owd=477.752 ms
[1782647802.358228] seq=34 owd=486.673 ms
[1782647802.714540] seq=46 owd=602.979 ms
[1782647802.788743] seq=48 owd=637.171 ms
[1782647802.813323] seq=49 owd=641.758 ms
[1782647802.887257] seq=51 owd=675.698 ms
[1782647802.971761] seq=54 owd=700.217 ms
[1782647803.106005] seq=59 owd=734.463 ms
[1782647803.135200] seq=60 owd=743.661 ms
[1782647803.647702] seq=85 owd=756.168 ms
[1782647803.671572] seq=86 owd=760.014 ms
[1782647803.708089] seq=88 owd=756.547 ms
[1782647803.721949] seq=89 owd=750.391 ms
[1782647803.739168] seq=90 owd=747.623 ms
[1782647803.801152] seq=93 owd=749.604 ms
[1782647803.846385] seq=95 owd=754.838 ms
[1782647803.892319] seq=97 owd=760.751 ms
[1782647803.927246] seq=99 owd=755.692 ms
[1782647803.948743] seq=100 owd=757.196 ms
[1782647803.978508] seq=101 owd=766.945 ms
[1782647804.155397] seq=110 owd=763.856 ms
[1782647804.217597] seq=113 owd=766.056 ms
[1782647804.370366] seq=121 owd=758.829 ms
[1782647804.548464] seq=130 owd=756.917 ms
[1782647804.565432] seq=131 owd=753.881 ms
[1782647804.638289] seq=135 owd=746.731 ms
[1782647804.717597] seq=139 owd=746.041 ms
[1782647804.744370] seq=140 owd=752.802 ms
[1782647804.771334] seq=141 owd=759.768 ms
[1782647804.792901] seq=142 owd=761.341 ms
[1782647805.054810] seq=155 owd=763.268 ms
[1782647805.131178] seq=160 owd=739.643 ms
[1782647805.233970] seq=165 owd=742.408 ms
[1782647805.330136] seq=169 owd=758.570 ms
[1782647805.350970] seq=170 owd=759.417 ms
[1782647805.470022] seq=175 owd=778.461 ms
[1782647805.549336] seq=180 owd=757.783 ms
[1782647805.614383] seq=183 owd=762.838 ms
[1782647805.733537] seq=190 owd=741.986 ms
[1782647805.778782] seq=192 owd=747.234 ms
[1782647806.070195] seq=206 owd=758.653 ms
[1782647806.295795] seq=217 owd=764.232 ms
[1782647806.319373] seq=218 owd=767.803 ms
[1782647806.370174] seq=221 owd=758.605 ms
[1782647806.443400] seq=225 owd=751.831 ms
[1782647806.470189] seq=226 owd=758.621 ms
[1782647806.516411] seq=228 owd=764.844 ms
[1782647806.529530] seq=229 owd=757.978 ms
[1782647806.611152] seq=233 owd=759.584 ms
[1782647806.787420] seq=241 owd=775.854 ms
[1782647806.804022] seq=242 owd=772.461 ms
[1782647806.822345] seq=243 owd=770.791 ms
[1782647806.867160] seq=245 owd=775.599 ms
[1782647806.883259] seq=246 owd=771.697 ms
[1782647806.993966] seq=252 owd=762.399 ms
[1782647807.101801] seq=258 owd=750.252 ms
[1782647807.125047] seq=259 owd=753.494 ms
[1782647807.215212] seq=264 owd=743.663 ms
[1782647807.306530] seq=268 owd=754.987 ms
[1782647807.565497] seq=281 owd=753.944 ms
[1782647807.821907] seq=294 owd=750.358 ms
[1782647807.976041] seq=301 owd=764.496 ms
[1782647808.030934] seq=304 owd=759.397 ms
[1782647808.053445] seq=305 owd=761.892 ms
[1782647808.135017] seq=310 owd=743.472 ms
[1782647808.258799] seq=316 owd=747.261 ms
[1782647808.280718] seq=317 owd=749.177 ms
[1782647808.506055] seq=327 owd=774.008 ms
[1782647808.571810] seq=331 owd=760.263 ms
[1782647808.636368] seq=335 owd=744.821 ms
[1782647808.701617] seq=338 owd=750.077 ms
[1782647808.724720] seq=339 owd=753.173 ms
[1782647808.780492] seq=342 owd=748.951 ms
[1782647808.838624] seq=345 owd=747.077 ms
[1782647808.903697] seq=348 owd=752.151 ms
[1782647808.984933] seq=351 owd=773.376 ms
[1782647809.010708] seq=352 owd=779.160 ms
[1782647809.067278] seq=356 owd=755.713 ms
[1782647809.185555] seq=362 owd=754.004 ms
[1782647809.213980] seq=363 owd=762.428 ms
[1782647809.259816] seq=366 owd=748.274 ms
[1782647809.278486] seq=367 owd=746.944 ms
[1782647809.297162] seq=368 owd=745.608 ms
[1782647809.324283] seq=369 owd=752.723 ms
[1782647809.422978] seq=374 owd=751.431 ms
[1782647809.576653] seq=380 owd=784.940 ms
[1782647809.640322] seq=384 owd=768.775 ms
[1782647809.648275] seq=385 owd=756.726 ms
[1782647809.773110] seq=390 owd=781.554 ms
[1782647809.818445] seq=393 owd=766.899 ms
[1782647809.863104] seq=396 owd=751.562 ms
[1782647809.958563] seq=401 owd=747.037 ms
[1782647810.074925] seq=406 owd=763.382 ms
[1782647810.178180] seq=412 owd=746.633 ms
[1782647810.224275] seq=414 owd=752.725 ms
[1782647810.314132] seq=418 owd=762.590 ms
[1782647810.361942] seq=421 owd=750.394 ms
[1782647810.382666] seq=422 owd=751.121 ms
