time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,8965719,6474603,972,677
2,10495137,7549333,1421,935
3,10456811,7393493,1443,964
4,10515382,7752722,1410,885
5,10620588,7889562,1363,911
6,10641942,7917424,1303,876
7,10773169,8213007,1232,813
8,10658397,7846322,1291,904
9,10414322,7506741,1480,941
10,10688660,8023026,1276,840
11,10570869,7776390,1367,874
12,10537360,7714384,1372,935
13,10237405,6965670,1606,1033
14,10634404,7915845,1312,873
15,9712936,6095416,1960,1119
16,9449974,5733966,2143,1173
17,9589721,5739090,2046,1161
18,9270929,5327070,2293,1193
19,9543097,5824590,2083,1170
20,10657597,8467262,1310,783
21,12491652,12498976,0,0
22,10253691,7020424,1579,878
23,11881399,11388266,440,266
24,12515646,12503031,0,0
25,10347786,7141414,1510,904
26,9562764,5754579,2079,1169
27,9644511,5933628,2013,1148
28,12124964,11949786,267,168
29,12492633,12462789,12,2
30,12498533,12507345,0,0
31,12497804,12519484,0,0
32,12457372,12387723,20,16
33,12518812,12520466,0,0
34,9802371,6026400,1893,1063
35,9615156,5940963,2030,1138
36,9487299,5695118,2142,1156
37,12483806,12793944,13,12
38,12517175,12387270,0,0
39,12496490,12644170,0,0
40,12494544,12499065,0,0
41,12523314,12506376,0,0
42,12489994,12484521,0,0
43,12499535,12511195,0,0
44,12474721,12492091,0,0
45,12511960,12520784,0,0
46,12408150,11820942,74,61
47,10540284,7782740,1381,896
48,10609126,7862025,1353,866
49,10566059,7778461,1362,911
50,9862128,6328078,1854,1120
51,9575071,5872582,2089,1169
52,9555580,5710965,2074,1143
53,10715576,8909572,1249,658
54,11931952,10853695,402,233
55,9418596,5601672,2186,1157
56,10018679,6926948,1753,995
57,12019222,11035000,334,263
58,10605814,7799632,1340,891
59,10452722,7556432,1438,932
60,11098994,10287351,575,410
61,801,801,0,0
62,1525,1525,0,0
63,642,642,0,0
64,276,276,0,0
65,1064,1064,0,0
66,615,615,0,0
67,8806384,6374261,935,648
68,10608357,7877594,1322,850
69,11451800,10275707,743,509
