time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,77,77,77
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,1385,1279,3476628
15,427,2189,6545819
16,1285,910,6403809
17,1229,695,6652348
18,1122,1122,6732194
19,1133,973,6372261
20,1332,906,7349928
21,1173,853,6672260
22,1335,854,6449151
23,1117,1276,6852677
24,1061,1274,6643319
25,1067,1440,6643524
26,1121,961,5885331
27,1119,799,6618359
28,695,320,3626790
29,183,130,959672
30,106,160,1078504
31,106,0,740308
32,0,0,310935
33,0,0,0
34,0,0,0
35,53,0,528691
36,106,106,540037
37,0,0,0
38,106,53,574288
39,130,291,989542
40,106,106,1166828
41,53,53,473535
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,106,53,626203
48,450,183,1157203
49,160,214,833410
50,0,160,514898
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,77,77,77
59,0,0,0
60,852,692,5788248
61,1333,1280,6904339
62,853,800,6456494
63,694,427,4546506
64,53,106,1003742
65,319,106,1036517
66,53,0,714568
67,0,0,0
68,77,77,830189
69,0,0,451301
70,0,0,0
71,852,1171,6559321
72,1067,853,6338760
73,373,426,8400859
74,0,0,3100445
75,0,0,0
76,0,0,0
77,0,0,0
78,77,77,77
79,0,0,0
80,0,0,2841957
81,0,0,7217131
82,0,0,6383348
