time,af41_bps,af42_bps,af43_bps
1,1282,1496,10557105
2,2087,1636,12183762
3,2560,1330,12777059
4,2926,3005,12545622
5,2977,2902,12496729
6,2796,2914,12448680
7,2296,2590,12529734
8,3063,2986,12455590
9,2739,2739,12053744
10,2934,3011,12516569
11,2917,2917,12471973
12,2926,2846,12469905
13,2945,2945,12539761
14,2063,1945,12504495
15,2071,1898,12493958
16,2597,2481,12477502
17,1880,2115,12511493
18,2308,2616,12473243
19,2670,2789,12501839
20,2989,2911,12494082
21,2922,2992,12508418
22,2829,2938,12490857
23,2905,2905,12494447
24,2861,2801,12473173
25,2940,3009,12490741
26,2445,2436,12513246
27,1966,1850,12501688
28,1671,1671,12499250
29,2465,2230,12499823
30,2381,2267,12481288
31,1589,1884,12491565
32,2096,2271,12508716
33,2193,2299,12488666
34,1807,1807,12511240
35,1870,1870,12451192
36,1984,2137,12503697
37,2182,2065,12496189
38,1923,2040,12512393
39,3040,2623,12515475
40,2998,2998,12460729
41,2929,2847,12479651
42,2951,2900,12536882
43,2867,2867,12482821
44,2905,2905,12486721
45,2955,2931,12489086
46,2778,2607,12485180
47,2336,2511,12531945
48,2190,1774,12490230
49,2469,2009,12495275
50,2113,1643,12469558
51,1529,1647,12514853
52,1200,1771,12512819
53,1848,2021,12466424
54,2844,2960,12504734
55,2870,2870,12508575
56,2356,2471,12455554
57,1846,1904,12531946
58,2228,1993,12489174
59,1966,2081,12506418
60,1736,1794,12490443
61,82,0,6794444
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,139,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,107,0
78,0,0,0
79,140,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,81,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
