# OWD receiver: AF42  port=5002
[1782649000.304525] seq=1 owd=147.438 ms
[1782649000.324504] seq=2 owd=147.386 ms
[1782649000.344605] seq=3 owd=147.488 ms
[1782649000.364526] seq=4 owd=147.410 ms
[1782649000.384841] seq=5 owd=147.729 ms
[1782649000.404353] seq=6 owd=147.243 ms
[1782649000.424598] seq=7 owd=147.476 ms
[1782649000.444546] seq=8 owd=147.241 ms
[1782649000.464477] seq=9 owd=147.349 ms
[1782649000.484772] seq=10 owd=147.660 ms
[1782649000.504971] seq=11 owd=147.548 ms
[1782649000.524569] seq=12 owd=147.424 ms
[1782649000.544761] seq=13 owd=147.644 ms
[1782649000.564504] seq=14 owd=147.403 ms
[1782649000.660213] seq=15 owd=223.121 ms
[1782649000.772057] seq=19 owd=254.939 ms
[1782649000.807951] seq=20 owd=270.830 ms
[1782649001.417453] seq=50 owd=280.323 ms
[1782649001.438011] seq=51 owd=280.882 ms
[1782649001.454322] seq=52 owd=277.194 ms
[1782649001.473459] seq=53 owd=276.323 ms
[1782649001.496843] seq=54 owd=279.725 ms
[1782649001.508982] seq=55 owd=271.864 ms
[1782649001.629816] seq=62 owd=252.702 ms
[1782649001.650513] seq=63 owd=253.398 ms
[1782649001.669850] seq=64 owd=252.743 ms
[1782649001.690925] seq=65 owd=253.813 ms
[1782649001.745690] seq=68 owd=248.565 ms
[1782649001.768342] seq=69 owd=251.220 ms
[1782649001.791223] seq=70 owd=254.102 ms
[1782649001.848326] seq=73 owd=251.216 ms
[1782649001.872357] seq=74 owd=255.251 ms
[1782649001.901163] seq=75 owd=264.032 ms
[1782649001.967090] seq=78 owd=269.958 ms
[1782649001.992909] seq=79 owd=275.780 ms
[1782649002.016108] seq=80 owd=278.982 ms
[1782649002.033219] seq=81 owd=276.084 ms
[1782649002.051642] seq=82 owd=274.519 ms
[1782649002.068039] seq=83 owd=270.921 ms
[1782649002.087648] seq=84 owd=270.513 ms
[1782649002.110290] seq=85 owd=273.154 ms
[1782649002.360674] seq=98 owd=263.562 ms
[1782649002.462290] seq=103 owd=265.189 ms
[1782649002.499386] seq=104 owd=282.271 ms
[1782649002.522202] seq=105 owd=285.094 ms
[1782649002.529776] seq=106 owd=272.666 ms
[1782649002.552222] seq=107 owd=275.108 ms
[1782649002.580260] seq=108 owd=283.152 ms
[1782649002.594602] seq=109 owd=277.485 ms
[1782649014.865457] seq=718 owd=368.327 ms
[1782649015.085865] seq=728 owd=388.749 ms
[1782649015.091815] seq=729 owd=374.705 ms
[1782649016.103693] seq=785 owd=266.572 ms
[1782649016.131711] seq=786 owd=274.600 ms
[1782649016.159053] seq=787 owd=281.928 ms
[1782649016.240473] seq=791 owd=283.355 ms
[1782649016.262398] seq=792 owd=285.268 ms
[1782649016.285024] seq=793 owd=287.889 ms
[1782649016.306581] seq=794 owd=289.454 ms
[1782649016.324204] seq=795 owd=287.072 ms
[1782649016.336701] seq=796 owd=279.572 ms
[1782649016.350962] seq=797 owd=273.842 ms
[1782649016.367306] seq=798 owd=270.189 ms
[1782649016.644999] seq=812 owd=267.888 ms
[1782649016.673797] seq=813 owd=276.686 ms
[1782649016.701255] seq=814 owd=284.148 ms
[1782649016.714100] seq=815 owd=276.982 ms
[1782649016.731536] seq=816 owd=274.426 ms
[1782649016.751723] seq=817 owd=274.611 ms
[1782649016.775225] seq=818 owd=278.113 ms
[1782649016.792307] seq=819 owd=275.207 ms
[1782649016.808789] seq=820 owd=271.686 ms
[1782649016.828504] seq=821 owd=271.387 ms
[1782649016.855371] seq=822 owd=278.240 ms
[1782649016.888884] seq=823 owd=291.745 ms
[1782649016.907839] seq=824 owd=290.708 ms
[1782649016.927416] seq=825 owd=290.285 ms
[1782649016.954929] seq=826 owd=297.801 ms
[1782649017.000170] seq=828 owd=303.045 ms
[1782649017.092515] seq=834 owd=275.387 ms
[1782649017.095221] seq=835 owd=258.080 ms
[1782649017.133391] seq=837 owd=256.263 ms
[1782649017.169472] seq=838 owd=272.354 ms
[1782649017.220901] seq=839 owd=303.784 ms
[1782649017.367133] seq=847 owd=290.010 ms
[1782649017.406656] seq=850 owd=269.515 ms
[1782649017.488512] seq=854 owd=271.394 ms
[1782649017.501979] seq=855 owd=264.861 ms
[1782649017.511735] seq=856 owd=254.628 ms
[1782649017.531564] seq=857 owd=254.447 ms
[1782649017.554841] seq=858 owd=257.720 ms
[1782649017.570611] seq=859 owd=253.487 ms
[1782649017.592370] seq=860 owd=255.259 ms
[1782649017.648948] seq=863 owd=251.837 ms
[1782649017.669943] seq=864 owd=252.830 ms
[1782649017.689269] seq=865 owd=252.158 ms
[1782649017.711018] seq=866 owd=253.913 ms
[1782649017.776565] seq=869 owd=259.452 ms
[1782649017.802265] seq=870 owd=265.156 ms
[1782649017.832336] seq=871 owd=275.233 ms
[1782649018.057746] seq=882 owd=280.616 ms
[1782649018.073580] seq=883 owd=276.454 ms
[1782649018.097207] seq=884 owd=280.069 ms
[1782649018.126156] seq=885 owd=289.026 ms
[1782649018.153414] seq=886 owd=296.293 ms
[1782649018.174754] seq=887 owd=297.623 ms
[1782649018.189701] seq=888 owd=292.570 ms
[1782649018.205333] seq=889 owd=288.201 ms
[1782649018.220390] seq=890 owd=283.255 ms
[1782649018.321383] seq=895 owd=284.272 ms
[1782649018.412916] seq=899 owd=295.801 ms
[1782649018.429384] seq=900 owd=292.268 ms
[1782649018.447557] seq=901 owd=290.447 ms
[1782649018.479522] seq=902 owd=302.406 ms
[1782649018.493937] seq=903 owd=296.819 ms
