time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,8998402,6536067,998,692
2,10678344,8030430,1280,839
3,11225626,7958675,1916,1110
4,12508916,12599362,0,0
5,12490192,12486237,0,0
6,12169341,11864593,199,105
7,11746063,10290896,571,348
8,12503887,12881968,7,7
9,11690530,11407531,245,0
10,12515916,12592132,0,0
11,12503883,12605861,0,0
12,12485289,12494181,0,0
13,12509479,12506813,0,0
14,10890372,8418475,1134,638
15,10926477,9272396,1105,641
16,11582233,9340671,899,587
17,10140308,6818124,1661,1017
18,10190722,6998867,1636,1024
19,11899696,11398980,418,302
20,12498541,12488790,0,0
21,12497422,12443379,0,0
22,12502243,12551031,0,0
23,12496632,12502652,0,0
24,12373794,12163677,90,59
25,12469283,12495261,0,0
26,11356540,9054738,842,595
27,10448709,7606830,1444,911
28,10599154,7778845,1339,924
29,10816223,8221478,1181,858
30,10533500,7714266,1391,892
31,9967459,6779038,1788,1007
32,10592824,7802328,1354,912
33,10493283,7587229,1412,931
34,10659455,7960278,1304,869
35,10117489,6869475,1687,1020
36,10596982,7777895,1349,924
37,10531971,7659199,1392,904
38,10733214,8001810,1245,887
39,12174325,12008101,236,171
40,12483207,12440590,0,0
41,12288637,11758629,162,112
42,12475047,12763301,0,0
43,12510320,12507662,0,0
44,12507402,12467710,0,0
45,12516492,12458096,0,0
46,11329674,9247739,815,568
47,10834071,8300008,1167,841
48,10714157,8146495,1274,841
49,10134888,6938346,1685,1016
50,9743462,6110912,1946,1141
51,9609319,5850400,2043,1162
52,9584482,5882279,2072,1138
53,11786885,11067767,501,349
54,12517007,12510095,0,0
55,12444513,12082017,31,15
56,9556762,5682335,2084,1184
57,10216360,7060401,1618,1002
58,9992621,6652742,1794,1042
59,10526671,7585459,1420,898
60,10159738,9149931,733,434
61,291,291,0,0
62,145,145,0,0
63,211,211,0,0
64,340,340,0,0
65,340,340,0,0
66,1723,1723,0,0
67,651,651,0,0
68,471,471,0,0
69,1181,1181,0,0
70,1760,1760,0,0
71,438,438,0,0
72,470,599,0,0
73,468,340,0,0
74,973,973,0,0
75,973,973,0,0
76,448,448,0,0
77,546,546,0,0
78,482,482,0,0
79,469,469,0,0
80,599,599,0,0
82,341,341,0,0
83,547,547,0,0
84,276,276,0,0
85,471,471,0,0
86,457,457,0,0
87,342,342,0,0
88,549,549,0,0
89,342,342,0,0
90,406,406,0,0
91,343,343,0,0
92,420,420,0,0
93,472,472,0,0
94,342,342,0,0
95,600,600,0,0
96,277,277,0,0
97,342,342,0,0
98,342,342,0,0
99,341,341,0,0
100,470,470,0,0
101,276,276,0,0
102,340,340,0,0
103,341,341,0,0
104,340,340,0,0
105,469,469,0,0
106,276,276,0,0
107,407,407,0,0
108,404,404,0,0
109,340,340,0,0
110,546,546,0,0
111,341,341,0,0
112,341,341,0,0
113,342,342,0,0
114,342,342,0,0
115,341,341,0,0
116,424,424,0,0
117,276,276,0,0
118,335,335,0,0
119,341,341,0,0
120,277,277,0,0
121,340,340,0,0
122,341,341,0,0
123,341,341,0,0
124,340,340,0,0
125,340,340,0,0
126,340,340,0,0
127,342,342,0,0
128,471,471,0,0
129,343,343,0,0
130,276,276,0,0
131,342,342,0,0
132,341,341,0,0
133,341,341,0,0
134,276,276,0,0
135,341,341,0,0
136,341,341,0,0
137,341,341,0,0
138,276,276,0,0
139,340,340,0,0
140,340,340,0,0
141,418,418,0,0
142,341,341,0,0
143,341,341,0,0
144,275,275,0,0
145,342,342,0,0
146,341,341,0,0
147,341,341,0,0
148,341,341,0,0
149,420,420,0,0
150,340,340,0,0
151,276,276,0,0
152,340,340,0,0
153,340,340,0,0
154,341,341,0,0
155,340,340,0,0
156,340,340,0,0
157,341,341,0,0
158,341,341,0,0
160,342,342,0,0
161,341,341,0,0
162,276,276,0,0
163,341,341,0,0
164,342,342,0,0
165,331,331,0,0
166,342,342,0,0
167,343,343,0,0
168,277,277,0,0
169,342,342,0,0
170,343,343,0,0
171,277,277,0,0
172,343,343,0,0
173,342,342,0,0
174,342,342,0,0
175,342,342,0,0
176,341,341,0,0
177,276,276,0,0
178,340,340,0,0
179,341,341,0,0
180,341,341,0,0
181,341,341,0,0
182,340,340,0,0
183,340,340,0,0
184,275,275,0,0
185,341,341,0,0
186,342,342,0,0
187,341,341,0,0
188,276,276,0,0
189,341,341,0,0
190,342,342,0,0
191,341,341,0,0
192,341,341,0,0
193,341,341,0,0
194,342,342,0,0
195,276,276,0,0
196,341,341,0,0
197,342,342,0,0
198,341,341,0,0
199,333,333,0,0
200,341,341,0,0
201,276,276,0,0
