time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,77,77,77
11,0,0,0
12,0,0,0
13,0,0,0
14,1066,906,3817947
15,1279,1279,6888769
16,640,426,2961371
17,0,0,0
18,0,0,0
19,0,0,0
20,76,76,76
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,106,0,343401
28,160,160,948549
29,159,319,1727178
30,718,1467,5490366
31,854,1408,6285018
32,747,800,3770822
33,0,0,0
34,0,0,0
35,0,0,0
36,0,41,0
37,0,0,0
38,0,0,0
39,479,266,2495599
40,1255,988,6604003
41,964,696,6816918
42,1337,1391,7027605
43,1180,1449,6706570
44,747,961,5685754
45,1175,1228,6611270
46,748,1015,6440938
47,1175,961,6575772
48,904,851,6327964
49,715,749,6298584
50,1523,1089,6527492
51,1119,959,6725068
52,587,640,3148134
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,993,717,4796721
60,1336,1657,7681950
61,1336,1010,7117679
62,1176,1176,6390968
63,373,267,1456423
64,213,53,1179612
65,160,160,917796
66,106,53,493992
67,0,0,0
68,0,0,0
69,77,183,683333
70,53,0,521567
71,0,0,0
72,480,587,5115337
73,534,587,7721366
74,77,0,3049085
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,77,77,77
80,0,0,0
81,0,0,0
82,0,0,0
