time,af41_bps,af42_bps,af43_bps
1,88271,150,683
2,31996,0,0
3,34428,0,0
4,63506,0,0
5,129237,0,0
6,260977,0,0
7,146946,0,0
8,28182,0,0
9,34149,0,0
10,37504,0,0
11,55974,0,0
12,25157,0,0
13,42157,0,0
14,0,0,0
15,281228,0,0
16,167860,0,0
17,51608,0,0
18,51935,0,0
19,25368,0,0
20,86949,0,0
21,50604,0,0
22,974008,0,85
23,339483,0,0
24,321209,0,0
25,7664,0,0
26,1352320,0,55
27,401060,0,0
28,187990,0,43
29,266690,0,0
30,363286,0,0
31,281293,0,53
32,229407,0,0
33,0,0,0
34,40089,0,0
35,47880,0,0
36,43958,0,0
37,40318,0,0
38,42253,0,0
39,46225,0,0
40,60792,0,0
41,4123,0,0
42,45879,0,0
43,64179,0,0
44,9523,0,0
45,50092,0,0
46,243685,0,0
47,127832,0,0
48,29401,0,0
49,30362,0,0
50,157771,0,0
51,163482,0,0
52,339507,0,0
53,88059,0,0
54,46148,0,0
55,206228,0,0
56,390161,0,0
57,87195,0,0
58,185060,0,46
59,99082,0,0
60,1818847,0,0
61,231,0,0
62,70,0,0
63,0,0,0
64,69,76,69
65,0,0,0
66,0,0,0
67,70,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,71,0,0
72,0,0,0
73,0,0,0
74,71,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
