# OWD receiver: AF41  port=5001
[1782731034.443209] seq=1 owd=132.264 ms
[1782731034.463045] seq=2 owd=132.076 ms
[1782731034.483052] seq=3 owd=132.087 ms
[1782731034.502954] seq=4 owd=131.977 ms
[1782731034.522990] seq=5 owd=132.019 ms
[1782731034.543031] seq=6 owd=132.066 ms
[1782731034.563070] seq=7 owd=132.075 ms
[1782731034.582971] seq=8 owd=132.006 ms
[1782731034.602908] seq=9 owd=131.947 ms
[1782731034.622961] seq=10 owd=131.997 ms
[1782731034.643024] seq=11 owd=132.053 ms
[1782731034.663096] seq=12 owd=132.129 ms
[1782731034.683316] seq=13 owd=132.350 ms
