time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,3004,2158,63,2
2,62,0,33,0
3,2525,0,26,0
4,77,0,39,0
5,124880,0,118,0
6,2943,0,106,1
7,1510,0,71,2
8,77,0,12,0
9,1508,0,34,0
10,1508,0,26,0
11,2946,0,33,0
12,77,0,31,0
13,75,0,15,0
14,11091,0,17,0
15,71732,0,207,2
16,77,0,57,3
17,77,0,41,0
18,2943,0,15,0
19,2940,0,31,0
20,4372,0,58,0
21,22938,0,45,0
22,117475,0,476,3
23,23006,0,350,1
24,7242,0,19,1
25,77,0,11,0
26,469074,37721,842,54
27,77,0,202,18
28,22984,0,34,2
29,64502,0,251,0
30,24473,1431,141,3
31,77,0,304,0
32,2943,0,32,1
33,2946,0,18,0
35,77,0,34,0
36,2937,0,37,0
37,4346,0,19,0
38,76,0,25,1
39,2946,0,47,0
40,59,0,42,0
41,1448,0,2,0
42,2943,0,37,0
43,1510,0,38,0
44,2940,0,7,0
45,18670,0,62,0
46,19540,0,159,0
47,77,0,97,0
48,10119,0,28,1
49,7242,0,13,0
50,12988,0,167,2
51,31651,0,40,0
52,31663,0,225,0
53,77,0,55,1
54,5463,0,52,1
55,111859,0,138,3
56,4372,0,143,2
57,25481,0,167,1
58,4363,0,23,0
59,28513,0,111,0
60,1426471,1429323,43,0
61,558,558,0,0
62,276,276,0,0
63,411,411,0,0
64,487,487,0,0
65,1958,1958,0,0
66,691,691,0,0
68,437,437,0,0
69,340,340,0,0
70,341,341,0,0
71,721,721,0,0
72,1246,1246,0,0
73,410,410,0,0
74,413,413,0,0
75,342,342,0,0
76,1102,1102,0,0
77,601,601,0,0
78,354,354,0,0
79,343,343,0,0
80,343,343,0,0
81,724,724,0,0
82,535,535,0,0
83,342,342,0,0
84,342,342,0,0
85,341,341,0,0
86,784,784,0,0
87,600,600,0,0
88,343,343,0,0
89,276,276,0,0
90,341,341,0,0
91,744,744,0,0
92,532,597,0,0
93,342,277,0,0
94,342,342,0,0
95,343,343,0,0
96,545,545,0,0
97,581,581,0,0
98,340,340,0,0
99,341,341,0,0
100,340,340,0,0
101,750,750,0,0
102,532,532,0,0
103,341,341,0,0
104,341,341,0,0
105,341,341,0,0
106,481,481,0,0
107,673,673,0,0
108,418,418,0,0
109,341,341,0,0
110,275,275,0,0
111,673,673,0,0
112,677,677,0,0
113,341,341,0,0
114,342,342,0,0
115,342,342,0,0
116,277,277,0,0
117,341,341,0,0
118,499,499,0,0
119,340,340,0,0
120,340,340,0,0
121,340,340,0,0
122,275,275,0,0
123,340,340,0,0
124,341,341,0,0
125,341,341,0,0
126,340,340,0,0
127,341,341,0,0
128,340,340,0,0
