# OWD receiver: AF42  port=5002
[1782824770.847392] seq=1 owd=0.084 ms
[1782824770.867638] seq=2 owd=0.220 ms
[1782824770.887676] seq=3 owd=0.338 ms
[1782824770.967590] seq=6 owd=20.244 ms
[1782824771.067585] seq=11 owd=20.246 ms
[1782824771.227584] seq=19 owd=20.243 ms
[1782824771.387613] seq=27 owd=20.269 ms
[1782824771.407611] seq=28 owd=20.242 ms
[1782824771.447611] seq=30 owd=20.247 ms
[1782824771.547596] seq=35 owd=20.254 ms
[1782824771.687605] seq=42 owd=20.261 ms
[1782824771.727574] seq=44 owd=20.234 ms
[1782824771.827592] seq=49 owd=20.249 ms
[1782824771.907914] seq=53 owd=20.568 ms
[1782824771.967580] seq=56 owd=20.241 ms
[1782824771.987575] seq=57 owd=20.233 ms
[1782824772.067597] seq=61 owd=20.256 ms
[1782824772.107605] seq=63 owd=20.260 ms
[1782824772.127581] seq=64 owd=20.258 ms
[1782824772.267586] seq=71 owd=20.242 ms
[1782824772.367595] seq=76 owd=20.255 ms
[1782824772.387587] seq=77 owd=20.238 ms
[1782824772.407713] seq=78 owd=20.370 ms
[1782824772.447597] seq=80 owd=20.254 ms
[1782824772.467571] seq=81 owd=20.228 ms
[1782824772.527600] seq=84 owd=20.261 ms
[1782824772.547563] seq=85 owd=20.243 ms
[1782824772.607576] seq=88 owd=20.242 ms
[1782824772.807571] seq=98 owd=20.247 ms
[1782824773.127587] seq=114 owd=20.245 ms
[1782824773.207580] seq=118 owd=20.236 ms
[1782824773.267598] seq=121 owd=20.257 ms
[1782824773.447601] seq=130 owd=20.260 ms
[1782824773.467582] seq=131 owd=20.239 ms
[1782824773.527591] seq=134 owd=20.250 ms
[1782824773.547575] seq=135 owd=20.241 ms
[1782824773.827592] seq=149 owd=20.241 ms
[1782824773.927586] seq=154 owd=20.244 ms
[1782824773.967582] seq=156 owd=20.236 ms
[1782824774.087594] seq=162 owd=20.253 ms
[1782824774.187601] seq=167 owd=20.258 ms
[1782824774.267596] seq=171 owd=20.255 ms
[1782824774.307572] seq=173 owd=20.235 ms
[1782824774.367608] seq=176 owd=20.262 ms
[1782824774.567616] seq=186 owd=20.265 ms
[1782824774.587589] seq=187 owd=20.248 ms
[1782824774.647629] seq=190 owd=20.277 ms
[1782824774.827574] seq=199 owd=20.240 ms
[1782824774.907701] seq=203 owd=20.372 ms
[1782824775.047578] seq=210 owd=20.233 ms
