time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1426077673,734782708,383442789
2,1786534490,892949635,446456890
3,1785567199,892456430,446197352
4,1785898308,892626758,446295762
5,1785624543,892481142,446227418
6,1785973486,892678035,446308105
7,1782881505,891119773,445537509
8,1787290948,893319518,446641936
9,1785848171,892606726,446280780
10,1785038264,892201685,446078872
11,1785034023,892195152,446075207
12,1786611333,892979831,446462924
13,1784613934,891994327,445984091
14,1787032003,893185228,446561652
15,1784287763,891826489,445890952
16,1788074982,893710563,446833402
17,1783983322,891674429,445810667
18,1784841996,892103471,446033966
19,1786516077,892932085,446439441
20,1750691583,875027713,437491950
21,0,0,0
22,77,77,77
23,0,0,0
24,0,0,0
25,0,0,69
26,0,0,0
27,0,0,0
28,0,0,0
29,69,0,0
30,0,0,0
31,0,0,0
32,77,77,77
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1761485225,903146411,450217922
43,1785230230,892289000,446127124
44,1786650896,893002972,446474671
45,1785525854,892445406,446200254
46,1784488401,891926519,445940837
47,1787288573,893313172,446639034
48,1785105816,892239404,446093209
49,1785288687,892326984,446141387
50,1786644477,893000244,446477512
51,1784300616,891828153,445896101
52,1787134607,893244705,446591394
53,1782901940,891129242,445551347
54,1787423104,893393870,446683460
55,1786161217,892749936,446343410
56,1785016021,892203723,446075261
57,1785109825,892219669,446087864
58,1786528539,892946507,446450993
59,1784734520,892040741,445998534
60,1710442013,868342815,460991785
61,0,0,0
62,77,77,77
63,0,0,0
