# OWD receiver: AF42  port=5002
[1782824848.735814] seq=1 owd=0.123 ms
[1782824848.755839] seq=2 owd=0.113 ms
[1782824848.775922] seq=3 owd=0.201 ms
[1782824848.975974] seq=12 owd=20.247 ms
[1782824849.075984] seq=17 owd=20.259 ms
[1782824849.155977] seq=21 owd=20.256 ms
[1782824849.395952] seq=33 owd=20.227 ms
[1782824849.475966] seq=37 owd=20.249 ms
[1782824849.635987] seq=45 owd=20.257 ms
[1782824849.716002] seq=49 owd=20.274 ms
[1782824849.815954] seq=54 owd=20.230 ms
[1782824850.156060] seq=71 owd=20.335 ms
[1782824850.176004] seq=72 owd=20.272 ms
[1782824850.276107] seq=77 owd=20.354 ms
[1782824850.295951] seq=78 owd=20.228 ms
[1782824850.535980] seq=90 owd=20.254 ms
[1782824850.555966] seq=91 owd=20.247 ms
[1782824850.595972] seq=93 owd=20.250 ms
[1782824850.775975] seq=102 owd=20.238 ms
[1782824850.855971] seq=106 owd=20.242 ms
[1782824850.895972] seq=108 owd=20.241 ms
[1782824850.915999] seq=109 owd=20.236 ms
[1782824851.115974] seq=119 owd=20.253 ms
[1782824851.135957] seq=120 owd=20.231 ms
[1782824851.215964] seq=124 owd=20.243 ms
[1782824851.375973] seq=132 owd=20.244 ms
[1782824851.395969] seq=133 owd=20.241 ms
[1782824851.495981] seq=138 owd=20.257 ms
[1782824851.535977] seq=140 owd=20.255 ms
[1782824851.635977] seq=145 owd=20.257 ms
[1782824851.755972] seq=151 owd=20.246 ms
[1782824851.775951] seq=152 owd=20.234 ms
[1782824851.915992] seq=159 owd=20.263 ms
[1782824852.035996] seq=165 owd=20.265 ms
[1782824852.156317] seq=171 owd=20.582 ms
[1782824852.195979] seq=173 owd=20.257 ms
[1782824852.256006] seq=176 owd=20.277 ms
[1782824852.355971] seq=181 owd=20.247 ms
[1782824852.415973] seq=184 owd=20.252 ms
[1782824852.435964] seq=185 owd=20.239 ms
[1782824852.615964] seq=194 owd=20.241 ms
