time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,AF41,124057
1,LER_Ingress,leri-cr1,AF42,162115
1,LER_Ingress,leri-cr1,AF43,76774
1,LER_Ingress,leri-cr2,AF41,0
1,LER_Ingress,leri-cr2,AF42,0
1,LER_Ingress,leri-cr2,AF43,0
1,LER_Ingress,leri-cr3,AF41,0
1,LER_Ingress,leri-cr3,AF42,0
1,LER_Ingress,leri-cr3,AF43,0
2,LER_Ingress,leri-cr1,AF41,157188
2,LER_Ingress,leri-cr1,AF42,202454
2,LER_Ingress,leri-cr1,AF43,101223
2,LER_Ingress,leri-cr2,AF41,0
2,LER_Ingress,leri-cr2,AF42,0
2,LER_Ingress,leri-cr2,AF43,0
2,LER_Ingress,leri-cr3,AF41,0
2,LER_Ingress,leri-cr3,AF42,0
2,LER_Ingress,leri-cr3,AF43,0
3,LER_Ingress,leri-cr1,AF41,152633
3,LER_Ingress,leri-cr1,AF42,202456
3,LER_Ingress,leri-cr1,AF43,101232
3,LER_Ingress,leri-cr2,AF41,0
3,LER_Ingress,leri-cr2,AF42,0
3,LER_Ingress,leri-cr2,AF43,0
3,LER_Ingress,leri-cr3,AF41,0
3,LER_Ingress,leri-cr3,AF42,0
3,LER_Ingress,leri-cr3,AF43,0
4,LER_Ingress,leri-cr1,AF41,154399
4,LER_Ingress,leri-cr1,AF42,202245
4,LER_Ingress,leri-cr1,AF43,101127
4,LER_Ingress,leri-cr2,AF41,0
4,LER_Ingress,leri-cr2,AF42,0
4,LER_Ingress,leri-cr2,AF43,0
4,LER_Ingress,leri-cr3,AF41,0
4,LER_Ingress,leri-cr3,AF42,0
4,LER_Ingress,leri-cr3,AF43,0
5,LER_Ingress,leri-cr1,AF41,156556
5,LER_Ingress,leri-cr1,AF42,202442
5,LER_Ingress,leri-cr1,AF43,101220
5,LER_Ingress,leri-cr2,AF41,0
5,LER_Ingress,leri-cr2,AF42,0
5,LER_Ingress,leri-cr2,AF43,0
5,LER_Ingress,leri-cr3,AF41,0
5,LER_Ingress,leri-cr3,AF42,0
5,LER_Ingress,leri-cr3,AF43,0
6,LER_Ingress,leri-cr1,AF41,156334
6,LER_Ingress,leri-cr1,AF42,202352
6,LER_Ingress,leri-cr1,AF43,101173
6,LER_Ingress,leri-cr2,AF41,0
6,LER_Ingress,leri-cr2,AF42,0
6,LER_Ingress,leri-cr2,AF43,0
6,LER_Ingress,leri-cr3,AF41,0
6,LER_Ingress,leri-cr3,AF42,0
6,LER_Ingress,leri-cr3,AF43,0
7,LER_Ingress,leri-cr1,AF41,157511
7,LER_Ingress,leri-cr1,AF42,202575
7,LER_Ingress,leri-cr1,AF43,101283
7,LER_Ingress,leri-cr2,AF41,0
7,LER_Ingress,leri-cr2,AF42,0
7,LER_Ingress,leri-cr2,AF43,0
7,LER_Ingress,leri-cr3,AF41,0
7,LER_Ingress,leri-cr3,AF42,0
7,LER_Ingress,leri-cr3,AF43,0
8,LER_Ingress,leri-cr1,AF41,150064
8,LER_Ingress,leri-cr1,AF42,202629
8,LER_Ingress,leri-cr1,AF43,101315
8,LER_Ingress,leri-cr2,AF41,0
8,LER_Ingress,leri-cr2,AF42,0
8,LER_Ingress,leri-cr2,AF43,0
8,LER_Ingress,leri-cr3,AF41,0
8,LER_Ingress,leri-cr3,AF42,0
8,LER_Ingress,leri-cr3,AF43,0
9,LER_Ingress,leri-cr1,AF41,157249
9,LER_Ingress,leri-cr1,AF42,202870
9,LER_Ingress,leri-cr1,AF43,101434
9,LER_Ingress,leri-cr2,AF41,0
9,LER_Ingress,leri-cr2,AF42,0
9,LER_Ingress,leri-cr2,AF43,0
9,LER_Ingress,leri-cr3,AF41,0
9,LER_Ingress,leri-cr3,AF42,0
9,LER_Ingress,leri-cr3,AF43,0
10,LER_Ingress,leri-cr1,AF41,155474
10,LER_Ingress,leri-cr1,AF42,202516
10,LER_Ingress,leri-cr1,AF43,101260
10,LER_Ingress,leri-cr2,AF41,0
10,LER_Ingress,leri-cr2,AF42,0
10,LER_Ingress,leri-cr2,AF43,0
10,LER_Ingress,leri-cr3,AF41,0
10,LER_Ingress,leri-cr3,AF42,0
10,LER_Ingress,leri-cr3,AF43,0
11,LER_Ingress,leri-cr1,AF41,158694
11,LER_Ingress,leri-cr1,AF42,202697
11,LER_Ingress,leri-cr1,AF43,101355
11,LER_Ingress,leri-cr2,AF41,0
11,LER_Ingress,leri-cr2,AF42,0
11,LER_Ingress,leri-cr2,AF43,0
11,LER_Ingress,leri-cr3,AF41,0
11,LER_Ingress,leri-cr3,AF42,0
11,LER_Ingress,leri-cr3,AF43,0
12,LER_Ingress,leri-cr1,AF41,160009
12,LER_Ingress,leri-cr1,AF42,202811
12,LER_Ingress,leri-cr1,AF43,101408
12,LER_Ingress,leri-cr2,AF41,0
12,LER_Ingress,leri-cr2,AF42,0
12,LER_Ingress,leri-cr2,AF43,0
12,LER_Ingress,leri-cr3,AF41,0
12,LER_Ingress,leri-cr3,AF42,0
12,LER_Ingress,leri-cr3,AF43,0
13,LER_Ingress,leri-cr1,AF41,161295
13,LER_Ingress,leri-cr1,AF42,202290
13,LER_Ingress,leri-cr1,AF43,101148
13,LER_Ingress,leri-cr2,AF41,0
13,LER_Ingress,leri-cr2,AF42,0
13,LER_Ingress,leri-cr2,AF43,0
13,LER_Ingress,leri-cr3,AF41,0
13,LER_Ingress,leri-cr3,AF42,0
13,LER_Ingress,leri-cr3,AF43,0
14,LER_Ingress,leri-cr1,AF41,158646
14,LER_Ingress,leri-cr1,AF42,202552
14,LER_Ingress,leri-cr1,AF43,101277
14,LER_Ingress,leri-cr2,AF41,0
14,LER_Ingress,leri-cr2,AF42,0
14,LER_Ingress,leri-cr2,AF43,0
14,LER_Ingress,leri-cr3,AF41,0
14,LER_Ingress,leri-cr3,AF42,0
14,LER_Ingress,leri-cr3,AF43,0
15,LER_Ingress,leri-cr1,AF41,156098
15,LER_Ingress,leri-cr1,AF42,202384
15,LER_Ingress,leri-cr1,AF43,101192
15,LER_Ingress,leri-cr2,AF41,0
15,LER_Ingress,leri-cr2,AF42,0
15,LER_Ingress,leri-cr2,AF43,0
15,LER_Ingress,leri-cr3,AF41,0
15,LER_Ingress,leri-cr3,AF42,0
15,LER_Ingress,leri-cr3,AF43,0
16,LER_Ingress,leri-cr1,AF41,158375
16,LER_Ingress,leri-cr1,AF42,202103
16,LER_Ingress,leri-cr1,AF43,101046
16,LER_Ingress,leri-cr2,AF41,0
16,LER_Ingress,leri-cr2,AF42,0
16,LER_Ingress,leri-cr2,AF43,0
