time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1428346032,733086054,383005566
2,1784364015,891869368,445912869
3,1787422782,893384923,446665673
4,1785606726,892481273,446227281
5,1784234294,891799566,445873343
6,1786277478,892812137,446379576
7,1786820848,893092480,446528892
8,1785280083,892327198,446141548
9,1784072866,891710290,445828652
10,1787423104,893384869,446674674
11,1782140411,890753288,445358865
12,1788174943,893760762,446853566
13,1785136586,892255584,446105687
14,1786093284,892720510,446337948
15,1785507906,892427404,446191629
16,1785762326,892568266,446266793
17,1787089749,893217866,446582414
18,1785320390,892329038,446146947
19,1783533572,891458450,445707384
20,1757221280,878288083,439112749
21,1341176483,690230282,345566689
22,1784716375,892032286,445989220
23,1784975676,892171075,446067964
24,1788353643,893850312,446898648
25,1784538145,891951948,445953789
26,1786116535,892731934,446343572
27,1785660439,892517146,446236312
28,1784868596,892112302,446034019
29,1785651331,892499412,446227150
30,1786904216,893134507,446540519
31,1786597105,892976157,446474617
32,1784318242,891828529,445887476
33,1786749468,893056762,446501539
34,1785674535,892519416,446241727
35,1785002510,892183970,446069988
36,1785798025,892577097,446266417
37,1785570644,892463355,446209685
38,1785087761,892221725,446092887
39,1786155721,892756202,446355854
40,1786157930,892761155,446358133
41,1748850913,874112678,437038632
42,1806284097,946952286,486454262
43,1785418756,892382722,446173574
44,1786143132,892758961,446361490
45,1784765605,892051673,446003737
46,1786062959,892705200,446325826
47,1786211990,892796872,446376529
48,1785279546,892318314,446141387
49,1785315622,892336083,446141226
50,1783944210,891655167,445805608
51,1787530256,893429444,446692622
52,1784515243,891944199,445958839
53,1785780471,892568373,446257693
54,1785472571,892409856,446182921
55,1786114250,892744351,446349986
56,1786209190,892809656,446409646
57,1784060359,891691046,445796357
58,1785792949,892592389,446260798
59,1787147719,893238644,446632783
60,1680085071,853133443,453338154
61,0,0,0
62,0,0,0
63,0,0,0
