# OWD receiver: AF41  port=5001
[1782824695.979049] seq=1 owd=0.174 ms
[1782824695.999026] seq=2 owd=0.127 ms
[1782824696.018995] seq=3 owd=0.097 ms
[1782824696.038990] seq=4 owd=0.092 ms
[1782824696.059045] seq=5 owd=0.138 ms
[1782824696.079177] seq=6 owd=0.274 ms
[1782824696.204675] seq=12 owd=5.750 ms
[1782824696.264101] seq=15 owd=5.212 ms
[1782824696.304115] seq=17 owd=5.206 ms
[1782824696.324119] seq=18 owd=5.211 ms
[1782824696.364098] seq=20 owd=5.191 ms
[1782824696.384116] seq=21 owd=5.209 ms
[1782824696.444119] seq=24 owd=5.211 ms
[1782824696.464122] seq=25 owd=5.209 ms
[1782824696.504121] seq=27 owd=5.204 ms
[1782824696.524107] seq=28 owd=5.203 ms
[1782824696.544117] seq=29 owd=5.211 ms
[1782824696.564115] seq=30 owd=5.211 ms
[1782824696.604124] seq=32 owd=5.212 ms
[1782824696.624115] seq=33 owd=5.201 ms
[1782824696.684132] seq=36 owd=5.218 ms
[1782824696.724126] seq=38 owd=5.214 ms
[1782824696.744112] seq=39 owd=5.207 ms
[1782824696.824123] seq=43 owd=5.212 ms
[1782824696.864112] seq=45 owd=5.201 ms
[1782824696.884153] seq=46 owd=5.237 ms
[1782824696.964119] seq=50 owd=5.203 ms
[1782824696.984114] seq=51 owd=5.207 ms
[1782824697.024113] seq=53 owd=5.207 ms
[1782824697.044100] seq=54 owd=5.198 ms
[1782824697.144104] seq=59 owd=5.195 ms
[1782824697.204123] seq=62 owd=5.220 ms
[1782824697.224114] seq=63 owd=5.205 ms
[1782824697.304120] seq=67 owd=5.208 ms
[1782824697.324109] seq=68 owd=5.197 ms
[1782824697.364128] seq=70 owd=5.225 ms
[1782824697.384112] seq=71 owd=5.207 ms
[1782824697.484112] seq=76 owd=5.201 ms
[1782824697.504106] seq=77 owd=5.192 ms
[1782824697.524137] seq=78 owd=5.224 ms
[1782824697.544112] seq=79 owd=5.206 ms
[1782824697.604124] seq=82 owd=5.217 ms
[1782824697.644104] seq=84 owd=5.205 ms
[1782824697.664099] seq=85 owd=5.197 ms
[1782824697.684129] seq=86 owd=5.220 ms
[1782824697.704101] seq=87 owd=5.196 ms
[1782824697.744121] seq=89 owd=5.218 ms
[1782824697.784113] seq=91 owd=5.210 ms
[1782824697.804117] seq=92 owd=5.210 ms
[1782824697.824116] seq=93 owd=5.205 ms
[1782824697.844097] seq=94 owd=5.199 ms
[1782824697.904118] seq=97 owd=5.209 ms
[1782824697.984104] seq=101 owd=5.201 ms
[1782824698.024120] seq=103 owd=5.216 ms
[1782824698.064126] seq=105 owd=5.215 ms
[1782824698.204130] seq=112 owd=5.220 ms
[1782824698.244131] seq=114 owd=5.219 ms
[1782824698.264144] seq=115 owd=5.221 ms
[1782824698.284163] seq=116 owd=5.243 ms
[1782824698.304106] seq=117 owd=5.198 ms
