time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1368125677,705440487,370218251
2,1785982595,892659980,446307944
3,1785324238,892363059,446150540
4,1786776282,893056440,446510334
5,1784774284,892069621,446021631
6,1786316761,892827586,446382765
7,1786068984,892716290,446340513
8,1784640290,892015777,445986003
9,1785159070,892239404,446093156
10,1787340306,893343037,446644892
11,1784640290,892007152,445985950
12,1784234133,891799781,445882174
13,1787271054,893322507,446629777
14,1785306308,892326946,446150379
15,1784457646,891907041,445926920
16,1786403008,892874821,446415311
17,1785490788,892427428,446191492
18,1785985892,892675580,446311216
19,1786886537,893125452,446549520
20,1784076935,891702837,445834007
21,1786081229,892722557,446325677
22,1784296594,891835427,445899729
23,1786316504,892827157,446391769
24,1786624027,892984952,446474617
25,1785552589,892463086,446209363
26,1785553341,892454354,446200807
27,1785310566,892334262,446144887
28,1784899938,892132199,446048419
29,1786441964,892898986,446427200
30,1784828290,892087355,446012684
31,1786680362,893027408,446495675
32,1785556582,892451799,446203902
33,1785168125,892266622,446111265
34,1786966794,893161295,446558467
35,1784743727,892049733,446007097
36,1784645190,892005202,445971558
37,1786244968,892800944,446382801
38,1786707215,893026764,446495836
39,1785114226,892239888,446093371
40,1785964324,892669142,446308051
41,1783322097,891343870,445649777
42,1786540017,892944000,446454123
43,1787107607,893235832,446591424
44,1786346547,892850663,446402968
45,1783849783,891603083,445783745
46,1788083830,893719358,446833187
47,1783790646,891577761,445762507
48,1787020208,893197138,446576200
49,1785145685,892183916,446087596
50,1784430562,891951679,445944582
51,1784779105,892067556,446007151
52,1785664272,892514475,446239656
53,1787807568,893599657,446773190
54,1786158468,892733910,446349392
55,1783715922,891540461,445748206
56,1786439036,892901741,446424282
57,1783810601,891574748,445761068
58,1787601942,893465556,446710409
59,1786188328,892776294,446370413
60,1757504398,892554097,471351496
61,0,0,1379205
62,0,0,0
63,0,0,0
