time,af41_bps,af42_bps,af43_bps
1,1865645,991215,495895
2,2138632,1069345,534439
3,2131648,1066771,533642
4,2152183,1076320,537324
5,2140142,1069363,535300
6,2148206,1073841,536862
7,2140247,1070503,535115
8,2144652,1072085,535230
9,2140539,1069472,535305
10,2148978,1075025,537333
11,2144342,1070428,535047
12,2138092,1070610,535190
13,2147911,1072184,536092
14,2139797,1071505,535666
15,2145890,1072615,537047
16,2141713,1070705,534446
17,2139672,1070158,535020
18,2146275,1072522,536846
19,2141116,1070193,534277
20,2147820,1072870,536954
21,2141796,1071940,535221
22,2139650,1069482,535517
23,2145035,1071003,534715
24,2140959,1071655,536374
25,2134709,1066162,532958
26,2148001,1074646,537800
27,2137689,1067886,532954
28,2153217,1076328,538052
29,2142470,1070577,535348
30,2143929,1073623,535995
31,2141809,1070099,536198
32,2143271,1072204,535190
33,2143419,1071594,536371
34,2141510,1070546,535303
35,2133941,1065406,533413
36,2152077,1077515,537812
37,2141090,1070545,534321
38,2139967,1068929,535781
39,2149339,1074521,536992
40,2145576,1072073,536464
41,2141536,1072074,534381
42,2135283,1066595,533833
43,2145410,1073437,535840
44,2149959,1074743,537959
45,2140534,1069957,535512
46,2143036,1070524,535148
47,2133451,1067533,533593
48,2142743,1070252,534944
49,2151710,1076346,538144
50,2144938,1072234,536643
51,2133366,1066625,532572
52,2151109,1075415,537513
53,2140144,1069859,535564
54,2144750,1072767,535568
55,2145910,1072533,536176
56,2144115,1071210,536159
57,2136041,1067696,533767
58,2145717,1072737,536064
59,2145856,1072812,536896
60,2143137,1072184,535886
