# OWD receiver: AF43  port=5003
[1782762708.409628] seq=1 owd=144.623 ms
[1782762708.428937] seq=2 owd=143.897 ms
[1782762708.448828] seq=3 owd=143.802 ms
[1782762708.468966] seq=4 owd=143.925 ms
[1782762708.488910] seq=5 owd=143.877 ms
[1782762708.508914] seq=6 owd=143.878 ms
[1782762708.531831] seq=7 owd=146.805 ms
[1782762708.647440] seq=8 owd=242.419 ms
[1782762708.936201] seq=9 owd=511.180 ms
[1782762709.225224] seq=10 owd=780.201 ms
[1782762709.516946] seq=11 owd=1051.920 ms
[1782762709.805901] seq=12 owd=1320.873 ms
[1782762710.005818] seq=14 owd=1480.792 ms
[1782762711.598714] seq=93 owd=1493.695 ms
[1782762712.314502] seq=129 owd=1489.465 ms
[1782762712.573490] seq=142 owd=1488.467 ms
[1782762712.911168] seq=159 owd=1486.148 ms
[1782762713.110962] seq=169 owd=1485.911 ms
[1782762713.448744] seq=186 owd=1483.722 ms
[1782762713.545904] seq=191 owd=1480.872 ms
[1782762713.886580] seq=208 owd=1481.549 ms
[1782762713.986668] seq=213 owd=1481.633 ms
[1782762714.183396] seq=223 owd=1478.365 ms
[1782762714.828573] seq=255 owd=1483.540 ms
[1782762715.028566] seq=265 owd=1483.553 ms
[1782762715.228364] seq=275 owd=1483.342 ms
[1782762715.771113] seq=302 owd=1486.083 ms
[1782762716.414221] seq=334 owd=1489.201 ms
[1782762716.613712] seq=344 owd=1488.686 ms
[1782762717.051292] seq=366 owd=1486.267 ms
[1782762717.151317] seq=371 owd=1486.289 ms
[1782762717.588673] seq=393 owd=1483.626 ms
[1782762718.231299] seq=425 owd=1486.262 ms
[1782762719.516420] seq=489 owd=1491.388 ms
[1782762719.716208] seq=499 owd=1491.181 ms
[1782762720.593941] seq=543 owd=1488.903 ms
[1782762720.691308] seq=548 owd=1486.270 ms
[1782762721.152852] seq=571 owd=1487.823 ms
[1782762721.231177] seq=575 owd=1486.147 ms
[1782762721.768811] seq=602 owd=1483.777 ms
[1782762722.513781] seq=639 owd=1488.758 ms
[1782762722.614268] seq=644 owd=1489.238 ms
[1782762723.153855] seq=671 owd=1488.836 ms
