time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,3311623,3324504,0,0
2,3738660,3754192,0,0
3,3767287,3749276,0,0
4,3710546,3709214,0,0
5,3792608,3794118,0,0
6,3751752,3750402,0,0
7,3743660,3749464,0,0
8,3753380,3746302,0,0
9,3750613,3753550,0,0
10,3754154,3754242,0,0
11,3749974,3747179,0,0
12,3748713,3751657,0,0
13,3747018,3749956,0,0
14,3753132,3748899,0,0
15,3750778,3750859,0,0
16,3751349,3749986,0,0
17,3747520,3749077,0,0
18,3748013,3750880,0,0
19,3745502,3751295,0,0
20,3760749,3753750,0,0
21,3736583,3742301,0,0
22,3755551,3755636,0,0
23,3758976,3753395,0,0
24,3740983,3745283,0,0
25,3756858,3752638,0,0
26,3749994,3747214,0,0
27,3745273,3753913,0,0
28,3734208,3731508,0,0
29,3766742,3768187,0,0
30,3752061,3749286,0,0
31,3754794,3754863,0,0
32,3745273,3748203,0,0
33,3740725,3749376,0,0
34,3760003,3748785,0,0
35,3748909,3751723,0,0
36,3756233,3752025,0,0
37,3753216,3751932,0,0
38,3739603,3746752,0,0
39,3756051,3750425,0,0
40,3743210,3750476,0,0
41,3730513,3724845,0,0
42,3779534,3778186,0,0
43,3755071,3753765,0,0
44,3744215,3747095,0,0
45,3752319,3751003,0,0
46,3749784,3749867,0,0
47,3750556,3749196,0,0
48,3746815,3748321,0,0
49,3753203,3753276,0,0
50,3748909,3750413,0,0
51,3748094,3749601,0,0
52,3752974,3751610,0,0
53,3750747,3749405,0,0
54,3738021,3738092,0,0
55,3763830,3762477,0,0
56,3751807,3750443,0,0
57,3750376,3751894,0,0
58,3707259,3710160,0,0
59,3791725,3790426,0,0
