time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,77,77,77
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,77,77,77
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,1006175,566993,284489
23,2133359,1066573,533191
24,2137420,1068051,534337
25,2138162,1070320,533493
26,2136019,1067174,534205
27,2135877,1067826,533179
28,2137584,1070005,535556
29,2139374,1068573,534973
30,2135729,1069209,533073
31,2137316,1067150,534075
32,2136049,1068364,534021
33,2138798,1068203,534075
34,2137263,1068578,534075
35,2133829,1067093,533600
36,2136866,1070130,535103
37,2139374,1068733,535080
38,2134304,1067677,532966
39,2137634,1068835,534391
40,2135470,1066730,533917
41,2141024,1070852,534658
42,2135889,1068578,534075
43,2136682,1067200,533653
44,2135256,1067574,533707
45,2136522,1068787,535026
46,2138185,1068757,533570
47,2137156,1068417,534075
48,2135309,1068947,534919
49,2135310,1065253,532546
50,2141271,1072264,535340
51,2131934,1066146,533073
52,2137418,1068682,534759
53,2137944,1067994,533863
54,2139688,1069684,535340
55,2135728,1068524,534342
56,2135119,1067384,533677
57,2133674,1064043,532600
58,2141588,1072219,535869
59,2137530,1069899,534075
60,2136896,1067574,533546
61,2137367,1067998,534444
62,2131721,1066413,533019
63,2140908,1071586,534919
64,2137791,1068154,534658
65,2137263,1068417,534075
66,2135439,1068178,533252
67,2139595,1068101,534658
68,2135568,1068578,534128
69,2135309,1067307,533493
70,2140820,1070168,535773
71,2130189,1066359,532966
72,2138632,1067837,533179
73,2135942,1069209,534444
74,2137100,1067677,534498
75,2140537,1070687,534444
76,2136073,1066223,534521
77,2132304,1066783,532493
78,2141439,1071219,535502
79,2136102,1067784,534391
80,2135097,1066837,533863
81,2141118,1069845,534021
82,6539,277863,643360
