time,af41_bps,af42_bps,af43_bps
1,4386892,404,523
2,6015663,242,121
3,5150947,232,174
4,6018834,232,290
5,4257892,58,235
6,6258520,406,348
7,5459148,173,173
8,3133240,115,57
9,7852393,351,351
10,3968041,114,114
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,6723176,464,348
45,7647580,289,115
46,7469474,348,290
47,7420598,336,224
48,7700812,360,420
49,4531878,223,279
50,7813626,357,416
51,7811284,404,462
52,7353844,115,172
53,7340686,349,349
54,6350502,165,165
55,7516308,185,308
56,7527176,335,391
57,7339542,177,118
58,8439549,653,534
59,7598454,466,350
60,6546431,110,110
61,843001,0,0
62,137,0,0
63,149,0,0
64,232,0,0
65,80,0,0
66,86,82,82
67,70,0,0
68,0,0,0
69,0,0,0
70,83,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,72,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
