# OWD receiver: AF41  port=5001
[1782852165.246864] seq=1 owd=174.712 ms
[1782852165.266823] seq=2 owd=174.625 ms
[1782852165.286811] seq=3 owd=174.621 ms
[1782852165.306834] seq=4 owd=174.644 ms
[1782852165.326771] seq=5 owd=174.578 ms
[1782852165.346773] seq=6 owd=174.573 ms
[1782852165.366737] seq=7 owd=174.543 ms
[1782852165.386744] seq=8 owd=174.555 ms
[1782852165.406794] seq=9 owd=174.596 ms
[1782852165.426881] seq=10 owd=174.695 ms
[1782852165.446844] seq=11 owd=174.666 ms
[1782852165.466844] seq=12 owd=174.663 ms
[1782852165.486830] seq=13 owd=174.642 ms
[1782852165.506809] seq=14 owd=174.620 ms
[1782852165.526730] seq=15 owd=174.563 ms
[1782852165.547035] seq=16 owd=174.851 ms
[1782852165.566813] seq=17 owd=174.623 ms
[1782852165.586837] seq=18 owd=174.657 ms
[1782852165.606886] seq=19 owd=174.691 ms
[1782852165.630021] seq=20 owd=174.659 ms
[1782852165.646738] seq=21 owd=174.565 ms
[1782852165.666857] seq=22 owd=174.675 ms
[1782852165.686855] seq=23 owd=174.668 ms
