time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,1479939,168949,2200,185
2,2003335,256492,2760,315
3,1687363,165934,2383,300
4,1752846,251100,2952,279
5,1314419,141736,2010,196
6,1885283,233133,3020,292
7,1651183,179137,2675,186
8,1052089,85986,1546,156
9,2727337,439023,3583,494
10,1338632,189228,1591,226
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,171,0,0,1
31,130,53,1,1
32,76,0,1,0
33,77,0,1,0
34,118,0,0,1
35,76,0,1,0
36,77,77,1,0
37,187,0,0,1
38,122,80,0,1
39,80,0,1,0
40,81,81,1,0
41,122,0,0,0
42,211,0,1,1
43,916663,84278,1095,94
44,2819661,457744,3560,503
45,2736913,381563,3302,404
46,2382205,381503,3574,397
47,2690780,388648,3516,382
48,1817599,267990,2329,265
49,2507014,371194,3243,373
50,2711918,441017,3605,419
51,2600876,394872,3463,459
52,2557350,372237,3593,397
53,2357616,323299,3111,374
54,2204303,276588,3047,301
55,2832292,373299,3281,526
56,2623416,373376,3402,428
57,2938442,441198,3690,458
58,2814177,377217,3563,488
59,2896522,396047,3404,429
60,949690,687299,789,93
61,543,543,0,0
62,418,418,0,0
63,658,658,0,0
64,423,423,0,0
65,2095,2095,0,0
66,987,987,0,0
67,347,347,0,0
68,341,341,0,0
69,421,421,0,0
70,1567,1874,0,0
71,713,405,0,0
72,340,340,0,0
73,346,346,0,0
74,339,339,0,0
75,1173,1173,0,0
76,340,340,0,0
77,342,342,0,0
79,340,340,0,0
80,341,341,0,0
81,830,830,0,0
82,342,342,0,0
83,342,342,0,0
84,335,335,0,0
85,276,276,0,0
86,893,893,0,0
87,419,419,0,0
88,342,342,0,0
89,343,343,0,0
90,342,342,0,0
91,827,827,0,0
92,419,419,0,0
93,277,277,0,0
94,342,342,0,0
95,342,342,0,0
96,972,972,0,0
97,341,341,0,0
98,341,341,0,0
99,341,341,0,0
100,341,341,0,0
101,751,751,0,0
102,340,340,0,0
103,276,276,0,0
104,341,341,0,0
105,341,341,0,0
106,816,816,0,0
107,340,340,0,0
108,276,276,0,0
109,340,340,0,0
110,340,340,0,0
111,692,692,0,0
112,340,340,0,0
113,275,275,0,0
114,340,340,0,0
115,341,341,0,0
116,694,694,0,0
117,341,341,0,0
118,340,340,0,0
119,340,340,0,0
120,341,341,0,0
121,697,697,0,0
122,342,342,0,0
123,341,341,0,0
124,276,276,0,0
125,342,342,0,0
126,598,598,0,0
127,342,342,0,0
128,276,276,0,0
129,342,342,0,0
130,340,340,0,0
