time,af41_bps,af42_bps,af43_bps
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,64,128,4620090
12,332,443,7625812
13,474,415,7982098
14,282,226,8321350
15,601,360,8038680
16,285,342,6764775
17,347,289,7828509
18,172,230,2803259
19,362,362,7925585
20,229,344,8078015
21,282,225,6255844
22,344,344,7928265
23,238,298,8994954
24,286,229,6745598
25,344,401,7670809
26,232,290,8029492
27,230,288,5984224
28,229,229,8219733
29,698,698,8416417
30,416,475,8246086
31,403,346,7176879
32,287,344,7569990
33,344,287,6446495
34,400,400,6567952
35,236,355,5726869
36,174,232,7201254
37,542,542,7805277
38,392,560,7397988
39,457,457,6419499
40,222,278,6839206
41,252,189,7301149
42,288,231,7155223
43,113,113,3886769
44,454,454,7405900
45,412,412,6931983
46,119,119,2857808
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
