# OWD receiver: AF41  port=5001
[1782852342.278276] seq=1 owd=176.110 ms
[1782852342.297906] seq=2 owd=175.713 ms
[1782852342.317752] seq=3 owd=175.567 ms
[1782852342.337719] seq=4 owd=175.547 ms
[1782852342.357777] seq=5 owd=175.586 ms
[1782852342.377797] seq=6 owd=175.602 ms
[1782852342.398055] seq=7 owd=175.858 ms
[1782852342.417815] seq=8 owd=175.630 ms
[1782852342.437741] seq=9 owd=175.555 ms
[1782852342.457799] seq=10 owd=175.608 ms
[1782852342.477843] seq=11 owd=175.647 ms
[1782852342.497826] seq=12 owd=175.631 ms
[1782852342.518212] seq=13 owd=176.029 ms
