time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,2597233,338624,2921,382
2,2245604,288752,3224,425
3,2553467,315261,3260,416
4,1510230,197634,1994,208
5,2600025,372195,3486,424
6,1894966,260110,2792,283
7,1575273,115966,2552,272
8,1829998,236227,2621,257
9,1615302,174724,2582,302
10,1195625,186442,1942,224
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,172,77,0,1
31,128,75,0,0
32,187,0,0,3
33,122,81,0,0
34,122,0,0,1
35,188,0,0,1
36,122,0,0,0
37,122,0,0,1
38,81,0,0,0
39,81,0,0,0
40,77,0,0,0
41,77,0,0,1
42,76,0,0,0
43,77,77,0,0
44,76,0,0,0
45,77,77,0,0
46,77,77,1,0
47,118,59,0,0
48,76,0,1,0
49,118,0,0,1
50,77,77,1,0
51,118,0,0,1
52,118,77,0,0
53,118,59,0,0
54,76,0,1,1
55,187,0,0,1
56,81,81,1,0
57,80,80,1,0
58,187,65,0,1
59,80,0,1,0
60,80,0,1,0
61,1660,1660,0,0
62,659,677,0,0
63,346,346,0,0
64,418,418,0,0
65,1341,1341,0,0
66,1640,1640,0,0
67,555,555,0,0
68,342,342,0,0
69,340,340,0,0
70,468,468,0,0
71,1250,1250,0,0
72,437,437,0,0
73,341,341,0,0
74,341,341,0,0
75,341,1049,0,0
76,1664,956,0,0
78,340,340,0,0
79,341,341,0,0
80,341,341,0,0
81,688,688,0,0
82,666,666,0,0
83,270,270,0,0
84,341,341,0,0
85,342,342,0,0
86,962,962,0,0
87,600,600,0,0
88,342,342,0,0
89,343,343,0,0
90,342,342,0,0
91,1168,1168,0,0
92,535,535,0,0
93,342,342,0,0
94,343,343,0,0
95,342,342,0,0
96,754,754,0,0
97,372,372,0,0
98,341,341,0,0
99,340,340,0,0
100,341,341,0,0
101,752,752,0,0
102,341,341,0,0
103,342,342,0,0
104,341,341,0,0
105,342,342,0,0
106,754,754,0,0
107,342,342,0,0
108,382,382,0,0
109,341,341,0,0
110,341,341,0,0
111,751,751,0,0
112,341,341,0,0
113,341,341,0,0
114,341,341,0,0
115,341,341,0,0
116,752,752,0,0
117,275,275,0,0
118,341,341,0,0
119,340,340,0,0
120,340,340,0,0
121,597,597,0,0
122,353,353,0,0
123,341,341,0,0
124,340,340,0,0
125,341,341,0,0
126,471,471,0,0
127,342,342,0,0
128,342,342,0,0
129,342,342,0,0
