time,af41_bps,af42_bps,af43_bps
1,277,3657564,311
2,355,7163779,295
3,349,7394287,407
4,173,5641731,403
5,290,7571945,464
6,287,7101110,403
7,471,7335874,353
8,522,7498242,406
9,0,5256636,115
10,0,7838127,0
11,0,7554102,0
12,0,7469640,0
13,0,7239067,0
14,0,6813236,0
15,0,6773543,0
16,0,6735630,0
17,0,6574001,0
18,0,7367537,0
19,0,8361791,0
20,0,5829040,0
21,0,5914452,0
22,0,7474687,0
23,0,7665658,0
24,0,7876431,0
25,0,6419382,0
26,0,7708061,0
27,0,7858233,0
28,0,7236005,0
29,0,7646616,0
30,0,7797598,0
31,0,7110090,0
32,0,7116225,0
33,0,7184304,0
34,0,4007962,0
35,0,6025530,0
36,0,6353795,0
37,0,7277314,0
38,0,3865889,0
39,0,7914575,0
40,0,7568596,0
41,0,7475951,0
42,0,7476472,0
43,0,7944844,0
44,0,7181741,0
45,0,3515488,0
46,0,8266000,0
47,0,7287782,0
48,0,7255960,0
49,0,7100176,0
50,0,6739425,0
51,0,7064370,0
52,0,7832486,0
53,0,7721237,0
54,0,4395312,0
55,0,6818104,0
56,0,5409447,0
57,0,4879572,0
58,0,3265756,0
59,0,6408436,0
60,0,4236010,0
61,0,489003,0
62,0,70,0
63,0,70,0
64,0,322,0
65,76,79,76
66,0,0,0
67,0,153,0
68,0,0,0
69,0,0,0
70,0,83,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,71,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
