# OWD receiver: AF42  port=5002
[1782851991.754783] seq=1 owd=173.542 ms
[1782851991.774802] seq=2 owd=173.530 ms
[1782851991.794851] seq=3 owd=173.574 ms
[1782851991.814819] seq=4 owd=173.555 ms
[1782851991.834867] seq=5 owd=173.596 ms
[1782851991.855081] seq=6 owd=173.582 ms
[1782851991.874857] seq=7 owd=173.591 ms
[1782851991.894726] seq=8 owd=173.461 ms
[1782851991.914890] seq=9 owd=173.626 ms
[1782851991.934878] seq=10 owd=173.604 ms
[1782851991.954784] seq=11 owd=173.514 ms
[1782851991.974858] seq=12 owd=173.582 ms
[1782851991.994886] seq=13 owd=173.476 ms
