time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,1215390,129535,1719,150
2,2703511,383311,3076,469
3,2549381,404501,3281,426
4,1938805,234855,2569,341
5,2622933,402881,3559,455
6,2601966,334788,3129,416
7,2477176,379532,3326,432
8,2468223,368485,3470,413
9,1808824,222130,2446,315
10,2938166,401328,3396,491
11,2319008,354035,3571,381
12,2598115,403101,3453,453
13,2624202,381282,3147,417
14,2376333,342570,3016,362
15,2347670,361141,3204,367
16,2574101,333912,3068,406
17,2330594,287199,2897,441
18,2548760,360784,3334,401
19,3177437,508751,3802,559
20,2093255,224774,2454,321
21,2129916,247495,2736,353
22,2542179,402996,3399,446
23,2672870,411300,3471,402
24,2870835,380827,3430,389
25,2488975,326100,2948,422
26,2715924,378338,3318,454
27,2895049,407223,3650,391
28,2253661,356548,3217,377
29,2927877,466910,3564,472
30,2988057,445253,3579,443
31,2221407,344013,3119,324
32,2748019,463919,3405,406
33,1969727,278902,2526,353
34,1015681,108700,2387,124
35,2009343,243627,2830,242
36,2653509,384741,3296,394
37,1856023,250547,2274,335
38,2423064,353275,2722,364
39,2933730,447792,3657,405
40,2534332,368001,3231,351
41,2688782,369374,3160,426
42,2840702,496302,3534,472
43,2753592,348717,3249,438
44,1661658,208406,2300,350
45,2411162,349782,2898,334
46,2843610,487239,3587,421
47,2766318,425798,3312,488
48,2813604,395792,3308,426
49,1944804,298630,2672,257
50,2430618,351110,3134,352
51,2735274,412124,3464,464
52,2895107,518161,3502,500
53,2583867,373990,3120,420
54,1581875,182893,2230,227
55,2163465,286396,2748,368
56,1357312,210457,2251,204
57,1565578,238950,2589,270
58,1446134,155899,1922,207
59,1343358,201269,2214,219
60,738326,183382,1355,145
61,347,347,0,0
62,412,412,0,0
63,645,645,0,0
64,438,438,0,0
65,2642,2642,0,0
66,498,498,0,0
67,413,413,0,0
68,341,341,0,0
69,422,422,0,0
70,1458,1458,0,0
71,341,341,0,0
72,276,276,0,0
73,411,411,0,0
74,341,341,0,0
75,1443,1443,0,0
76,341,341,0,0
77,341,341,0,0
78,275,340,0,0
79,341,276,0,0
80,1155,1155,0,0
81,340,340,0,0
83,340,340,0,0
84,341,341,0,0
85,276,341,0,0
86,1345,1279,0,0
87,474,474,0,0
88,277,277,0,0
89,383,401,0,0
90,342,342,0,0
91,1166,1166,0,0
92,277,277,0,0
93,342,342,0,0
94,342,342,0,0
95,342,342,0,0
96,755,755,0,0
97,341,341,0,0
98,277,277,0,0
99,341,341,0,0
100,276,276,0,0
101,752,752,0,0
102,341,341,0,0
103,277,277,0,0
104,341,341,0,0
105,333,333,0,0
106,752,752,0,0
107,342,342,0,0
108,275,340,0,0
109,341,276,0,0
110,340,340,0,0
111,750,750,0,0
112,406,406,0,0
113,275,275,0,0
114,340,340,0,0
115,342,342,0,0
116,736,736,0,0
117,342,342,0,0
118,277,277,0,0
119,342,342,0,0
120,342,407,0,0
121,755,689,0,0
122,422,422,0,0
123,341,341,0,0
124,341,341,0,0
125,597,597,0,0
126,340,340,0,0
127,275,275,0,0
128,340,340,0,0
129,341,341,0,0
