# OWD receiver: AF41  port=5001
[1782838867.536657] seq=1 owd=0.191 ms
[1782838867.556666] seq=2 owd=0.134 ms
[1782838867.576642] seq=3 owd=0.148 ms
[1782838867.596736] seq=4 owd=0.243 ms
[1782838867.616576] seq=5 owd=0.083 ms
[1782838867.636589] seq=6 owd=0.095 ms
[1782838867.656604] seq=7 owd=0.104 ms
[1782838867.676583] seq=8 owd=0.113 ms
[1782838867.696628] seq=9 owd=0.133 ms
[1782838867.716640] seq=10 owd=0.106 ms
[1782838867.736604] seq=11 owd=0.114 ms
[1782838867.756589] seq=12 owd=0.091 ms
[1782838867.776701] seq=13 owd=0.203 ms
[1782838867.796593] seq=14 owd=0.099 ms
[1782838867.816808] seq=15 owd=0.267 ms
[1782838867.836593] seq=16 owd=0.106 ms
[1782838867.856578] seq=17 owd=0.109 ms
[1782838867.876631] seq=18 owd=0.101 ms
[1782838867.896576] seq=19 owd=0.094 ms
[1782838867.916586] seq=20 owd=0.098 ms
[1782838867.936593] seq=21 owd=0.088 ms
[1782838867.956655] seq=22 owd=0.145 ms
[1782838867.976609] seq=23 owd=0.111 ms
[1782838867.996598] seq=24 owd=0.097 ms
[1782838868.016609] seq=25 owd=0.115 ms
[1782838868.036611] seq=26 owd=0.100 ms
[1782838868.056595] seq=27 owd=0.122 ms
[1782838868.076594] seq=28 owd=0.106 ms
[1782838868.096569] seq=29 owd=0.079 ms
[1782838868.116596] seq=30 owd=0.110 ms
[1782838868.136587] seq=31 owd=0.099 ms
[1782838868.156597] seq=32 owd=0.100 ms
[1782838868.176599] seq=33 owd=0.112 ms
[1782838868.196610] seq=34 owd=0.121 ms
[1782838868.216592] seq=35 owd=0.097 ms
[1782838868.236596] seq=36 owd=0.105 ms
[1782838868.256580] seq=37 owd=0.091 ms
[1782838868.276605] seq=38 owd=0.084 ms
[1782838868.296567] seq=39 owd=0.078 ms
[1782838868.316622] seq=40 owd=0.125 ms
[1782838868.336601] seq=41 owd=0.103 ms
[1782838868.356599] seq=42 owd=0.102 ms
[1782838868.376621] seq=43 owd=0.119 ms
[1782838868.396756] seq=44 owd=0.263 ms
[1782838868.416595] seq=45 owd=0.090 ms
[1782838868.436646] seq=46 owd=0.159 ms
[1782838868.456590] seq=47 owd=0.099 ms
[1782838868.476581] seq=48 owd=0.091 ms
[1782838868.496587] seq=49 owd=0.098 ms
[1782838868.516607] seq=50 owd=0.114 ms
[1782838868.536585] seq=51 owd=0.090 ms
[1782838868.556599] seq=52 owd=0.102 ms
[1782838868.576603] seq=53 owd=0.110 ms
[1782838868.596581] seq=54 owd=0.098 ms
[1782838868.616580] seq=55 owd=0.089 ms
[1782838868.636654] seq=56 owd=0.165 ms
[1782838868.656774] seq=57 owd=0.247 ms
[1782838868.676601] seq=58 owd=0.091 ms
[1782838868.696592] seq=59 owd=0.109 ms
[1782838868.716638] seq=60 owd=0.137 ms
[1782838868.736578] seq=61 owd=0.097 ms
[1782838868.756572] seq=62 owd=0.084 ms
[1782838868.776738] seq=63 owd=0.242 ms
[1782838868.796624] seq=64 owd=0.101 ms
[1782838868.816647] seq=65 owd=0.155 ms
[1782838868.836635] seq=66 owd=0.136 ms
[1782838868.856594] seq=67 owd=0.100 ms
[1782838868.876646] seq=68 owd=0.115 ms
[1782838868.896622] seq=69 owd=0.134 ms
[1782838868.916570] seq=70 owd=0.080 ms
[1782838868.936601] seq=71 owd=0.111 ms
[1782838868.956588] seq=72 owd=0.098 ms
[1782838868.976579] seq=73 owd=0.086 ms
[1782838868.996597] seq=74 owd=0.102 ms
[1782838869.016593] seq=75 owd=0.099 ms
[1782838869.036691] seq=76 owd=0.198 ms
[1782838869.056584] seq=77 owd=0.092 ms
[1782838869.076623] seq=78 owd=0.096 ms
[1782838869.096596] seq=79 owd=0.107 ms
[1782838869.116590] seq=80 owd=0.101 ms
[1782838869.136614] seq=81 owd=0.114 ms
[1782838869.156581] seq=82 owd=0.101 ms
[1782838869.176591] seq=83 owd=0.101 ms
[1782838869.196597] seq=84 owd=0.109 ms
[1782838869.216586] seq=85 owd=0.099 ms
[1782838869.236579] seq=86 owd=0.089 ms
[1782838869.256596] seq=87 owd=0.094 ms
[1782838869.276599] seq=88 owd=0.107 ms
[1782838869.296594] seq=89 owd=0.099 ms
[1782838869.316674] seq=90 owd=0.174 ms
[1782838869.336594] seq=91 owd=0.090 ms
[1782838869.356575] seq=92 owd=0.083 ms
[1782838869.376605] seq=93 owd=0.095 ms
[1782838869.396588] seq=94 owd=0.099 ms
[1782838869.416602] seq=95 owd=0.109 ms
[1782838869.436591] seq=96 owd=0.097 ms
[1782838869.456608] seq=97 owd=0.124 ms
[1782838869.476577] seq=98 owd=0.088 ms
[1782838869.496581] seq=99 owd=0.092 ms
[1782838869.516604] seq=100 owd=0.097 ms
[1782838869.536598] seq=101 owd=0.106 ms
[1782838869.556619] seq=102 owd=0.122 ms
[1782838869.576603] seq=103 owd=0.108 ms
[1782838869.596598] seq=104 owd=0.102 ms
[1782838869.616619] seq=105 owd=0.113 ms
[1782838869.636584] seq=106 owd=0.090 ms
[1782838869.656585] seq=107 owd=0.089 ms
[1782838869.676593] seq=108 owd=0.099 ms
[1782838869.696632] seq=109 owd=0.099 ms
[1782838869.716633] seq=110 owd=0.105 ms
[1782838869.736559] seq=111 owd=0.091 ms
[1782838869.756573] seq=112 owd=0.083 ms
[1782838869.776567] seq=113 owd=0.096 ms
[1782838869.796582] seq=114 owd=0.093 ms
[1782838869.816709] seq=115 owd=0.220 ms
[1782838869.836609] seq=116 owd=0.109 ms
[1782838869.856580] seq=117 owd=0.091 ms
[1782838869.876571] seq=118 owd=0.087 ms
[1782838869.896584] seq=119 owd=0.093 ms
[1782838869.916593] seq=120 owd=0.096 ms
[1782838869.936588] seq=121 owd=0.098 ms
[1782838869.956601] seq=122 owd=0.102 ms
[1782838869.976560] seq=123 owd=0.087 ms
[1782838869.996584] seq=124 owd=0.094 ms
[1782838870.016564] seq=125 owd=0.086 ms
[1782838870.036585] seq=126 owd=0.095 ms
[1782838870.056590] seq=127 owd=0.094 ms
[1782838870.076581] seq=128 owd=0.089 ms
[1782838870.096688] seq=129 owd=0.100 ms
[1782838870.116643] seq=130 owd=0.135 ms
[1782838870.136597] seq=131 owd=0.100 ms
[1782838870.156612] seq=132 owd=0.117 ms
[1782838870.176617] seq=133 owd=0.125 ms
[1782838870.196601] seq=134 owd=0.109 ms
[1782838870.216605] seq=135 owd=0.093 ms
[1782838870.236580] seq=136 owd=0.092 ms
[1782838870.256865] seq=137 owd=0.316 ms
[1782838870.276616] seq=138 owd=0.109 ms
[1782838870.296867] seq=139 owd=0.367 ms
[1782838870.316573] seq=140 owd=0.094 ms
[1782838870.336611] seq=141 owd=0.120 ms
[1782838870.356590] seq=142 owd=0.095 ms
[1782838870.376580] seq=143 owd=0.091 ms
[1782838870.396592] seq=144 owd=0.093 ms
[1782838870.416586] seq=145 owd=0.088 ms
[1782838870.436599] seq=146 owd=0.107 ms
[1782838870.456585] seq=147 owd=0.103 ms
[1782838870.476615] seq=148 owd=0.121 ms
[1782838870.496588] seq=149 owd=0.093 ms
[1782838870.516587] seq=150 owd=0.093 ms
[1782838870.536583] seq=151 owd=0.093 ms
[1782838870.556574] seq=152 owd=0.087 ms
[1782838870.576604] seq=153 owd=0.118 ms
[1782838870.596589] seq=154 owd=0.092 ms
[1782838870.616585] seq=155 owd=0.095 ms
[1782838870.636606] seq=156 owd=0.109 ms
[1782838870.656594] seq=157 owd=0.106 ms
[1782838870.676595] seq=158 owd=0.101 ms
[1782838870.696596] seq=159 owd=0.103 ms
[1782838870.716597] seq=160 owd=0.099 ms
[1782838870.736609] seq=161 owd=0.113 ms
[1782838870.756601] seq=162 owd=0.108 ms
[1782838870.776592] seq=163 owd=0.097 ms
[1782838870.796607] seq=164 owd=0.095 ms
[1782838870.816594] seq=165 owd=0.109 ms
[1782838870.836604] seq=166 owd=0.114 ms
[1782838870.856635] seq=167 owd=0.152 ms
[1782838870.876593] seq=168 owd=0.105 ms
[1782838870.896593] seq=169 owd=0.099 ms
[1782838870.916746] seq=170 owd=0.276 ms
[1782838870.936569] seq=171 owd=0.091 ms
[1782838870.956628] seq=172 owd=0.140 ms
[1782838870.976777] seq=173 owd=0.281 ms
[1782838870.996595] seq=174 owd=0.099 ms
[1782838871.016595] seq=175 owd=0.102 ms
[1782838871.036586] seq=176 owd=0.093 ms
[1782838871.056599] seq=177 owd=0.108 ms
[1782838871.076606] seq=178 owd=0.120 ms
[1782838871.096599] seq=179 owd=0.107 ms
[1782838871.116584] seq=180 owd=0.092 ms
[1782838871.136585] seq=181 owd=0.088 ms
[1782838871.156568] seq=182 owd=0.081 ms
[1782838871.176578] seq=183 owd=0.089 ms
[1782838871.196634] seq=184 owd=0.115 ms
