time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1215996988,900309981,466549040
2,1507344982,1078458679,539207418
3,1506834402,1078127276,539045860
4,1506959788,1078199033,539063611
5,1507330358,1078432177,539207651
6,1507613589,1078673603,539305697
7,1505505062,1077833086,538903552
8,1507407597,1077831992,538884810
9,1507300123,1078422776,539189159
10,1507658494,1078906426,539431245
11,1506041898,1077331878,538635026
12,1507330382,1078459257,539216837
13,1507326992,1078602007,539278936
14,1507165780,1078145296,539055085
15,1507604687,1078763057,539359434
16,1505648218,1077153148,538545339
17,1507929771,1078879808,539422439
18,1506243129,1077673288,538823413
19,1507739029,1078736404,539332296
20,1506995613,1078216946,539090749
21,15210348,10951450,5475725
22,77,119,77
23,0,0,0
24,0,0,41
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,77,77,77
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1402235093,1042812940,522226671
43,1505531958,1078423391,539171701
44,1507326992,1077939035,538956567
45,1508946356,1078960121,539466640
46,1506906051,1078091290,539028055
47,1504637219,1077895651,538921070
48,1508930201,1078207990,539073147
49,1507031438,1078261727,539117563
50,1507891231,1078852780,539404376
51,1506095582,1077537826,538751395
52,1507237507,1078422800,539189452
53,1506852368,1078091398,539010089
54,1507309079,1078467719,539216081
55,1507085175,1078252663,539108607
56,1507004569,1078234912,539090587
57,1506798577,1078037553,539010143
58,1507121053,1078341956,539135529
59,1507380729,1078476513,539215812
60,1421142845,1034700110,543596934
61,0,65,0
62,77,77,77
63,0,0,0
