# OWD receiver: AF42  port=5002
[1782838945.072569] seq=1 owd=0.096 ms
[1782838945.092639] seq=2 owd=0.136 ms
[1782838945.112747] seq=3 owd=0.242 ms
[1782838945.349226] seq=14 owd=16.745 ms
[1782838945.389235] seq=16 owd=16.747 ms
[1782838945.409912] seq=17 owd=17.418 ms
[1782838945.629282] seq=28 owd=16.787 ms
[1782838945.649351] seq=29 owd=16.805 ms
[1782838945.669280] seq=30 owd=16.763 ms
[1782838945.949293] seq=44 owd=16.790 ms
[1782838946.089252] seq=51 owd=16.752 ms
[1782838946.129293] seq=53 owd=16.760 ms
[1782838946.209723] seq=57 owd=17.218 ms
[1782838946.289324] seq=61 owd=16.816 ms
[1782838946.429278] seq=68 owd=16.776 ms
[1782838946.469253] seq=70 owd=16.753 ms
[1782838946.509220] seq=72 owd=16.743 ms
[1782838946.649246] seq=79 owd=16.749 ms
[1782838946.709355] seq=82 owd=16.829 ms
[1782838946.729252] seq=83 owd=16.753 ms
[1782838946.749226] seq=84 owd=16.749 ms
[1782838946.789272] seq=86 owd=16.769 ms
[1782838946.809290] seq=87 owd=16.786 ms
[1782838946.829231] seq=88 owd=16.730 ms
[1782838947.049284] seq=99 owd=16.784 ms
[1782838947.069305] seq=100 owd=16.805 ms
[1782838947.129284] seq=103 owd=16.775 ms
[1782838947.149250] seq=104 owd=16.769 ms
[1782838947.189309] seq=106 owd=16.804 ms
[1782838947.209270] seq=107 owd=16.766 ms
[1782838947.389303] seq=116 owd=16.776 ms
[1782838947.469131] seq=120 owd=16.629 ms
[1782838947.489273] seq=121 owd=16.767 ms
[1782838947.509253] seq=122 owd=16.748 ms
[1782838947.569269] seq=125 owd=16.767 ms
[1782838947.649838] seq=129 owd=17.332 ms
[1782838947.689296] seq=131 owd=16.796 ms
[1782838947.728993] seq=133 owd=16.490 ms
[1782838947.749350] seq=134 owd=16.847 ms
[1782838947.769277] seq=135 owd=16.776 ms
[1782838947.949243] seq=144 owd=16.763 ms
[1782838947.989280] seq=146 owd=16.783 ms
[1782838948.049281] seq=149 owd=16.778 ms
[1782838948.069269] seq=150 owd=16.768 ms
[1782838948.088726] seq=151 owd=16.225 ms
[1782838948.109452] seq=152 owd=16.952 ms
[1782838948.209328] seq=157 owd=16.820 ms
[1782838948.309298] seq=162 owd=16.761 ms
[1782838948.329560] seq=163 owd=17.066 ms
[1782838948.409254] seq=167 owd=16.750 ms
[1782838948.449249] seq=169 owd=16.753 ms
[1782838948.569317] seq=175 owd=16.812 ms
[1782838948.589287] seq=176 owd=16.788 ms
[1782838948.709318] seq=182 owd=16.816 ms
[1782838949.029254] seq=198 owd=16.752 ms
[1782838949.129247] seq=203 owd=16.747 ms
[1782838949.249749] seq=209 owd=17.244 ms
[1782838949.269858] seq=210 owd=17.311 ms
[1782838949.309440] seq=212 owd=16.941 ms
[1782838949.369246] seq=215 owd=16.742 ms
[1782838949.389273] seq=216 owd=16.764 ms
[1782838949.409281] seq=217 owd=16.768 ms
[1782838949.449328] seq=219 owd=16.815 ms
[1782838949.549246] seq=224 owd=16.745 ms
[1782838949.669280] seq=230 owd=16.782 ms
[1782838949.769283] seq=235 owd=16.777 ms
[1782838949.829232] seq=238 owd=16.752 ms
[1782838949.889233] seq=241 owd=16.737 ms
[1782838949.909227] seq=242 owd=16.729 ms
[1782838950.029236] seq=248 owd=16.731 ms
[1782838950.169354] seq=255 owd=16.857 ms
[1782838950.269308] seq=260 owd=16.804 ms
[1782838950.329274] seq=263 owd=16.768 ms
[1782838950.349235] seq=264 owd=16.751 ms
[1782838950.389239] seq=266 owd=16.739 ms
[1782838950.409244] seq=267 owd=16.752 ms
[1782838950.429246] seq=268 owd=16.749 ms
[1782838950.489281] seq=271 owd=16.776 ms
[1782838950.589283] seq=276 owd=16.778 ms
[1782838950.689199] seq=281 owd=16.698 ms
[1782838950.709237] seq=282 owd=16.737 ms
[1782838950.769277] seq=285 owd=16.791 ms
[1782838950.849280] seq=289 owd=16.775 ms
[1782838950.949301] seq=294 owd=16.786 ms
[1782838950.989194] seq=296 owd=16.701 ms
[1782838951.049284] seq=299 owd=16.784 ms
[1782838951.069270] seq=300 owd=16.772 ms
[1782838951.149282] seq=304 owd=16.784 ms
[1782838951.189298] seq=306 owd=16.793 ms
[1782838951.229348] seq=308 owd=16.854 ms
[1782838951.268955] seq=310 owd=16.453 ms
[1782838951.289449] seq=311 owd=16.949 ms
[1782838951.368388] seq=315 owd=15.893 ms
[1782838951.408751] seq=317 owd=16.230 ms
[1782838951.429549] seq=318 owd=17.049 ms
[1782838951.509447] seq=322 owd=16.927 ms
[1782838951.529317] seq=323 owd=16.781 ms
[1782838951.569288] seq=325 owd=16.793 ms
[1782838951.589267] seq=326 owd=16.768 ms
[1782838951.789284] seq=336 owd=16.780 ms
[1782838951.829272] seq=338 owd=16.770 ms
[1782838951.869268] seq=340 owd=16.765 ms
[1782838951.889242] seq=341 owd=16.765 ms
[1782838951.949277] seq=344 owd=16.773 ms
[1782838951.969242] seq=345 owd=16.738 ms
[1782838952.029229] seq=348 owd=16.753 ms
[1782838952.149272] seq=354 owd=16.766 ms
[1782838952.169254] seq=355 owd=16.754 ms
[1782838952.189244] seq=356 owd=16.741 ms
[1782838952.209230] seq=357 owd=16.749 ms
[1782838952.229250] seq=358 owd=16.749 ms
[1782838952.249069] seq=359 owd=16.573 ms
[1782838952.289288] seq=361 owd=16.789 ms
[1782838952.368668] seq=365 owd=16.166 ms
[1782838952.409439] seq=367 owd=16.926 ms
[1782838952.449235] seq=369 owd=16.724 ms
[1782838952.529273] seq=373 owd=16.771 ms
[1782838952.589287] seq=376 owd=16.790 ms
[1782838952.669254] seq=380 owd=16.752 ms
[1782838952.689590] seq=381 owd=17.073 ms
[1782838952.749297] seq=384 owd=16.769 ms
[1782838952.789041] seq=386 owd=16.542 ms
[1782838952.849253] seq=389 owd=16.753 ms
[1782838952.949306] seq=394 owd=16.786 ms
[1782838953.049304] seq=399 owd=16.799 ms
[1782838953.149361] seq=404 owd=16.872 ms
[1782838953.169342] seq=405 owd=16.827 ms
[1782838953.189249] seq=406 owd=16.754 ms
[1782838953.229367] seq=408 owd=16.842 ms
[1782838953.329255] seq=413 owd=16.754 ms
[1782838953.368869] seq=415 owd=16.372 ms
[1782838953.409489] seq=417 owd=16.985 ms
[1782838953.549292] seq=424 owd=16.798 ms
[1782838953.569255] seq=425 owd=16.753 ms
[1782838953.709331] seq=432 owd=16.803 ms
[1782838953.729243] seq=433 owd=16.737 ms
[1782838953.749274] seq=434 owd=16.768 ms
[1782838953.769277] seq=435 owd=16.775 ms
[1782838953.809289] seq=437 owd=16.781 ms
[1782838953.909284] seq=442 owd=16.774 ms
[1782838953.949277] seq=444 owd=16.778 ms
[1782838953.989245] seq=446 owd=16.737 ms
[1782838954.009248] seq=447 owd=16.746 ms
[1782838954.109279] seq=452 owd=16.756 ms
[1782838954.308778] seq=462 owd=16.281 ms
[1782838954.389219] seq=466 owd=16.718 ms
[1782838954.429265] seq=468 owd=16.765 ms
[1782838954.449311] seq=469 owd=16.807 ms
[1782838954.609247] seq=477 owd=16.755 ms
[1782838954.649155] seq=479 owd=16.657 ms
[1782838954.669232] seq=480 owd=16.728 ms
[1782838954.729254] seq=483 owd=16.752 ms
[1782838954.749319] seq=484 owd=16.785 ms
[1782838954.829299] seq=488 owd=16.794 ms
[1782838954.849286] seq=489 owd=16.779 ms
[1782838955.028765] seq=498 owd=16.265 ms
[1782838955.069230] seq=500 owd=16.730 ms
[1782838955.089272] seq=501 owd=16.770 ms
[1782838955.129276] seq=503 owd=16.772 ms
[1782838955.149272] seq=504 owd=16.772 ms
[1782838955.249314] seq=509 owd=16.798 ms
[1782838955.269938] seq=510 owd=17.432 ms
[1782838955.309340] seq=512 owd=16.837 ms
[1782838955.329242] seq=513 owd=16.740 ms
[1782838955.409331] seq=517 owd=16.804 ms
[1782838955.429301] seq=518 owd=16.796 ms
[1782838955.469813] seq=520 owd=17.313 ms
[1782838955.609303] seq=527 owd=16.804 ms
[1782838955.689334] seq=531 owd=16.801 ms
[1782838955.709301] seq=532 owd=16.805 ms
[1782838955.789299] seq=536 owd=16.800 ms
[1782838955.809282] seq=537 owd=16.781 ms
[1782838955.989125] seq=546 owd=16.597 ms
[1782838956.229280] seq=558 owd=16.785 ms
[1782838956.369187] seq=565 owd=16.686 ms
[1782838956.389309] seq=566 owd=16.807 ms
[1782838956.429276] seq=568 owd=16.770 ms
[1782838956.489867] seq=571 owd=17.365 ms
[1782838956.569505] seq=575 owd=16.998 ms
[1782838956.589286] seq=576 owd=16.785 ms
[1782838956.609898] seq=577 owd=17.392 ms
[1782838956.649718] seq=579 owd=17.193 ms
[1782838956.789301] seq=586 owd=16.778 ms
[1782838956.809255] seq=587 owd=16.762 ms
[1782838956.869408] seq=590 owd=16.899 ms
[1782838956.889238] seq=591 owd=16.733 ms
[1782838956.929248] seq=593 owd=16.747 ms
[1782838957.229247] seq=608 owd=16.755 ms
[1782838957.369336] seq=615 owd=16.810 ms
[1782838957.569351] seq=625 owd=16.844 ms
[1782838957.669291] seq=630 owd=16.768 ms
[1782838957.729290] seq=633 owd=16.761 ms
[1782838957.749295] seq=634 owd=16.770 ms
