time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1197878858,888707762,458906358
2,1505912409,1077852001,538912459
3,1507568862,1078181067,539063880
4,1506511980,1078825804,539386033
5,1506364077,1077689846,538831944
6,1508804760,1078682547,539305858
7,1507488203,1078530573,539252175
8,1505746692,1077314252,538634811
9,1507936011,1078924484,539431191
10,1507076219,1078243707,539117509
11,1506229791,1077671982,538796077
12,1508231565,1079094543,539529386
13,1505523010,1077170398,538563395
14,1507106622,1078289235,539126965
15,1507756966,1078754233,539350448
16,1507255342,1078387113,539171569
17,1507165834,1078342117,539153549
18,1506762752,1078056003,539001509
19,1505639271,1077233351,538598915
20,1507688195,1078692023,539332752
21,1205574996,902648772,449376794
22,1506762806,1078055788,539001402
23,1506565717,1078861575,539413278
24,1508500250,1078315517,539126466
25,1507130033,1078324229,539144456
26,1505791375,1077358505,538661641
27,1506932974,1078163358,539055139
28,1507380729,1078485254,539215920
29,1507488203,1078574870,539251960
30,1506507156,1077851142,538921554
31,1508327818,1079157192,539556452
32,1506843358,1078136071,539037227
33,1506915007,1078189701,539072675
34,1506861312,1078091452,539028109
35,1506556838,1077876366,538920820
36,1507273308,1078422723,539198223
37,1506538848,1077912328,538920743
38,1507628486,1078681934,539323521
39,1506476155,1077858806,538893982
40,1507112043,1078261511,539117725
41,1491413068,1127570764,576338796
42,1507882328,1078888282,539404268
43,1506915007,1078145081,539064041
44,1506426630,1077787866,538876226
45,1507640535,1078682476,539314569
46,1507953978,1078888444,539422073
47,1505997162,1077510608,538724606
48,1507401882,1078486278,539225438
49,1506421896,1077816141,538894958
50,1507192703,1078485631,539207059
51,1507246386,1078270629,539117725
52,1506897095,1078136179,539046021
53,1506838204,1078128131,539037331
54,1506843358,1078574924,539269980
55,1507380860,1078038330,538992308
56,1508034529,1078915474,539449211
57,1505456552,1077127779,538528860
58,1507389685,1078521133,539234316
59,1507353914,1078458886,539207233
60,1427376210,1038990101,546427398
61,0,0,0
62,0,0,0
63,0,0,0
