# OWD receiver: AF41  port=5001
[1782838793.191102] seq=1 owd=0.148 ms
[1782838793.211138] seq=2 owd=0.085 ms
[1782838793.231172] seq=3 owd=0.118 ms
[1782838793.251091] seq=4 owd=0.106 ms
[1782838793.271097] seq=5 owd=0.116 ms
[1782838793.291217] seq=6 owd=0.232 ms
[1782838793.311094] seq=7 owd=0.103 ms
[1782838793.331104] seq=8 owd=0.112 ms
[1782838793.351071] seq=9 owd=0.108 ms
[1782838793.371103] seq=10 owd=0.123 ms
[1782838793.391076] seq=11 owd=0.094 ms
[1782838793.411090] seq=12 owd=0.112 ms
[1782838793.431238] seq=13 owd=0.254 ms
[1782838793.451069] seq=14 owd=0.087 ms
[1782838793.471076] seq=15 owd=0.093 ms
[1782838793.491147] seq=16 owd=0.136 ms
[1782838793.511105] seq=17 owd=0.101 ms
[1782838793.531176] seq=18 owd=0.167 ms
[1782838793.551062] seq=19 owd=0.087 ms
[1782838793.571074] seq=20 owd=0.097 ms
[1782838793.591085] seq=21 owd=0.101 ms
[1782838793.611235] seq=22 owd=0.249 ms
[1782838793.631073] seq=23 owd=0.089 ms
[1782838793.651143] seq=24 owd=0.161 ms
[1782838793.671069] seq=25 owd=0.087 ms
[1782838793.691083] seq=26 owd=0.098 ms
[1782838793.711069] seq=27 owd=0.083 ms
[1782838793.731076] seq=28 owd=0.092 ms
[1782838793.751089] seq=29 owd=0.107 ms
[1782838793.771090] seq=30 owd=0.107 ms
[1782838793.791275] seq=31 owd=0.293 ms
[1782838793.811148] seq=32 owd=0.164 ms
[1782838793.831090] seq=33 owd=0.104 ms
[1782838793.851064] seq=34 owd=0.082 ms
[1782838793.871074] seq=35 owd=0.093 ms
[1782838793.891079] seq=36 owd=0.096 ms
[1782838793.911112] seq=37 owd=0.124 ms
[1782838793.931085] seq=38 owd=0.100 ms
[1782838793.951081] seq=39 owd=0.097 ms
[1782838793.971077] seq=40 owd=0.095 ms
[1782838793.991080] seq=41 owd=0.095 ms
[1782838794.011090] seq=42 owd=0.105 ms
[1782838794.031154] seq=43 owd=0.171 ms
[1782838794.051081] seq=44 owd=0.099 ms
[1782838794.071239] seq=45 owd=0.253 ms
[1782838794.091091] seq=46 owd=0.102 ms
[1782838794.111133] seq=47 owd=0.124 ms
[1782838794.131116] seq=48 owd=0.105 ms
[1782838794.151073] seq=49 owd=0.099 ms
[1782838794.171078] seq=50 owd=0.094 ms
[1782838794.191163] seq=51 owd=0.177 ms
[1782838794.211077] seq=52 owd=0.098 ms
[1782838794.231119] seq=53 owd=0.101 ms
[1782838794.251086] seq=54 owd=0.108 ms
[1782838794.271085] seq=55 owd=0.102 ms
[1782838794.291047] seq=56 owd=0.087 ms
[1782838794.311063] seq=57 owd=0.086 ms
[1782838794.331091] seq=58 owd=0.107 ms
[1782838794.351071] seq=59 owd=0.088 ms
[1782838794.371091] seq=60 owd=0.108 ms
[1782838794.391138] seq=61 owd=0.155 ms
[1782838794.411077] seq=62 owd=0.096 ms
[1782838794.431146] seq=63 owd=0.167 ms
[1782838794.451099] seq=64 owd=0.115 ms
[1782838794.471079] seq=65 owd=0.089 ms
[1782838794.491084] seq=66 owd=0.093 ms
[1782838794.511169] seq=67 owd=0.187 ms
[1782838794.531075] seq=68 owd=0.095 ms
[1782838794.551100] seq=69 owd=0.091 ms
[1782838794.571066] seq=70 owd=0.087 ms
[1782838794.591090] seq=71 owd=0.105 ms
[1782838794.611064] seq=72 owd=0.083 ms
[1782838794.631070] seq=73 owd=0.094 ms
[1782838794.651079] seq=74 owd=0.096 ms
[1782838794.671093] seq=75 owd=0.110 ms
[1782838794.691114] seq=76 owd=0.113 ms
[1782838794.711069] seq=77 owd=0.085 ms
[1782838794.731089] seq=78 owd=0.098 ms
[1782838794.751139] seq=79 owd=0.133 ms
[1782838794.771101] seq=80 owd=0.085 ms
[1782838794.791094] seq=81 owd=0.114 ms
[1782838794.811076] seq=82 owd=0.103 ms
[1782838794.831110] seq=83 owd=0.102 ms
[1782838794.851077] seq=84 owd=0.096 ms
[1782838794.871078] seq=85 owd=0.104 ms
[1782838794.891079] seq=86 owd=0.092 ms
[1782838794.911102] seq=87 owd=0.116 ms
[1782838794.931081] seq=88 owd=0.095 ms
[1782838794.951142] seq=89 owd=0.135 ms
[1782838794.971067] seq=90 owd=0.087 ms
[1782838794.991075] seq=91 owd=0.090 ms
[1782838795.011070] seq=92 owd=0.090 ms
[1782838795.031090] seq=93 owd=0.104 ms
[1782838795.051091] seq=94 owd=0.092 ms
[1782838795.071129] seq=95 owd=0.105 ms
[1782838795.091065] seq=96 owd=0.095 ms
[1782838795.111083] seq=97 owd=0.085 ms
[1782838795.131084] seq=98 owd=0.102 ms
[1782838795.151069] seq=99 owd=0.089 ms
[1782838795.171089] seq=100 owd=0.078 ms
[1782838795.191083] seq=101 owd=0.109 ms
[1782838795.211198] seq=102 owd=0.219 ms
[1782838795.231061] seq=103 owd=0.085 ms
[1782838795.251087] seq=104 owd=0.104 ms
[1782838795.271077] seq=105 owd=0.090 ms
[1782838795.291104] seq=106 owd=0.099 ms
[1782838795.311069] seq=107 owd=0.095 ms
[1782838795.331070] seq=108 owd=0.094 ms
[1782838795.351072] seq=109 owd=0.089 ms
[1782838795.371075] seq=110 owd=0.091 ms
[1782838795.391059] seq=111 owd=0.080 ms
[1782838795.411067] seq=112 owd=0.093 ms
[1782838795.431072] seq=113 owd=0.095 ms
[1782838795.451089] seq=114 owd=0.111 ms
[1782838795.471062] seq=115 owd=0.097 ms
[1782838795.491079] seq=116 owd=0.101 ms
[1782838795.511085] seq=117 owd=0.099 ms
[1782838795.531268] seq=118 owd=0.277 ms
[1782838795.551094] seq=119 owd=0.105 ms
[1782838795.571083] seq=120 owd=0.100 ms
[1782838795.591078] seq=121 owd=0.097 ms
[1782838795.611085] seq=122 owd=0.097 ms
[1782838795.631069] seq=123 owd=0.084 ms
[1782838795.651314] seq=124 owd=0.313 ms
[1782838795.671188] seq=125 owd=0.198 ms
[1782838795.691097] seq=126 owd=0.111 ms
[1782838795.711058] seq=127 owd=0.079 ms
[1782838795.731072] seq=128 owd=0.092 ms
[1782838795.751098] seq=129 owd=0.115 ms
[1782838795.771065] seq=130 owd=0.088 ms
[1782838795.791064] seq=131 owd=0.082 ms
[1782838795.811075] seq=132 owd=0.089 ms
[1782838795.831106] seq=133 owd=0.097 ms
[1782838795.851038] seq=134 owd=0.076 ms
[1782838795.871076] seq=135 owd=0.089 ms
[1782838795.891072] seq=136 owd=0.091 ms
[1782838795.911306] seq=137 owd=0.245 ms
[1782838795.931230] seq=138 owd=0.245 ms
[1782838795.951099] seq=139 owd=0.110 ms
[1782838795.971129] seq=140 owd=0.140 ms
[1782838795.991108] seq=141 owd=0.124 ms
[1782838796.011074] seq=142 owd=0.098 ms
[1782838796.031089] seq=143 owd=0.115 ms
[1782838796.051107] seq=144 owd=0.103 ms
[1782838796.071081] seq=145 owd=0.095 ms
[1782838796.091085] seq=146 owd=0.101 ms
[1782838796.111073] seq=147 owd=0.087 ms
[1782838796.131048] seq=148 owd=0.091 ms
[1782838796.151056] seq=149 owd=0.087 ms
[1782838796.171060] seq=150 owd=0.089 ms
[1782838796.191081] seq=151 owd=0.095 ms
[1782838796.211083] seq=152 owd=0.100 ms
[1782838796.231069] seq=153 owd=0.078 ms
[1782838796.251142] seq=154 owd=0.163 ms
[1782838796.271369] seq=155 owd=0.370 ms
[1782838796.291070] seq=156 owd=0.093 ms
[1782838796.311084] seq=157 owd=0.102 ms
[1782838796.331107] seq=158 owd=0.105 ms
[1782838796.351080] seq=159 owd=0.094 ms
[1782838796.371090] seq=160 owd=0.106 ms
[1782838796.391171] seq=161 owd=0.186 ms
[1782838796.411091] seq=162 owd=0.107 ms
[1782838796.431062] seq=163 owd=0.083 ms
[1782838796.451046] seq=164 owd=0.082 ms
[1782838796.471097] seq=165 owd=0.113 ms
[1782838796.491074] seq=166 owd=0.086 ms
[1782838796.511111] seq=167 owd=0.123 ms
[1782838796.531108] seq=168 owd=0.113 ms
[1782838796.551084] seq=169 owd=0.094 ms
[1782838796.571094] seq=170 owd=0.107 ms
[1782838796.591076] seq=171 owd=0.087 ms
[1782838796.611071] seq=172 owd=0.082 ms
[1782838796.631091] seq=173 owd=0.105 ms
[1782838796.651125] seq=174 owd=0.139 ms
[1782838796.671088] seq=175 owd=0.111 ms
[1782838796.691144] seq=176 owd=0.132 ms
[1782838796.711077] seq=177 owd=0.103 ms
[1782838796.731061] seq=178 owd=0.082 ms
[1782838796.751157] seq=179 owd=0.194 ms
[1782838796.771269] seq=180 owd=0.288 ms
[1782838796.791089] seq=181 owd=0.113 ms
[1782838796.811092] seq=182 owd=0.113 ms
[1782838796.831089] seq=183 owd=0.109 ms
[1782838796.851088] seq=184 owd=0.110 ms
[1782838796.871065] seq=185 owd=0.085 ms
[1782838796.891282] seq=186 owd=0.287 ms
[1782838796.911079] seq=187 owd=0.085 ms
[1782838796.931064] seq=188 owd=0.077 ms
[1782838796.951072] seq=189 owd=0.090 ms
[1782838796.971152] seq=190 owd=0.119 ms
[1782838796.991073] seq=191 owd=0.093 ms
[1782838797.011087] seq=192 owd=0.083 ms
[1782838797.031047] seq=193 owd=0.072 ms
[1782838797.051086] seq=194 owd=0.108 ms
[1782838797.071076] seq=195 owd=0.092 ms
[1782838797.091081] seq=196 owd=0.099 ms
[1782838797.111086] seq=197 owd=0.090 ms
[1782838797.131059] seq=198 owd=0.102 ms
[1782838797.151080] seq=199 owd=0.099 ms
[1782838797.171052] seq=200 owd=0.072 ms
[1782838797.191103] seq=201 owd=0.117 ms
[1782838797.211106] seq=202 owd=0.104 ms
[1782838797.231054] seq=203 owd=0.087 ms
[1782838797.251094] seq=204 owd=0.107 ms
[1782838797.271087] seq=205 owd=0.100 ms
[1782838797.291070] seq=206 owd=0.090 ms
[1782838797.311060] seq=207 owd=0.079 ms
[1782838797.331078] seq=208 owd=0.093 ms
[1782838797.351078] seq=209 owd=0.096 ms
[1782838797.371073] seq=210 owd=0.090 ms
[1782838797.391070] seq=211 owd=0.085 ms
[1782838797.411064] seq=212 owd=0.086 ms
[1782838797.431079] seq=213 owd=0.093 ms
[1782838797.451079] seq=214 owd=0.098 ms
[1782838797.471075] seq=215 owd=0.095 ms
[1782838797.491079] seq=216 owd=0.096 ms
[1782838797.511075] seq=217 owd=0.097 ms
[1782838797.531107] seq=218 owd=0.124 ms
[1782838797.551104] seq=219 owd=0.120 ms
[1782838797.571091] seq=220 owd=0.110 ms
[1782838797.591100] seq=221 owd=0.082 ms
[1782838797.611067] seq=222 owd=0.092 ms
[1782838797.631055] seq=223 owd=0.077 ms
[1782838797.651063] seq=224 owd=0.086 ms
[1782838797.671070] seq=225 owd=0.088 ms
[1782838797.691069] seq=226 owd=0.088 ms
[1782838797.711084] seq=227 owd=0.104 ms
[1782838797.731095] seq=228 owd=0.114 ms
[1782838797.751123] seq=229 owd=0.142 ms
[1782838797.771137] seq=230 owd=0.158 ms
[1782838797.791070] seq=231 owd=0.088 ms
[1782838797.811085] seq=232 owd=0.120 ms
[1782838797.831057] seq=233 owd=0.077 ms
[1782838797.851057] seq=234 owd=0.082 ms
[1782838797.871090] seq=235 owd=0.111 ms
[1782838797.891109] seq=236 owd=0.096 ms
[1782838797.911100] seq=237 owd=0.118 ms
[1782838797.931113] seq=238 owd=0.088 ms
[1782838797.951061] seq=239 owd=0.081 ms
[1782838797.971098] seq=240 owd=0.114 ms
[1782838797.991088] seq=241 owd=0.118 ms
[1782838798.011091] seq=242 owd=0.100 ms
[1782838798.031084] seq=243 owd=0.091 ms
[1782838798.051073] seq=244 owd=0.093 ms
[1782838798.071174] seq=245 owd=0.193 ms
[1782838798.091098] seq=246 owd=0.113 ms
[1782838798.111095] seq=247 owd=0.106 ms
[1782838798.131071] seq=248 owd=0.087 ms
[1782838798.151095] seq=249 owd=0.108 ms
[1782838798.171094] seq=250 owd=0.115 ms
[1782838798.191096] seq=251 owd=0.110 ms
[1782838798.211076] seq=252 owd=0.092 ms
[1782838798.231065] seq=253 owd=0.086 ms
[1782838798.251220] seq=254 owd=0.239 ms
[1782838798.271050] seq=255 owd=0.091 ms
[1782838798.291081] seq=256 owd=0.100 ms
[1782838798.311095] seq=257 owd=0.127 ms
[1782838798.331073] seq=258 owd=0.090 ms
[1782838798.351097] seq=259 owd=0.110 ms
[1782838798.371236] seq=260 owd=0.240 ms
[1782838798.391080] seq=261 owd=0.098 ms
[1782838798.411057] seq=262 owd=0.098 ms
[1782838798.431084] seq=263 owd=0.099 ms
[1782838798.451087] seq=264 owd=0.105 ms
[1782838798.471077] seq=265 owd=0.095 ms
[1782838798.491242] seq=266 owd=0.254 ms
[1782838798.511079] seq=267 owd=0.118 ms
[1782838798.531089] seq=268 owd=0.101 ms
[1782838798.551079] seq=269 owd=0.095 ms
[1782838798.571091] seq=270 owd=0.097 ms
[1782838798.591079] seq=271 owd=0.094 ms
[1782838798.611079] seq=272 owd=0.095 ms
[1782838798.631083] seq=273 owd=0.100 ms
[1782838798.651193] seq=274 owd=0.207 ms
[1782838798.671062] seq=275 owd=0.081 ms
[1782838798.691099] seq=276 owd=0.114 ms
[1782838798.711088] seq=277 owd=0.109 ms
[1782838798.731087] seq=278 owd=0.104 ms
[1782838798.751088] seq=279 owd=0.107 ms
[1782838798.771076] seq=280 owd=0.093 ms
[1782838798.791145] seq=281 owd=0.155 ms
[1782838798.811059] seq=282 owd=0.080 ms
[1782838798.831084] seq=283 owd=0.103 ms
[1782838798.851068] seq=284 owd=0.088 ms
