time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1168221512,869758501,450477559
2,1509431693,1076927095,538463762
3,1507165834,1078324205,539126358
4,1506337158,1077761562,538858654
5,1507326992,1078449537,539207233
6,1507515113,1078699988,539323812
7,1507219595,1078234798,539099729
8,1506037600,1077548151,538742737
9,1505823025,1077414021,538698582
10,1509163007,1080393296,540165705
11,1506104529,1076929412,538438133
12,1507488256,1078566021,539269818
13,1506104529,1078136917,539046600
14,1507953924,1078306615,539126466
15,1507106622,1078307022,539135858
16,1506789675,1079022679,539484928
17,1507676360,1078458517,539207472
18,1507631501,1077957432,538947450
19,1505871970,1077421259,538697335
20,1506870227,1078145350,539054816
21,1506399842,1078566493,539261066
22,1507156824,1078037876,539001402
23,1507300123,1077966119,538947772
24,1507858193,1078799283,539386597
25,1506941930,1078163209,539055101
26,1508043486,1078978328,539467446
27,1506247763,1077770479,538858732
28,1507273254,1078333322,539144539
29,1505630324,1078790390,539377542
30,1506511333,1076314602,538144403
31,1508356952,1079193276,539565264
32,1508202295,1079094759,539520753
33,1505156119,1076866513,538420238
34,1507464567,1078593269,539270121
35,1507676282,1078655745,539314922
36,1507425509,1078530358,539233994
37,1506677231,1077967319,538965992
38,1505657166,1077269247,538599010
39,1506596682,1078718650,539341914
40,1507956612,1078378547,539162700
41,1507452378,1078279478,539117563
42,1507667326,1078727286,539341790
43,1506829311,1078074608,539019544
44,1506941876,1078153984,539063719
45,1507282211,1078458601,539198492
46,1505880847,1077519609,538742501
47,1507846581,1078709183,539341169
48,1506950832,1078181121,539055085
49,1507291167,1078414035,539189804
50,1507532984,1078593051,539269818
51,1506870227,1078162994,539055085
52,1506104583,1077546612,538751018
53,1507192649,1078369093,539162613
54,1507228474,1078360083,539171300
55,1507947665,1078933385,539431064
56,1507264298,1078387382,539171247
57,1506077818,1077564638,538768883
58,1508135558,1079049538,539493802
59,1505245592,1076920680,538447026
60,1439868941,1050151534,552021071
61,0,0,0
62,0,0,0
63,0,0,0
