# OWD receiver: AF43  port=5003
[1783339228.455247] seq=1 owd=139.731 ms
[1783339228.475189] seq=2 owd=139.647 ms
[1783339228.495507] seq=3 owd=139.973 ms
[1783339228.515302] seq=4 owd=139.754 ms
[1783339228.535290] seq=5 owd=139.742 ms
[1783339228.555278] seq=6 owd=139.731 ms
[1783339228.575243] seq=7 owd=139.695 ms
[1783339228.595368] seq=8 owd=139.835 ms
[1783339228.619881] seq=9 owd=144.348 ms
[1783339228.688430] seq=10 owd=192.903 ms
[1783339228.755380] seq=11 owd=239.856 ms
[1783339228.831570] seq=12 owd=296.041 ms
[1783339228.899866] seq=13 owd=344.333 ms
[1783339228.967519] seq=14 owd=391.980 ms
[1783339229.043464] seq=15 owd=447.923 ms
[1783339229.111156] seq=16 owd=495.615 ms
[1783339229.179817] seq=17 owd=544.273 ms
[1783339229.256271] seq=18 owd=600.729 ms
[1783339229.323453] seq=19 owd=647.901 ms
[1783339229.391860] seq=20 owd=696.308 ms
[1783339229.467474] seq=21 owd=751.921 ms
[1783339229.534686] seq=22 owd=799.145 ms
[1783339229.603397] seq=23 owd=847.857 ms
[1783339229.679518] seq=24 owd=903.981 ms
[1783339229.747475] seq=25 owd=951.943 ms
[1783339229.814794] seq=26 owd=999.262 ms
[1783339229.892051] seq=27 owd=1056.522 ms
[1783339229.959823] seq=28 owd=1104.290 ms
[1783339230.027228] seq=29 owd=1151.695 ms
[1783339230.103108] seq=30 owd=1207.580 ms
[1783339230.171124] seq=31 owd=1255.592 ms
[1783339230.238267] seq=32 owd=1302.737 ms
[1783339230.311865] seq=33 owd=1356.339 ms
[1783339230.383088] seq=34 owd=1407.557 ms
[1783339230.451070] seq=35 owd=1455.544 ms
[1783339230.527693] seq=36 owd=1512.156 ms
[1783339230.595363] seq=37 owd=1559.837 ms
[1783339230.663307] seq=38 owd=1607.778 ms
[1783339230.740436] seq=39 owd=1664.895 ms
[1783339230.806823] seq=40 owd=1711.290 ms
[1783339230.875390] seq=41 owd=1759.852 ms
[1783339230.951641] seq=42 owd=1816.108 ms
[1783339231.018795] seq=43 owd=1863.267 ms
[1783339231.086762] seq=44 owd=1911.234 ms
[1783339231.154477] seq=45 owd=1958.954 ms
[1783339231.230975] seq=46 owd=2015.447 ms
[1783339231.298725] seq=47 owd=2063.187 ms
[1783339231.367172] seq=48 owd=2111.606 ms
[1783339231.443702] seq=49 owd=2168.149 ms
[1783339231.510882] seq=50 owd=2215.348 ms
[1783339231.578664] seq=51 owd=2263.131 ms
[1783339231.655220] seq=52 owd=2319.680 ms
[1783339231.723109] seq=53 owd=2367.576 ms
[1783339231.790365] seq=54 owd=2414.838 ms
[1783339231.867278] seq=55 owd=2471.744 ms
[1783339231.935372] seq=56 owd=2519.831 ms
[1783339232.002440] seq=57 owd=2566.909 ms
[1783339232.079827] seq=58 owd=2624.302 ms
[1783339232.147281] seq=59 owd=2671.754 ms
[1783339232.214360] seq=60 owd=2718.835 ms
[1783339232.290932] seq=61 owd=2775.409 ms
[1783339232.358894] seq=62 owd=2823.372 ms
[1783339232.426511] seq=63 owd=2870.990 ms
[1783339232.503057] seq=64 owd=2927.530 ms
[1783339232.570889] seq=65 owd=2975.362 ms
[1783339232.638689] seq=66 owd=3023.160 ms
[1783339232.715289] seq=67 owd=3079.766 ms
[1783339232.782866] seq=68 owd=3127.344 ms
[1783339232.850943] seq=69 owd=3175.420 ms
[1783339232.926611] seq=70 owd=3231.088 ms
[1783339232.994556] seq=71 owd=3279.036 ms
[1783339233.062461] seq=72 owd=3326.941 ms
[1783339233.138465] seq=73 owd=3382.940 ms
[1783339233.207203] seq=74 owd=3431.671 ms
[1783339233.274366] seq=75 owd=3478.842 ms
[1783339233.342390] seq=76 owd=3526.868 ms
[1783339233.418648] seq=77 owd=3583.127 ms
[1783339233.486765] seq=78 owd=3631.241 ms
[1783339233.559941] seq=79 owd=3684.408 ms
[1783339233.630115] seq=80 owd=3734.591 ms
[1783339233.698369] seq=81 owd=3782.847 ms
[1783339233.765595] seq=82 owd=3830.073 ms
[1783339233.842161] seq=83 owd=3886.640 ms
[1783339233.910615] seq=84 owd=3935.085 ms
[1783339233.978109] seq=85 owd=3982.586 ms
[1783339234.054103] seq=86 owd=4038.574 ms
[1783339234.122807] seq=87 owd=4087.257 ms
[1783339234.198992] seq=88 owd=4143.457 ms
[1783339234.266081] seq=89 owd=4190.551 ms
[1783339234.334652] seq=90 owd=4239.116 ms
[1783339234.402285] seq=91 owd=4286.756 ms
[1783339234.477601] seq=92 owd=4342.067 ms
[1783339234.545936] seq=93 owd=4390.392 ms
[1783339234.614990] seq=94 owd=4439.449 ms
[1783339234.690258] seq=95 owd=4494.728 ms
[1783339234.757906] seq=96 owd=4542.375 ms
[1783339234.825810] seq=97 owd=4590.255 ms
[1783339234.902248] seq=98 owd=4646.704 ms
[1783339234.970287] seq=99 owd=4694.744 ms
[1783339235.037974] seq=100 owd=4742.439 ms
[1783339235.113903] seq=101 owd=4798.361 ms
[1783339235.182181] seq=102 owd=4846.637 ms
[1783339235.249376] seq=103 owd=4893.836 ms
[1783339235.326233] seq=104 owd=4950.687 ms
[1783339235.394355] seq=105 owd=4998.809 ms
[1783339235.461366] seq=106 owd=5045.829 ms
[1783339235.538436] seq=107 owd=5102.904 ms
[1783339235.606286] seq=108 owd=5150.761 ms
[1783339235.674138] seq=109 owd=5198.610 ms
[1783339235.749841] seq=110 owd=5254.320 ms
[1783339235.818559] seq=111 owd=5303.035 ms
[1783339235.886150] seq=112 owd=5350.626 ms
[1783339235.961365] seq=113 owd=5405.840 ms
[1783339236.029892] seq=114 owd=5454.367 ms
[1783339236.097895] seq=115 owd=5502.374 ms
[1783339236.174288] seq=116 owd=5558.761 ms
[1783339236.241821] seq=117 owd=5606.298 ms
[1783339236.309782] seq=118 owd=5654.260 ms
[1783339236.387007] seq=119 owd=5711.484 ms
[1783339236.453870] seq=120 owd=5758.348 ms
[1783339236.521853] seq=121 owd=5806.329 ms
[1783339236.589219] seq=122 owd=5853.695 ms
[1783339236.666095] seq=123 owd=5910.568 ms
[1783339236.732999] seq=124 owd=5957.465 ms
[1783339236.806586] seq=125 owd=6011.061 ms
[1783339236.878057] seq=126 owd=6062.532 ms
[1783339236.945262] seq=127 owd=6109.733 ms
[1783339237.013217] seq=128 owd=6157.693 ms
[1783339237.090094] seq=129 owd=6214.570 ms
[1783339237.157195] seq=130 owd=6261.668 ms
[1783339237.225175] seq=131 owd=6309.632 ms
[1783339237.301324] seq=132 owd=6365.783 ms
[1783339237.369202] seq=133 owd=6413.662 ms
[1783339237.436296] seq=134 owd=6460.743 ms
[1783339237.513535] seq=135 owd=6517.969 ms
[1783339237.581338] seq=136 owd=6565.773 ms
[1783339237.648454] seq=137 owd=6612.901 ms
[1783339237.725512] seq=138 owd=6669.961 ms
[1783339237.793685] seq=139 owd=6718.137 ms
[1783339237.861692] seq=140 owd=6766.150 ms
[1783339237.937195] seq=141 owd=6821.654 ms
[1783339238.004989] seq=142 owd=6869.448 ms
[1783339238.072806] seq=143 owd=6917.259 ms
[1783339238.149330] seq=144 owd=6973.813 ms
[1783339238.216964] seq=145 owd=7021.389 ms
[1783339238.266605] seq=146 owd=7051.047 ms
[1783339238.306074] seq=147 owd=7070.378 ms
[1783339238.344532] seq=148 owd=7088.964 ms
[1783339238.388139] seq=149 owd=7112.568 ms
[1783339238.430392] seq=150 owd=7134.863 ms
[1783339238.470735] seq=151 owd=7155.221 ms
[1783339238.509694] seq=152 owd=7174.153 ms
[1783339238.553757] seq=153 owd=7198.222 ms
[1783339238.593695] seq=154 owd=7218.156 ms
[1783339238.636272] seq=155 owd=7240.737 ms
[1783339238.675881] seq=156 owd=7260.339 ms
[1783339238.719296] seq=157 owd=7283.772 ms
[1783339238.758114] seq=158 owd=7302.592 ms
[1783339238.801873] seq=159 owd=7326.349 ms
[1783339238.840892] seq=160 owd=7345.363 ms
[1783339238.981868] seq=169 owd=7306.335 ms
[1783339239.027629] seq=173 owd=7272.084 ms
[1783339239.171628] seq=185 owd=7176.081 ms
[1783339239.193599] seq=187 owd=7158.062 ms
[1783339239.408423] seq=212 owd=6872.876 ms
[1783339239.416132] seq=214 owd=6840.586 ms
[1783339239.431955] seq=218 owd=6776.410 ms
[1783339239.440066] seq=220 owd=6744.519 ms
[1783339239.447378] seq=222 owd=6711.831 ms
[1783339239.455141] seq=224 owd=6679.594 ms
[1783339239.463254] seq=226 owd=6647.700 ms
[1783339239.470987] seq=228 owd=6615.438 ms
[1783339239.478703] seq=230 owd=6583.145 ms
[1783339239.486430] seq=232 owd=6550.874 ms
[1783339239.502269] seq=236 owd=6486.716 ms
[1783339239.526240] seq=242 owd=6390.694 ms
[1783339239.542076] seq=246 owd=6326.503 ms
[1783339239.624241] seq=267 owd=5988.719 ms
[1783339239.631937] seq=269 owd=5956.414 ms
[1783339239.656229] seq=275 owd=5860.684 ms
[1783339239.680147] seq=281 owd=5764.622 ms
[1783339239.696003] seq=285 owd=5700.457 ms
[1783339239.728010] seq=293 owd=5572.468 ms
[1783339239.734967] seq=295 owd=5539.432 ms
[1783339239.743463] seq=297 owd=5507.926 ms
[1783339239.751163] seq=299 owd=5475.627 ms
[1783339239.758487] seq=301 owd=5442.951 ms
[1783339239.790134] seq=309 owd=5314.611 ms
[1783339239.889639] seq=334 owd=4914.090 ms
[1783339239.929734] seq=344 owd=4754.188 ms
[1783339239.937989] seq=346 owd=4722.450 ms
[1783339239.945164] seq=348 owd=4689.615 ms
[1783339239.952932] seq=350 owd=4657.382 ms
[1783339239.968303] seq=354 owd=4592.757 ms
[1783339239.971078] seq=355 owd=4575.542 ms
[1783339240.000411] seq=362 owd=4464.884 ms
[1783339240.066490] seq=379 owd=4190.946 ms
[1783339240.082300] seq=383 owd=4126.766 ms
[1783339240.090387] seq=385 owd=4094.831 ms
[1783339240.098134] seq=387 owd=4062.585 ms
[1783339240.122067] seq=393 owd=3966.510 ms
[1783339240.129766] seq=395 owd=3934.211 ms
[1783339240.137135] seq=397 owd=3901.593 ms
[1783339240.153046] seq=401 owd=3837.520 ms
[1783339240.161071] seq=403 owd=3805.477 ms
[1783339240.169188] seq=405 owd=3773.653 ms
[1783339240.176139] seq=407 owd=3740.604 ms
[1783339240.184248] seq=409 owd=3708.725 ms
[1783339240.274532] seq=432 owd=3339.004 ms
[1783339240.298712] seq=438 owd=3243.184 ms
[1783339240.314540] seq=442 owd=3178.974 ms
[1783339240.322790] seq=444 owd=3147.260 ms
[1783339240.329942] seq=446 owd=3114.415 ms
[1783339240.345836] seq=450 owd=3050.297 ms
[1783339240.361642] seq=454 owd=2986.105 ms
[1783339240.369366] seq=456 owd=2953.829 ms
[1783339240.377473] seq=458 owd=2921.947 ms
[1783339240.401132] seq=464 owd=2825.603 ms
[1783339240.416949] seq=468 owd=2761.397 ms
[1783339240.424657] seq=470 owd=2729.120 ms
[1783339258.317090] seq=1494 owd=141.546 ms
[1783339258.335490] seq=1495 owd=139.958 ms
[1783339258.401874] seq=1496 owd=186.349 ms
[1783339258.478432] seq=1497 owd=242.909 ms
[1783339258.546312] seq=1498 owd=290.789 ms
[1783339258.613154] seq=1499 owd=337.619 ms
[1783339258.689582] seq=1500 owd=394.042 ms
[1783339258.758227] seq=1501 owd=442.687 ms
[1783339258.825929] seq=1502 owd=490.386 ms
[1783339258.901968] seq=1503 owd=546.360 ms
[1783339258.970113] seq=1504 owd=594.534 ms
[1783339259.038156] seq=1505 owd=642.640 ms
[1783339259.106369] seq=1506 owd=690.835 ms
[1783339259.182272] seq=1507 owd=746.738 ms
[1783339259.249427] seq=1508 owd=793.899 ms
[1783339259.326025] seq=1509 owd=850.492 ms
[1783339259.393233] seq=1510 owd=897.701 ms
[1783339259.461925] seq=1511 owd=946.368 ms
[1783339259.537983] seq=1512 owd=1002.424 ms
[1783339259.606055] seq=1513 owd=1050.497 ms
[1783339259.674230] seq=1514 owd=1098.680 ms
[1783339259.749498] seq=1515 owd=1153.941 ms
[1783339259.817246] seq=1516 owd=1201.691 ms
[1783339259.885720] seq=1517 owd=1250.166 ms
[1783339259.953276] seq=1518 owd=1297.738 ms
[1783339260.029662] seq=1519 owd=1354.131 ms
[1783339260.097567] seq=1520 owd=1401.989 ms
[1783339260.165140] seq=1521 owd=1449.567 ms
[1783339260.242319] seq=1522 owd=1506.794 ms
[1783339260.309603] seq=1523 owd=1554.078 ms
[1783339260.377183] seq=1524 owd=1601.655 ms
[1783339260.453644] seq=1525 owd=1658.056 ms
[1783339260.521595] seq=1526 owd=1705.997 ms
[1783339260.589234] seq=1527 owd=1753.683 ms
[1783339260.665255] seq=1528 owd=1809.727 ms
[1783339260.733208] seq=1529 owd=1857.666 ms
[1783339260.801181] seq=1530 owd=1905.654 ms
[1783339260.877184] seq=1531 owd=1961.626 ms
[1783339260.945163] seq=1532 owd=2009.582 ms
[1783339261.013015] seq=1533 owd=2057.443 ms
[1783339261.089134] seq=1534 owd=2113.597 ms
[1783339261.157200] seq=1535 owd=2161.572 ms
[1783339261.225091] seq=1536 owd=2209.529 ms
[1783339261.300817] seq=1537 owd=2265.282 ms
[1783339261.368644] seq=1538 owd=2313.108 ms
[1783339261.436323] seq=1539 owd=2360.794 ms
[1783339261.513015] seq=1540 owd=2417.476 ms
[1783339261.580838] seq=1541 owd=2465.301 ms
[1783339261.648887] seq=1542 owd=2513.350 ms
[1783339261.725692] seq=1543 owd=2570.145 ms
[1783339261.793509] seq=1544 owd=2617.970 ms
[1783339261.860686] seq=1545 owd=2665.151 ms
[1783339261.937150] seq=1546 owd=2721.588 ms
[1783339262.004813] seq=1547 owd=2769.282 ms
[1783339262.071918] seq=1548 owd=2816.389 ms
[1783339262.149188] seq=1549 owd=2873.660 ms
[1783339262.216894] seq=1550 owd=2921.366 ms
[1783339262.284928] seq=1551 owd=2969.390 ms
[1783339262.353092] seq=1552 owd=3017.554 ms
[1783339262.429161] seq=1553 owd=3073.626 ms
[1783339262.497090] seq=1554 owd=3121.559 ms
[1783339262.570433] seq=1555 owd=3174.889 ms
[1783339262.640516] seq=1556 owd=3224.973 ms
[1783339262.708472] seq=1557 owd=3272.935 ms
[1783339262.785633] seq=1558 owd=3330.106 ms
[1783339262.852757] seq=1559 owd=3377.230 ms
[1783339262.920375] seq=1560 owd=3424.849 ms
[1783339262.987573] seq=1561 owd=3472.044 ms
[1783339263.064769] seq=1562 owd=3529.240 ms
[1783339263.133164] seq=1563 owd=3577.631 ms
[1783339263.200381] seq=1564 owd=3624.838 ms
[1783339263.277523] seq=1565 owd=3681.988 ms
[1783339263.343933] seq=1566 owd=3728.402 ms
[1783339263.412657] seq=1567 owd=3777.121 ms
[1783339263.488752] seq=1568 owd=3833.224 ms
[1783339263.556110] seq=1569 owd=3880.578 ms
[1783339263.624310] seq=1570 owd=3928.777 ms
[1783339263.701066] seq=1571 owd=3985.531 ms
[1783339263.768635] seq=1572 owd=4033.107 ms
[1783339263.835789] seq=1573 owd=4080.265 ms
[1783339263.912784] seq=1574 owd=4137.259 ms
[1783339263.980811] seq=1575 owd=4185.287 ms
[1783339264.047791] seq=1576 owd=4232.266 ms
[1783339264.124544] seq=1577 owd=4289.021 ms
[1783339264.192274] seq=1578 owd=4336.753 ms
[1783339264.259481] seq=1579 owd=4383.955 ms
[1783339264.336244] seq=1580 owd=4440.699 ms
[1783339264.404443] seq=1581 owd=4488.897 ms
[1783339264.472208] seq=1582 owd=4536.664 ms
[1783339264.544607] seq=1583 owd=4589.055 ms
[1783339264.616162] seq=1584 owd=4640.608 ms
[1783339264.684261] seq=1585 owd=4688.705 ms
[1783339264.760598] seq=1586 owd=4745.048 ms
[1783339264.827880] seq=1587 owd=4792.326 ms
[1783339264.895557] seq=1588 owd=4840.004 ms
[1783339264.972653] seq=1589 owd=4897.108 ms
[1783339265.039854] seq=1590 owd=4944.265 ms
[1783339265.107799] seq=1591 owd=4992.262 ms
[1783339265.184807] seq=1592 owd=5049.267 ms
[1783339265.252591] seq=1593 owd=5097.054 ms
[1783339265.319828] seq=1594 owd=5144.269 ms
[1783339265.388495] seq=1595 owd=5192.935 ms
[1783339265.463782] seq=1596 owd=5248.236 ms
[1783339265.531235] seq=1597 owd=5295.705 ms
[1783339265.599992] seq=1598 owd=5344.464 ms
[1783339265.676147] seq=1599 owd=5400.616 ms
[1783339265.743690] seq=1600 owd=5448.137 ms
[1783339265.817334] seq=1601 owd=5501.758 ms
[1783339265.888031] seq=1602 owd=5552.497 ms
[1783339265.955595] seq=1603 owd=5600.063 ms
[1783339266.023898] seq=1604 owd=5648.372 ms
[1783339266.100105] seq=1605 owd=5704.566 ms
[1783339266.167686] seq=1606 owd=5752.148 ms
[1783339266.244102] seq=1607 owd=5808.566 ms
[1783339266.311314] seq=1608 owd=5855.781 ms
[1783339266.379320] seq=1609 owd=5903.791 ms
[1783339266.448008] seq=1610 owd=5952.482 ms
[1783339266.523932] seq=1611 owd=6008.410 ms
[1783339266.591179] seq=1612 owd=6055.654 ms
[1783339266.659830] seq=1613 owd=6104.309 ms
[1783339266.735611] seq=1614 owd=6160.080 ms
[1783339266.803543] seq=1615 owd=6208.020 ms
[1783339266.871785] seq=1616 owd=6256.237 ms
[1783339266.947558] seq=1617 owd=6312.017 ms
[1783339267.014714] seq=1618 owd=6359.168 ms
[1783339267.083224] seq=1619 owd=6407.670 ms
[1783339267.159583] seq=1620 owd=6464.044 ms
[1783339267.228090] seq=1621 owd=6512.558 ms
[1783339267.295802] seq=1622 owd=6560.250 ms
[1783339267.371633] seq=1623 owd=6616.075 ms
[1783339267.439660] seq=1624 owd=6664.099 ms
[1783339267.507540] seq=1625 owd=6711.996 ms
[1783339267.583206] seq=1626 owd=6767.663 ms
[1783339267.650863] seq=1627 owd=6815.317 ms
[1783339267.718720] seq=1628 owd=6863.171 ms
[1783339267.791405] seq=1629 owd=6915.850 ms
[1783339267.863127] seq=1630 owd=6967.582 ms
[1783339267.931701] seq=1631 owd=7016.148 ms
[1783339268.007108] seq=1632 owd=7071.564 ms
[1783339268.075423] seq=1633 owd=7119.883 ms
[1783339268.143337] seq=1634 owd=7167.784 ms
[1783339268.219093] seq=1635 owd=7223.538 ms
[1783339268.286299] seq=1636 owd=7270.753 ms
[1783339268.354868] seq=1637 owd=7319.326 ms
[1783339268.431551] seq=1638 owd=7376.004 ms
[1783339268.498753] seq=1639 owd=7423.217 ms
[1783339268.566329] seq=1640 owd=7470.787 ms
[1783339268.635115] seq=1641 owd=7519.573 ms
[1783339268.711381] seq=1642 owd=7575.832 ms
[1783339268.778947] seq=1643 owd=7623.400 ms
[1783339268.846647] seq=1644 owd=7671.101 ms
[1783339268.922625] seq=1645 owd=7727.081 ms
[1783339268.991382] seq=1646 owd=7775.825 ms
[1783339269.058928] seq=1647 owd=7823.370 ms
[1783339269.123245] seq=1650 owd=7827.712 ms
[1783339269.203679] seq=1654 owd=7828.140 ms
[1783339269.283597] seq=1658 owd=7828.077 ms
[1783339269.323696] seq=1660 owd=7828.149 ms
[1783339269.364238] seq=1662 owd=7828.696 ms
[1783339269.402593] seq=1664 owd=7827.050 ms
[1783339269.442365] seq=1666 owd=7826.827 ms
[1783339269.482830] seq=1668 owd=7827.301 ms
[1783339269.562862] seq=1672 owd=7827.319 ms
[1783339269.824360] seq=1685 owd=7828.811 ms
[1783339269.903806] seq=1689 owd=7828.249 ms
[1783339269.943968] seq=1691 owd=7828.419 ms
[1783339270.023768] seq=1695 owd=7828.218 ms
[1783339270.104440] seq=1699 owd=7828.893 ms
[1783339270.129212] seq=1700 owd=7833.679 ms
[1783339270.183306] seq=1703 owd=7827.771 ms
[1783339270.304571] seq=1709 owd=7829.047 ms
[1783339270.353736] seq=1711 owd=7838.205 ms
[1783339270.384025] seq=1713 owd=7828.501 ms
[1783339270.593651] seq=1723 owd=7838.129 ms
[1783339271.058911] seq=1746 owd=7843.361 ms
[1783339271.096680] seq=1748 owd=7841.143 ms
[1783339271.297870] seq=1758 owd=7842.343 ms
[1783339271.377407] seq=1762 owd=7841.868 ms
[1783339271.426757] seq=1764 owd=7851.213 ms
[1783339271.546911] seq=1770 owd=7851.358 ms
[1783339271.587010] seq=1772 owd=7851.472 ms
[1783339271.627163] seq=1774 owd=7851.612 ms
[1783339271.665890] seq=1776 owd=7850.331 ms
[1783339271.707902] seq=1778 owd=7852.376 ms
[1783339271.740914] seq=1780 owd=7845.356 ms
[1783339272.066221] seq=1796 owd=7850.675 ms
[1783339272.119552] seq=1799 owd=7844.012 ms
[1783339272.329042] seq=1809 owd=7853.512 ms
[1783339272.409439] seq=1813 owd=7853.886 ms
[1783339272.449507] seq=1815 owd=7853.946 ms
[1783339272.569930] seq=1821 owd=7854.374 ms
[1783339272.609127] seq=1823 owd=7853.592 ms
[1783339272.648328] seq=1825 owd=7852.782 ms
[1783339272.687990] seq=1827 owd=7852.448 ms
[1783339272.727938] seq=1829 owd=7852.392 ms
[1783339272.888899] seq=1837 owd=7853.360 ms
[1783339272.928346] seq=1839 owd=7852.789 ms
[1783339272.967858] seq=1841 owd=7852.300 ms
[1783339273.230520] seq=1854 owd=7854.970 ms
[1783339273.269889] seq=1856 owd=7854.349 ms
[1783339273.349527] seq=1860 owd=7853.997 ms
[1783339273.550923] seq=1870 owd=7855.335 ms
[1783339273.590687] seq=1872 owd=7854.934 ms
[1783339273.630233] seq=1874 owd=7854.706 ms
[1783339273.710105] seq=1878 owd=7854.579 ms
[1783339273.839432] seq=1884 owd=7863.879 ms
[1783339273.920563] seq=1888 owd=7865.023 ms
[1783339273.999726] seq=1892 owd=7864.195 ms
[1783339274.585275] seq=1921 owd=7869.740 ms
[1783339274.625480] seq=1923 owd=7869.935 ms
[1783339274.705475] seq=1927 owd=7869.931 ms
[1783339274.833445] seq=1933 owd=7877.902 ms
[1783339274.914046] seq=1937 owd=7878.496 ms
[1783339274.994359] seq=1941 owd=7878.809 ms
[1783339275.033413] seq=1943 owd=7877.858 ms
[1783339275.114092] seq=1947 owd=7878.543 ms
[1783339275.577530] seq=1970 owd=7881.973 ms
[1783339275.697995] seq=1976 owd=7882.463 ms
[1783339275.817974] seq=1982 owd=7882.432 ms
[1783339275.858128] seq=1984 owd=7882.583 ms
[1783339275.897544] seq=1986 owd=7882.005 ms
[1783339276.107094] seq=1996 owd=7891.540 ms
[1783339276.241747] seq=2003 owd=7886.212 ms
[1783339276.388025] seq=2010 owd=7892.498 ms
[1783339276.691762] seq=2025 owd=7896.229 ms
[1783339276.811418] seq=2031 owd=7895.882 ms
[1783339276.900858] seq=2035 owd=7905.301 ms
[1783339277.061141] seq=2043 owd=7905.600 ms
[1783339277.101315] seq=2045 owd=7905.784 ms
[1783339277.141838] seq=2047 owd=7906.293 ms
[1783339277.180915] seq=2049 owd=7905.370 ms
[1783339277.461933] seq=2063 owd=7906.381 ms
[1783339277.803640] seq=2080 owd=7908.111 ms
[1783339277.845226] seq=2082 owd=7909.686 ms
[1783339277.883566] seq=2084 owd=7908.034 ms
[1783339278.044465] seq=2092 owd=7908.906 ms
[1783339278.108559] seq=2095 owd=7912.836 ms
[1783339278.373345] seq=2108 owd=7917.813 ms
[1783339278.413918] seq=2110 owd=7918.391 ms
[1783339278.452916] seq=2112 owd=7917.380 ms
[1783339278.824511] seq=2131 owd=7908.972 ms
[1783339278.945096] seq=2137 owd=7909.543 ms
[1783339279.063267] seq=2143 owd=7907.728 ms
[1783339279.103466] seq=2145 owd=7907.906 ms
[1783339279.142795] seq=2147 owd=7907.243 ms
[1783339279.223583] seq=2151 owd=7908.039 ms
[1783339279.343255] seq=2157 owd=7907.722 ms
[1783339279.432891] seq=2161 owd=7917.360 ms
[1783339279.713120] seq=2175 owd=7917.590 ms
[1783339280.032942] seq=2191 owd=7917.409 ms
[1783339280.126137] seq=2196 owd=7910.589 ms
[1783339280.335400] seq=2206 owd=7919.824 ms
[1783339280.416432] seq=2210 owd=7920.902 ms
[1783339280.455838] seq=2212 owd=7920.307 ms
[1783339280.625674] seq=2220 owd=7930.133 ms
[1783339280.662397] seq=2222 owd=7926.851 ms
[1783339280.695602] seq=2224 owd=7920.056 ms
[1783339281.079377] seq=2243 owd=7923.829 ms
[1783339281.317593] seq=2255 owd=7922.056 ms
[1783339281.357696] seq=2257 owd=7922.161 ms
[1783339281.398396] seq=2259 owd=7922.847 ms
[1783339281.477806] seq=2263 owd=7922.276 ms
[1783339281.527237] seq=2265 owd=7931.700 ms
[1783339281.596736] seq=2269 owd=7921.189 ms
[1783339281.686689] seq=2273 owd=7931.149 ms
[1783339282.508873] seq=2314 owd=7933.348 ms
[1783339282.588422] seq=2318 owd=7932.874 ms
[1783339282.628511] seq=2320 owd=7932.972 ms
[1783339282.666821] seq=2322 owd=7931.282 ms
[1783339282.707640] seq=2324 owd=7932.108 ms
[1783339282.868392] seq=2332 owd=7932.853 ms
[1783339282.907784] seq=2334 owd=7932.242 ms
[1783339282.947916] seq=2336 owd=7932.371 ms
[1783339283.027094] seq=2340 owd=7931.550 ms
