time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,5694461,5711833,0,0
2,6725097,6725398,0,0
3,6707978,6709703,0,0
4,6737577,6733825,0,0
5,6712724,6720116,0,0
6,6732255,6729693,0,0
7,6721808,6720620,0,0
8,6728398,6728700,0,0
9,6713177,6710618,0,0
10,4416818,4402712,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,3157344,3177470,0,0
31,6716541,6715413,0,0
32,6715479,6728717,0,0
33,6724007,6714228,0,0
34,6729821,6727262,0,0
35,6730874,6732661,0,0
36,6726094,6726335,0,0
37,6717849,6716720,0,0
38,6718970,6727841,0,0
39,6727523,6720739,0,0
40,6721248,6721606,0,0
41,6716657,6723978,0,0
42,6738110,6726958,0,0
43,6718387,6718686,0,0
44,6714598,6722043,0,0
45,6736981,6728698,0,0
46,6710377,6719310,0,0
47,6593796,6595549,0,0
48,6839974,6845867,0,0
49,6733375,6727960,0,0
50,6719901,6726021,0,0
51,6714819,6709304,0,0
52,6735285,6734157,0,0
53,6720825,6716959,0,0
54,6709121,6710729,0,0
55,6731366,6737429,0,0
56,6717603,6719335,0,0
57,6738053,6726833,0,0
58,6704272,6723169,0,0
59,6742702,6725897,0,0
60,2752723,2735554,0,0
61,1274,1274,0,0
