time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,77,77,77
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,77,77,77
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,90009,125418,83818
22,1550324,1459255,736091
23,1544262,1457765,727487
24,1550294,1466393,726817
25,1547522,1457827,734598
26,1548897,1462003,731796
27,1546095,1461576,728887
28,1548897,1464378,727459
29,1547314,1455837,733199
30,1547314,1461537,731721
31,742963,1999970,996579
32,0,1505782,2233134
33,0,0,2713684
34,77,77,77
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,77,77,77
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,1007175,979463,522493
52,1553233,1467768,728887
53,1546118,1462188,728964
54,1547418,1457812,732498
55,1548685,1460486,731721
56,1547210,1465628,725305
57,1545733,1453083,735322
58,1550271,1467155,728166
59,1544464,1460272,728871
60,1550003,1457354,735322
61,1545889,1464387,726021
62,1548580,1458831,732369
63,1547391,1462986,730106
64,1548633,1462995,727992
65,1546041,1458506,733009
66,1550485,1461381,733682
67,1547364,1461396,727845
68,1547418,1464356,727738
69,1547364,1457224,735030
70,1548633,1461784,729149
71,1547418,1461610,727845
72,1547678,1463206,729904
73,1549399,1461677,731487
74,1547837,1461366,730683
75,1546248,1460291,730065
76,1547783,1461420,730790
77,1546198,1458737,729395
78,1547364,1457171,733657
79,1545786,1461358,729149
80,1547106,1461765,728483
81,463006,2184017,1097527
82,0,1051219,2687398
