time,af41_bps,af42_bps,af43_bps
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,349470,357660,204982
13,1550728,1461956,733904
14,1553991,1465422,734872
15,1552807,1470427,726702
16,1548987,1460536,733099
17,1549654,1465472,728763
18,1555809,1466312,737195
19,1553441,1467315,732526
20,1552162,1464250,731035
21,1548633,1460750,732098
22,1555071,1467893,735546
23,1552681,1468986,730400
24,1552310,1462952,733107
25,1552373,1465723,733695
26,1551952,1467134,730617
27,1550298,1463235,730931
28,1552492,1465472,734041
29,1551861,1464714,730091
30,1553114,1461504,740235
31,1509165,1425279,709213
32,1595752,1509481,750468
33,262980,2323985,1167954
34,0,837095,2912989
35,0,0,1739466
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
