# OWD receiver: AF43  port=5003
[1783339338.411722] seq=1 owd=140.538 ms
[1783339338.431635] seq=2 owd=140.418 ms
[1783339338.451852] seq=3 owd=140.628 ms
[1783339338.471668] seq=4 owd=140.294 ms
[1783339338.491658] seq=5 owd=140.440 ms
[1783339338.511667] seq=6 owd=140.445 ms
[1783339338.531688] seq=7 owd=140.454 ms
[1783339338.551785] seq=8 owd=140.601 ms
[1783339338.571718] seq=9 owd=140.510 ms
[1783339338.648024] seq=10 owd=196.812 ms
[1783339338.715816] seq=11 owd=244.607 ms
[1783339338.782984] seq=12 owd=291.774 ms
[1783339338.859762] seq=13 owd=348.514 ms
[1783339338.927662] seq=14 owd=396.455 ms
[1783339338.995347] seq=15 owd=443.949 ms
[1783339339.071541] seq=16 owd=500.345 ms
[1783339339.139508] seq=17 owd=548.314 ms
[1783339339.207545] seq=18 owd=596.137 ms
[1783339339.274567] seq=19 owd=643.375 ms
[1783339339.351529] seq=20 owd=700.332 ms
[1783339339.419478] seq=21 owd=748.252 ms
[1783339339.495867] seq=22 owd=804.654 ms
[1783339339.563060] seq=23 owd=851.848 ms
[1783339339.630635] seq=24 owd=899.427 ms
[1783339339.700022] seq=25 owd=948.819 ms
[1783339339.775090] seq=26 owd=1003.883 ms
[1783339339.843088] seq=27 owd=1051.879 ms
[1783339339.917374] seq=28 owd=1106.167 ms
[1783339339.987898] seq=29 owd=1156.697 ms
[1783339340.055263] seq=30 owd=1204.063 ms
[1783339340.123544] seq=31 owd=1252.340 ms
[1783339340.199717] seq=32 owd=1308.502 ms
[1783339340.267197] seq=33 owd=1355.990 ms
[1783339340.335182] seq=34 owd=1403.976 ms
[1783339340.410934] seq=35 owd=1459.724 ms
[1783339340.479146] seq=36 owd=1507.932 ms
[1783339340.546380] seq=37 owd=1555.169 ms
[1783339340.623249] seq=38 owd=1612.032 ms
[1783339340.691535] seq=39 owd=1660.325 ms
[1783339340.758665] seq=40 owd=1707.444 ms
[1783339340.835218] seq=41 owd=1763.992 ms
[1783339340.903208] seq=42 owd=1812.002 ms
[1783339340.972818] seq=43 owd=1861.619 ms
[1783339341.046630] seq=44 owd=1915.412 ms
[1783339341.114313] seq=45 owd=1963.103 ms
