time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,5728948,5760430,0,0
2,6734667,6724966,0,0
3,6733729,6726833,0,0
4,6700250,6715961,0,0
5,6737038,6733048,0,0
6,6714664,6707760,0,0
7,6735118,6735419,0,0
8,6721182,6718621,0,0
9,6732255,6731124,0,0
10,4118479,4104333,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,1828,1828,0,0
32,823043,837455,0,0
33,6673114,6688798,0,0
34,6776695,6762681,0,0
35,6716384,6719546,0,0
36,6724509,6724809,0,0
37,6730406,6727841,0,0
38,6695287,6716992,0,0
39,6726592,6712617,0,0
40,6719958,6727388,0,0
41,6730069,6728942,0,0
42,6732682,6724401,0,0
43,6709976,6715980,0,0
44,6733729,6726833,0,0
45,6719455,6726951,0,0
46,6728585,6718874,0,0
47,6719423,6722481,0,0
48,6727902,6728261,0,0
49,6705180,6719755,0,0
50,6730381,6717822,0,0
51,6727652,6726464,0,0
52,6731762,6727764,0,0
53,6716384,6720978,0,0
54,6715172,6722675,0,0
55,6711000,6705600,0,0
56,6746700,6744079,0,0
57,6715075,6716807,0,0
58,6708947,6719222,0,0
59,6625330,6613953,0,0
