time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,77,77,77
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,77,77,77
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,373,213,53
25,1344215,1310449,676538
26,1547364,1462037,728166
27,1547495,1456462,735374
28,1547260,1462071,728924
29,1547210,1464525,726728
30,1547418,1455637,735297
31,1547260,1462855,728924
32,1547678,1465960,730333
33,1550701,1460095,729626
34,988797,1833613,916519
35,0,1910003,1828703
36,392279,397728,3543292
37,1547600,1459279,730392
38,1547364,1463517,726739
39,1547210,1456357,735322
40,1549002,1463506,731038
41,1547314,1465758,726021
42,1547260,1457209,731774
43,1547210,1458564,730999
44,1548844,1465835,728166
45,1545733,1455717,732475
46,1547106,1461818,728856
47,1547391,1462932,730426
48,1550324,1459934,734437
49,1545889,1461697,727233
50,1546846,1458462,731360
51,1550271,1464302,729272
52,1545992,1459916,729165
53,1547053,1457179,734278
54,1550378,1468500,729833
55,1531764,1451689,720213
56,1545992,1672597,867837
57,1545913,3944928,1972209
58,1552023,1590900,4356501
59,1543086,1457812,1400439
60,1548844,1464943,728166
61,1547314,1458687,733199
62,1548791,1460237,731018
63,1547418,1465568,728166
64,1547156,1458724,729575
65,1548950,1460041,734651
66,1548974,1464615,727536
67,1547627,1461542,729448
68,1549002,1463078,729555
69,1544565,1457117,729111
70,1547364,1457224,735351
71,1547314,1463015,728764
72,1548791,1462983,731018
73,1549269,1463173,729519
74,1544512,1455905,730751
75,1550271,1462929,730698
76,1545810,1461755,728122
77,1547314,1455837,735675
78,1547314,1466079,727126
79,1548685,1461484,727339
80,1550378,1457346,737453
81,1547469,1462950,728673
82,1545782,1461270,727179
