time,af41_bps,af42_bps,af43_bps
1,1288447,1227138,673035
2,1515438,1433080,713671
3,1586996,1497620,749514
4,1553657,1466545,735454
5,1553597,1463045,732412
6,1552096,1464663,734715
7,1550846,1465227,731524
8,1550839,1466501,727587
9,1552449,1466832,732884
10,1552196,1462416,735005
11,1552305,1470138,727662
12,1552585,1462998,735215
13,1553983,1464504,735870
14,1551280,1464259,730082
15,1550901,1467518,729298
16,1553223,1461697,738284
17,1552196,1466660,731710
18,1551434,1469584,728700
19,1516904,1429223,718695
20,1547228,1461736,727802
21,1595080,1506824,751802
22,1548264,1459886,733601
23,1520996,1435532,716379
24,1588083,1502751,746527
25,1553502,1465064,733876
26,1551847,1459905,738534
27,1549445,1466406,726372
28,1519066,1434716,717891
29,1586652,1495404,750338
30,1553175,1467087,732077
31,1550887,1462203,735481
32,1553757,1465547,732603
33,1554493,1472438,728454
34,1549808,1460073,735832
35,1553054,1469488,729643
36,1548711,1458203,735062
37,1556188,1471266,731734
38,1552114,1464116,731399
39,1552259,1466459,733891
40,1552609,1462297,732561
41,1549711,1463121,732466
42,1553280,1468122,732848
43,1553597,1467003,732009
44,1552780,1462133,734888
45,1548513,1465938,728751
46,1554624,1466036,735825
47,1549958,1464377,730137
48,1555197,1465934,734345
49,1551325,1464502,732133
50,1553761,1467312,732794
51,1550375,1463001,734343
52,1552114,1464346,731514
53,1552417,1464252,733495
54,1551223,1468468,727124
55,1553119,1462850,737273
56,1552537,1465743,734195
57,1547678,1463268,728377
58,1555442,1470633,734294
59,1553594,1462698,734659
60,1548096,1461534,730053
61,108563,2431737,1216436
62,0,615303,3130740
