# OWD receiver: AF41  port=5001
[1783339121.609531] seq=1 owd=139.252 ms
[1783339121.629446] seq=2 owd=139.133 ms
[1783339121.649478] seq=3 owd=139.157 ms
[1783339121.669414] seq=4 owd=139.107 ms
[1783339121.689633] seq=5 owd=139.314 ms
[1783339121.709402] seq=6 owd=139.061 ms
[1783339121.729361] seq=7 owd=139.050 ms
[1783339121.749344] seq=8 owd=139.034 ms
[1783339121.769411] seq=9 owd=139.111 ms
[1783339121.789228] seq=10 owd=138.926 ms
[1783339121.809208] seq=11 owd=138.913 ms
[1783339121.829447] seq=12 owd=139.092 ms
[1783339121.849384] seq=13 owd=139.082 ms
[1783339121.869453] seq=14 owd=139.137 ms
[1783339121.889323] seq=15 owd=139.019 ms
[1783339121.909466] seq=16 owd=139.162 ms
[1783339121.929227] seq=17 owd=138.928 ms
[1783339121.949867] seq=18 owd=139.572 ms
[1783339121.969586] seq=19 owd=139.291 ms
[1783339121.989766] seq=20 owd=139.474 ms
[1783339122.009483] seq=21 owd=139.189 ms
[1783339122.029575] seq=22 owd=139.283 ms
[1783339122.049660] seq=23 owd=139.367 ms
[1783339122.069957] seq=24 owd=139.666 ms
[1783339122.089855] seq=25 owd=139.567 ms
[1783339122.109572] seq=26 owd=139.283 ms
[1783339122.129675] seq=27 owd=139.384 ms
[1783339122.150045] seq=28 owd=139.753 ms
[1783339122.169822] seq=29 owd=139.534 ms
[1783339122.189859] seq=30 owd=139.570 ms
[1783339122.209573] seq=31 owd=139.285 ms
[1783339122.230020] seq=32 owd=139.725 ms
[1783339122.249671] seq=33 owd=139.387 ms
[1783339122.269313] seq=34 owd=139.018 ms
[1783339122.289745] seq=35 owd=139.457 ms
[1783339122.309417] seq=36 owd=139.131 ms
[1783339122.329676] seq=37 owd=139.391 ms
[1783339122.349605] seq=38 owd=139.312 ms
[1783339122.369439] seq=39 owd=139.150 ms
[1783339122.389903] seq=40 owd=139.614 ms
[1783339122.409626] seq=41 owd=139.337 ms
[1783339122.429667] seq=42 owd=139.378 ms
[1783339122.449900] seq=43 owd=139.606 ms
[1783339122.469744] seq=44 owd=139.451 ms
[1783339122.489643] seq=45 owd=139.334 ms
[1783339122.509862] seq=46 owd=139.559 ms
[1783339122.529582] seq=47 owd=139.278 ms
[1783339122.549655] seq=48 owd=139.336 ms
[1783339122.569818] seq=49 owd=139.497 ms
[1783339122.589550] seq=50 owd=139.233 ms
[1783339122.610245] seq=51 owd=139.932 ms
[1783339122.629679] seq=52 owd=139.357 ms
[1783339122.650031] seq=53 owd=139.702 ms
[1783339122.669758] seq=54 owd=139.446 ms
[1783339122.690211] seq=55 owd=139.906 ms
[1783339122.709504] seq=56 owd=139.201 ms
[1783339122.729703] seq=57 owd=139.403 ms
[1783339122.749657] seq=58 owd=139.348 ms
[1783339122.769911] seq=59 owd=139.602 ms
[1783339122.789851] seq=60 owd=139.548 ms
[1783339122.809266] seq=61 owd=138.967 ms
[1783339122.830019] seq=62 owd=139.710 ms
[1783339122.849763] seq=63 owd=139.459 ms
[1783339122.869778] seq=64 owd=139.489 ms
[1783339122.889893] seq=65 owd=139.602 ms
