time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,3120638,3144913,0,0
2,3758471,3748606,0,0
3,3760388,3755045,0,0
4,3747198,3748870,0,0
5,3752905,3754511,0,0
6,3750621,3749302,0,0
7,3746682,3748276,0,0
8,3754051,3751347,0,0
9,3746326,3747990,0,0
10,3731090,3746850,0,0
11,3771500,3755944,0,0
12,3742061,3743655,0,0
13,3759839,3758552,0,0
14,3747528,3751988,0,0
15,3755016,3749433,0,0
16,3742865,3747312,0,0
17,3749608,3749754,0,0
18,3759440,3755309,0,0
19,3747703,3749345,0,0
20,3748078,3751046,0,0
21,3744823,3740698,0,0
22,3758981,3760555,0,0
23,3742098,3747944,0,0
24,3754529,3750394,0,0
25,3752845,3752998,0,0
26,3752216,3750931,0,0
27,3746567,3745297,0,0
28,3748260,3754181,0,0
29,3755946,3751750,0,0
30,3747266,3747430,0,0
31,3754572,3751928,0,0
32,3747481,3753345,0,0
33,3749514,3748181,0,0
34,3744708,3742007,0,0
35,3752864,3755926,0,0
36,3750369,3750454,0,0
37,3754854,3753576,0,0
38,3752331,3752483,0,0
39,3746033,3744772,0,0
40,3747266,3753146,0,0
41,3756694,3752567,0,0
42,3752101,3750812,0,0
43,3738278,3745625,0,0
44,3755964,3748939,0,0
45,3754021,3754181,0,0
46,3745322,3752671,0,0
47,3754063,3748454,0,0
48,3746376,3752222,0,0
49,3755091,3749529,0,0
50,3753591,3752305,0,0
51,3744343,3747365,0,0
52,3750475,3749204,0,0
53,3755716,3755867,0,0
54,3744785,3746365,0,0
55,3744659,3747664,0,0
56,3753613,3756672,0,0
57,3748145,3741110,0,0
58,3753158,3754736,0,0
59,3749105,3753605,0,0
60,3750081,3748748,0,0
61,3750839,3748009,0,0
