time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,77,77,77
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,77,77,77
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,77,77,77
21,747,587,373
22,1495351,1425770,775387
23,1548685,1457743,731721
24,1545889,1464920,727446
25,1550164,1457796,736049
26,1547198,1461613,726728
27,1548992,1466007,728970
28,1545733,1454400,733899
29,1550271,1464302,729592
30,1545913,1463199,726098
31,1545889,1457262,734624
32,1547106,1461445,728802
33,1551643,1464623,730965
34,1547418,1455691,733550
35,1545835,1464440,727233
36,1548633,1461305,732049
37,1547210,1460148,729415
38,1550647,1464391,730629
39,1544667,1457400,730207
40,1547337,1462986,727203
41,1547418,1457705,736456
42,1548685,1464494,727019
43,1547418,1461396,729325
44,1550324,1458346,734277
45,1545992,1460077,729218
46,1549215,1465823,730790
47,1546301,1458646,729958
48,1549215,1461795,730844
49,1547783,1460417,730683
50,1546378,1460315,730142
51,1544512,1458811,729432
52,1550485,1467579,727752
53,1545938,1455744,733444
54,1548844,1459863,732178
55,1547314,1464494,727126
56,1547156,1456927,735056
57,1547314,1461537,728284
58,1550110,1465705,727233
59,1545889,1455677,735782
60,1547546,1463295,728910
61,1544363,1461518,726568
62,1551805,1461736,733170
63,1547260,1458474,731294
64,1548950,1463110,728673
65,1545938,1463090,727738
66,1548844,1457277,735244
67,1549002,1459952,732146
68,1546198,1463292,728126
69,1548897,1465485,728512
70,1547704,1459028,730794
71,1545938,1460023,730538
72,1547314,1455837,731721
73,1550324,1467340,729940
74,1547522,1462897,728619
75,1542786,1452966,731433
76,1551480,1465682,729149
77,1547418,1461717,731910
78,1548791,1457277,733444
79,1544464,1461750,726966
80,1547233,1463018,729492
81,594636,2091182,1052602
82,0,1292760,2449903
