# OWD receiver: AF41  port=5001
[1783079295.571008] seq=1 owd=0.137 ms
[1783079295.591019] seq=2 owd=0.122 ms
[1783079295.611010] seq=3 owd=0.117 ms
[1783079295.630949] seq=4 owd=0.054 ms
[1783079295.651003] seq=5 owd=0.103 ms
[1783079295.670967] seq=6 owd=0.078 ms
[1783079295.690963] seq=7 owd=0.072 ms
[1783079295.711009] seq=8 owd=0.087 ms
[1783079295.730976] seq=9 owd=0.087 ms
[1783079295.750956] seq=10 owd=0.068 ms
[1783079295.770970] seq=11 owd=0.073 ms
[1783079295.790946] seq=12 owd=0.058 ms
[1783079295.810945] seq=13 owd=0.063 ms
[1783079295.830974] seq=14 owd=0.085 ms
[1783079295.850957] seq=15 owd=0.071 ms
[1783079295.870969] seq=16 owd=0.083 ms
[1783079295.890961] seq=17 owd=0.074 ms
[1783079295.910944] seq=18 owd=0.060 ms
[1783079295.930977] seq=19 owd=0.068 ms
[1783079295.950981] seq=20 owd=0.078 ms
[1783079295.970964] seq=21 owd=0.077 ms
[1783079295.990967] seq=22 owd=0.080 ms
[1783079296.010958] seq=23 owd=0.075 ms
[1783079296.030956] seq=24 owd=0.067 ms
[1783079296.050986] seq=25 owd=0.098 ms
[1783079296.070974] seq=26 owd=0.070 ms
[1783079296.090966] seq=27 owd=0.079 ms
[1783079296.110968] seq=28 owd=0.070 ms
[1783079296.131094] seq=29 owd=0.164 ms
[1783079296.151041] seq=30 owd=0.086 ms
[1783079296.170960] seq=31 owd=0.068 ms
[1783079296.191039] seq=32 owd=0.098 ms
[1783079296.210952] seq=33 owd=0.061 ms
[1783079296.231091] seq=34 owd=0.121 ms
[1783079296.250988] seq=35 owd=0.086 ms
[1783079296.271009] seq=36 owd=0.115 ms
[1783079296.290967] seq=37 owd=0.087 ms
[1783079296.310983] seq=38 owd=0.091 ms
[1783079296.330958] seq=39 owd=0.070 ms
[1783079296.350975] seq=40 owd=0.086 ms
[1783079296.370960] seq=41 owd=0.073 ms
[1783079296.390961] seq=42 owd=0.074 ms
[1783079296.410960] seq=43 owd=0.070 ms
[1783079296.430974] seq=44 owd=0.067 ms
[1783079296.451002] seq=45 owd=0.078 ms
[1783079296.470988] seq=46 owd=0.093 ms
[1783079296.491006] seq=47 owd=0.102 ms
[1783079296.510970] seq=48 owd=0.087 ms
[1783079296.530962] seq=49 owd=0.074 ms
[1783079296.550948] seq=50 owd=0.066 ms
[1783079296.570952] seq=51 owd=0.065 ms
[1783079296.590970] seq=52 owd=0.080 ms
[1783079296.611039] seq=53 owd=0.111 ms
[1783079296.630987] seq=54 owd=0.096 ms
[1783079296.650958] seq=55 owd=0.063 ms
[1783079296.670971] seq=56 owd=0.074 ms
[1783079296.690972] seq=57 owd=0.075 ms
[1783079296.711005] seq=58 owd=0.110 ms
[1783079296.730953] seq=59 owd=0.062 ms
[1783079296.750978] seq=60 owd=0.065 ms
[1783079296.770958] seq=61 owd=0.081 ms
[1783079296.790972] seq=62 owd=0.081 ms
[1783079296.811018] seq=63 owd=0.102 ms
[1783079296.830964] seq=64 owd=0.074 ms
[1783079296.850969] seq=65 owd=0.058 ms
[1783079296.870985] seq=66 owd=0.098 ms
[1783079296.891002] seq=67 owd=0.075 ms
[1783079296.910961] seq=68 owd=0.073 ms
[1783079296.930957] seq=69 owd=0.076 ms
[1783079296.950953] seq=70 owd=0.069 ms
[1783079296.970970] seq=71 owd=0.078 ms
[1783079296.990979] seq=72 owd=0.085 ms
[1783079297.010956] seq=73 owd=0.065 ms
[1783079297.030971] seq=74 owd=0.069 ms
[1783079297.050983] seq=75 owd=0.099 ms
[1783079297.070978] seq=76 owd=0.082 ms
[1783079297.090967] seq=77 owd=0.074 ms
[1783079297.110966] seq=78 owd=0.073 ms
[1783079297.131039] seq=79 owd=0.099 ms
[1783079297.151036] seq=80 owd=0.141 ms
[1783079297.170976] seq=81 owd=0.082 ms
[1783079297.190962] seq=82 owd=0.071 ms
[1783079297.210970] seq=83 owd=0.080 ms
[1783079297.230950] seq=84 owd=0.066 ms
[1783079297.250948] seq=85 owd=0.062 ms
[1783079297.271002] seq=86 owd=0.103 ms
[1783079297.290990] seq=87 owd=0.103 ms
[1783079297.311039] seq=88 owd=0.149 ms
[1783079297.330956] seq=89 owd=0.067 ms
[1783079297.350967] seq=90 owd=0.077 ms
