time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,779936157,139435846,75578784
2,1004136248,163162784,81581580
3,1004876601,163289418,81645139
4,1004010933,163162676,81572579
5,1004869870,163261096,81635156
6,1005181111,163343316,81671577
7,1004163168,163171647,81590658
8,1005512490,163396946,81689651
9,1004091458,163153783,81590473
10,1005199023,163352488,81671846
11,1003832041,163099992,81545898
12,1004350929,163216467,81599528
13,1005297541,163352165,81680964
14,1004813908,163280623,81644870
15,1004581047,163236003,81618055
16,1004601506,163243416,81626477
17,1004984153,163316256,81653958
18,1004769127,163253217,81627227
19,1004598960,163253539,81617894
20,998902832,162304400,81161237
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,77,77,77
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,77,77,77
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,967162093,174430900,86499171
43,1003272123,163027194,81509316
44,1005664745,163432824,81707832
45,1004975119,163298697,81644816
46,1004348241,163208920,81599928
47,1004814027,163262669,81645378
48,1004473573,163226725,81600089
49,1005672275,163425162,81717413
50,1004518354,163218091,81618097
51,1004446758,163235735,81608884
52,1004545223,163208758,81618055
53,1004464617,163244583,81609099
54,1005161264,163335565,81663407
55,1004990927,163291008,81654442
56,1004124336,163182051,81582392
57,1004440479,163198597,81599659
58,1004957207,163298266,81662621
59,1004476191,163225522,81608206
60,961388717,174073461,113413980
61,0,0,305216
62,0,0,0
63,0,0,0
