# OWD receiver: AF42  port=5002
[1783079372.211266] seq=1 owd=0.151 ms
[1783079372.231405] seq=2 owd=0.170 ms
[1783079372.251242] seq=3 owd=0.091 ms
[1783079372.271237] seq=4 owd=0.094 ms
[1783079372.291508] seq=5 owd=0.266 ms
[1783079372.311362] seq=6 owd=0.119 ms
[1783079372.331197] seq=7 owd=0.063 ms
[1783079372.419176] seq=8 owd=68.035 ms
[1783079372.561296] seq=13 owd=110.152 ms
[1783079372.661255] seq=18 owd=110.135 ms
[1783079372.841454] seq=27 owd=110.310 ms
[1783079372.881355] seq=29 owd=110.222 ms
[1783079372.941272] seq=32 owd=110.086 ms
[1783079372.981196] seq=34 owd=110.060 ms
[1783079373.001225] seq=35 owd=110.082 ms
[1783079373.021222] seq=36 owd=110.078 ms
[1783079373.181219] seq=44 owd=110.075 ms
[1783079373.281172] seq=49 owd=110.040 ms
[1783079373.381320] seq=54 owd=110.198 ms
[1783079373.441353] seq=57 owd=110.216 ms
[1783079373.461272] seq=58 owd=110.140 ms
[1783079373.561229] seq=63 owd=110.113 ms
[1783079373.601241] seq=65 owd=110.124 ms
[1783079374.121411] seq=91 owd=110.240 ms
[1783079374.661388] seq=118 owd=110.235 ms
[1783079374.701261] seq=120 owd=110.126 ms
[1783079374.741268] seq=122 owd=110.132 ms
[1783079374.761288] seq=123 owd=110.147 ms
[1783079374.781288] seq=124 owd=110.144 ms
[1783079374.881325] seq=129 owd=110.189 ms
[1783079375.241337] seq=147 owd=110.201 ms
[1783079375.281245] seq=149 owd=110.115 ms
[1783079375.321233] seq=151 owd=110.110 ms
[1783079375.381264] seq=154 owd=110.132 ms
[1783079375.741423] seq=172 owd=110.295 ms
[1783079375.781423] seq=174 owd=110.257 ms
[1783079375.801126] seq=175 owd=109.994 ms
[1783079375.821184] seq=176 owd=110.009 ms
[1783079375.861070] seq=178 owd=109.937 ms
[1783079376.181341] seq=194 owd=110.204 ms
[1783079376.281223] seq=199 owd=110.095 ms
[1783079376.301296] seq=200 owd=110.137 ms
[1783079376.321295] seq=201 owd=110.172 ms
[1783079376.341090] seq=202 owd=109.956 ms
[1783079376.561430] seq=213 owd=110.266 ms
[1783079376.661366] seq=218 owd=110.233 ms
[1783079376.901285] seq=230 owd=110.142 ms
[1783079377.021344] seq=236 owd=110.209 ms
[1783079377.261425] seq=248 owd=110.298 ms
[1783079377.281134] seq=249 owd=109.997 ms
[1783079377.381355] seq=254 owd=110.226 ms
[1783079377.621348] seq=266 owd=110.211 ms
[1783079377.641359] seq=267 owd=110.221 ms
[1783079377.901292] seq=280 owd=110.136 ms
[1783079378.000836] seq=285 owd=109.693 ms
[1783079378.101237] seq=290 owd=110.103 ms
[1783079378.141223] seq=292 owd=110.097 ms
[1783079378.221184] seq=296 owd=110.018 ms
[1783079378.241253] seq=297 owd=110.120 ms
[1783079378.621348] seq=316 owd=110.185 ms
[1783079378.641319] seq=317 owd=110.195 ms
[1783079378.741334] seq=322 owd=110.170 ms
[1783079378.801349] seq=325 owd=110.198 ms
[1783079379.001507] seq=335 owd=110.345 ms
[1783079379.101297] seq=340 owd=110.145 ms
[1783079379.121300] seq=341 owd=110.168 ms
[1783079379.241370] seq=347 owd=110.220 ms
[1783079379.501306] seq=360 owd=110.169 ms
[1783079379.681382] seq=369 owd=110.249 ms
[1783079379.821384] seq=376 owd=110.226 ms
[1783079379.841336] seq=377 owd=110.199 ms
[1783079379.921324] seq=381 owd=110.192 ms
[1783079380.001197] seq=385 owd=110.060 ms
[1783079380.021270] seq=386 owd=110.117 ms
[1783079380.201317] seq=395 owd=110.182 ms
[1783079380.501439] seq=410 owd=110.295 ms
[1783079380.621431] seq=416 owd=110.232 ms
