time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,651449576,118301023,65269407
2,1003814093,163118101,81563416
3,1005225892,163361013,81671792
4,1004655136,163234362,81617207
5,1004494139,163216413,81617422
6,1004957207,163316233,81653772
7,1004930338,163289525,81644870
8,1004037775,163153836,81572525
9,1004993085,163307223,81653719
10,1004670609,163262603,81626958
11,1004813986,163262627,81644894
12,1004688521,163271774,81644924
13,1003736918,163107693,81545069
14,1005440894,163352272,81680749
15,1004822864,163307223,81635806
16,1005145286,163307330,81662998
17,1004661653,163271667,81635645
18,1004055723,163153783,81563578
19,1005225892,163361175,81689543
20,1004375055,163181944,81599928
21,719782954,133519169,66132691
22,1004019880,163145104,81572471
23,1005082647,163325243,81672276
24,1004485138,163243255,81617100
25,1005064681,163307545,81653665
26,1004607916,163235788,81617948
27,1004545223,163235627,81617840
28,1005378201,163369916,81680695
29,1004046722,163153890,81581472
30,1004813908,163280569,81636075
31,1004545300,163235651,81609284
32,1004500442,163208758,81626958
33,1005779910,163452488,81726378
34,1004294450,163191007,81582069
35,1004769127,163271721,81636021
36,1004312362,163208920,81609153
37,1005098508,163308885,81654550
38,1004321414,163190954,81581962
39,1005001988,163316286,81662729
40,1005055725,163316490,81671792
41,993837972,198236135,126318083
42,1004673030,163252256,81626316
43,1004386772,163216306,81608475
44,1005225892,163343101,81671631
45,1005055725,163316233,81653665
46,1004813908,163280300,81636021
47,1004500496,163235681,81626958
48,1004563135,163235627,81609099
49,1004795996,163280462,81635699
50,1004903470,163271667,81653934
51,1004261534,163189542,81581657
52,1004834135,163297315,81653361
53,1004458296,163207466,81599313
54,1004413560,163198358,81608529
55,1005458752,163397107,81698930
56,1004697531,163244637,81617948
57,1003966197,163135834,81572686
58,1004903470,163307707,81645085
59,1004733302,163262603,81635860
60,1004992762,163298482,81644762
61,95630595,34417264,43436069
62,0,0,0
63,0,0,0
