# OWD receiver: AF42  port=5002
[1783079222.184850] seq=1 owd=0.097 ms
[1783079222.204945] seq=2 owd=0.159 ms
[1783079222.224881] seq=3 owd=0.079 ms
[1783079222.337001] seq=4 owd=92.224 ms
[1783079222.535029] seq=13 owd=110.231 ms
[1783079222.574909] seq=15 owd=110.121 ms
[1783079222.594740] seq=16 owd=109.963 ms
[1783079222.715086] seq=22 owd=110.286 ms
[1783079222.934988] seq=33 owd=110.207 ms
[1783079223.094952] seq=41 owd=110.151 ms
[1783079223.115006] seq=42 owd=110.221 ms
[1783079223.194886] seq=46 owd=110.080 ms
[1783079223.235013] seq=48 owd=110.205 ms
[1783079223.394921] seq=56 owd=110.137 ms
[1783079223.414897] seq=57 owd=110.084 ms
[1783079223.494941] seq=61 owd=110.139 ms
[1783079223.534915] seq=63 owd=110.137 ms
[1783079223.554955] seq=64 owd=110.194 ms
[1783079223.695113] seq=71 owd=110.355 ms
[1783079223.974980] seq=85 owd=110.209 ms
[1783079223.994945] seq=86 owd=110.174 ms
[1783079224.054824] seq=89 owd=110.066 ms
[1783079224.134957] seq=93 owd=110.179 ms
[1783079224.254971] seq=99 owd=110.200 ms
[1783079224.654959] seq=119 owd=110.196 ms
[1783079224.794943] seq=126 owd=110.167 ms
[1783079225.114936] seq=142 owd=110.165 ms
[1783079225.474962] seq=160 owd=110.179 ms
[1783079225.574954] seq=165 owd=110.183 ms
[1783079225.594934] seq=166 owd=110.164 ms
[1783079225.755062] seq=174 owd=110.289 ms
[1783079225.775017] seq=175 owd=110.245 ms
[1783079226.075040] seq=190 owd=110.239 ms
[1783079226.134932] seq=193 owd=110.164 ms
[1783079226.295046] seq=201 owd=110.273 ms
[1783079226.475056] seq=210 owd=110.243 ms
[1783079226.594937] seq=216 owd=110.165 ms
[1783079226.715001] seq=222 owd=110.226 ms
[1783079226.834987] seq=228 owd=110.146 ms
[1783079227.535089] seq=263 owd=110.307 ms
[1783079227.555079] seq=264 owd=110.265 ms
