time,node,out_no_routes_per_sec,tx_drop_cr1_per_sec,tx_drop_cr2_per_sec,tx_drop_cr3_per_sec
1,LER_Ingress,0,0,0,0
2,LER_Ingress,0,0,0,0
3,LER_Ingress,0,0,0,0
4,LER_Ingress,0,0,0,0
5,LER_Ingress,0,0,0,0
6,LER_Ingress,0,0,0,0
7,LER_Ingress,0,0,0,0
8,LER_Ingress,0,0,0,0
9,LER_Ingress,0,0,0,0
10,LER_Ingress,0,0,0,0
11,LER_Ingress,0,0,0,0
12,LER_Ingress,0,0,0,0
13,LER_Ingress,0,0,0,0
14,LER_Ingress,0,0,0,0
15,LER_Ingress,0,0,0,0
16,LER_Ingress,0,0,0,0
17,LER_Ingress,0,0,0,0
18,LER_Ingress,0,0,0,0
19,LER_Ingress,0,0,0,0
20,LER_Ingress,0,0,0,0
21,LER_Ingress,0,0,0,0
22,LER_Ingress,0,0,0,0
23,LER_Ingress,0,0,0,0
24,LER_Ingress,0,0,0,0
25,LER_Ingress,0,0,0,0
26,LER_Ingress,0,0,0,0
28,LER_Ingress,0,0,0,0
29,LER_Ingress,0,0,0,0
30,LER_Ingress,0,0,0,0
31,LER_Ingress,0,0,0,0
32,LER_Ingress,0,0,0,0
33,LER_Ingress,0,0,0,0
34,LER_Ingress,0,0,0,0
35,LER_Ingress,0,0,0,0
36,LER_Ingress,0,0,0,0
37,LER_Ingress,0,0,0,0
38,LER_Ingress,0,0,0,0
39,LER_Ingress,0,0,0,0
40,LER_Ingress,0,0,0,0
41,LER_Ingress,0,0,0,0
42,LER_Ingress,0,0,0,0
43,LER_Ingress,0,0,0,0
44,LER_Ingress,0,0,0,0
45,LER_Ingress,0,0,0,0
46,LER_Ingress,0,0,0,0
47,LER_Ingress,0,0,0,0
48,LER_Ingress,0,0,0,0
49,LER_Ingress,0,0,0,0
50,LER_Ingress,0,0,0,0
51,LER_Ingress,0,0,0,0
52,LER_Ingress,0,0,0,0
53,LER_Ingress,0,0,0,0
54,LER_Ingress,0,0,0,0
55,LER_Ingress,0,0,0,0
56,LER_Ingress,0,0,0,0
57,LER_Ingress,0,0,0,0
58,LER_Ingress,0,0,0,0
59,LER_Ingress,0,0,0,0
60,LER_Ingress,0,0,0,0
61,LER_Ingress,0,0,0,0
62,LER_Ingress,0,0,0,0
63,LER_Ingress,0,0,0,0
