# OWD receiver: AF43  port=5003
[1783337571.806463] seq=1 owd=0.088 ms
[1783337571.879664] seq=2 owd=53.226 ms
[1783337572.011442] seq=3 owd=164.963 ms
[1783337572.142314] seq=4 owd=275.911 ms
[1783337572.273664] seq=5 owd=387.255 ms
[1783337572.546980] seq=16 owd=440.580 ms
[1783337572.827053] seq=30 owd=440.652 ms
[1783337573.507041] seq=64 owd=440.649 ms
[1783337573.606945] seq=69 owd=440.545 ms
[1783337573.766901] seq=77 owd=440.469 ms
[1783337573.986962] seq=88 owd=440.557 ms
[1783337574.026771] seq=90 owd=440.372 ms
[1783337574.226769] seq=100 owd=440.368 ms
[1783337574.426779] seq=110 owd=440.380 ms
[1783337574.446718] seq=111 owd=440.321 ms
[1783337574.486804] seq=113 owd=440.403 ms
[1783337574.786827] seq=128 owd=440.415 ms
[1783337574.806638] seq=129 owd=440.232 ms
[1783337575.006964] seq=139 owd=440.565 ms
[1783337575.186652] seq=148 owd=440.261 ms
[1783337575.427013] seq=160 owd=440.564 ms
[1783337575.626896] seq=170 owd=440.489 ms
[1783337575.686839] seq=173 owd=440.443 ms
[1783337575.946908] seq=186 owd=440.513 ms
[1783337576.227052] seq=200 owd=440.652 ms
[1783337576.426946] seq=210 owd=440.547 ms
[1783337577.027216] seq=240 owd=440.821 ms
[1783337577.226934] seq=250 owd=440.526 ms
[1783337577.426847] seq=260 owd=440.445 ms
[1783337577.627008] seq=270 owd=440.605 ms
[1783337577.687004] seq=273 owd=440.584 ms
[1783337578.026783] seq=290 owd=440.381 ms
[1783337578.247000] seq=301 owd=440.599 ms
[1783337578.386782] seq=308 owd=440.380 ms
[1783337578.627026] seq=320 owd=440.632 ms
[1783337578.786902] seq=328 owd=440.504 ms
[1783337578.886956] seq=333 owd=440.555 ms
[1783337578.926819] seq=335 owd=440.428 ms
[1783337579.206752] seq=349 owd=440.351 ms
[1783337579.627004] seq=370 owd=440.617 ms
[1783337579.887041] seq=383 owd=440.652 ms
[1783337580.046892] seq=391 owd=440.496 ms
[1783337580.086921] seq=393 owd=440.519 ms
[1783337580.146755] seq=396 owd=440.376 ms
[1783337580.226763] seq=400 owd=440.365 ms
[1783337580.246620] seq=401 owd=440.182 ms
[1783337580.306346] seq=404 owd=439.934 ms
[1783337580.526524] seq=415 owd=440.130 ms
[1783337580.747007] seq=426 owd=440.623 ms
[1783337580.926728] seq=435 owd=440.338 ms
[1783337580.966746] seq=437 owd=440.351 ms
[1783337581.126816] seq=445 owd=440.420 ms
[1783337581.186601] seq=448 owd=440.202 ms
[1783337581.446898] seq=461 owd=440.499 ms
[1783337581.486840] seq=463 owd=440.437 ms
[1783337581.687006] seq=473 owd=440.604 ms
[1783337581.746757] seq=476 owd=440.349 ms
[1783337581.826749] seq=480 owd=440.355 ms
[1783337581.946657] seq=486 owd=440.260 ms
[1783337582.366812] seq=507 owd=440.374 ms
[1783337582.427063] seq=510 owd=440.667 ms
[1783337582.446897] seq=511 owd=440.489 ms
[1783337582.706691] seq=524 owd=440.294 ms
[1783337582.926963] seq=535 owd=440.573 ms
[1783337582.986933] seq=538 owd=440.512 ms
[1783337583.427019] seq=560 owd=440.624 ms
[1783337583.626904] seq=570 owd=440.517 ms
[1783337583.706856] seq=574 owd=440.464 ms
[1783337583.866723] seq=582 owd=440.301 ms
[1783337583.906815] seq=584 owd=440.417 ms
[1783337584.046720] seq=591 owd=440.326 ms
[1783337584.306712] seq=604 owd=440.269 ms
[1783337584.426766] seq=610 owd=440.388 ms
[1783337584.846911] seq=631 owd=440.507 ms
[1783337584.866831] seq=632 owd=440.440 ms
[1783337585.226821] seq=650 owd=440.430 ms
[1783337585.306847] seq=654 owd=440.447 ms
[1783337585.426747] seq=660 owd=440.343 ms
[1783337585.486757] seq=663 owd=440.379 ms
[1783337585.706624] seq=674 owd=440.227 ms
[1783337585.806661] seq=679 owd=440.264 ms
[1783337585.826754] seq=680 owd=440.346 ms
[1783337586.166803] seq=697 owd=440.409 ms
[1783337586.226760] seq=700 owd=440.362 ms
[1783337586.586976] seq=718 owd=440.553 ms
[1783337586.606890] seq=719 owd=440.512 ms
[1783337586.626830] seq=720 owd=440.432 ms
[1783337586.886715] seq=733 owd=440.316 ms
[1783337586.926619] seq=735 owd=440.227 ms
[1783337587.026462] seq=740 owd=440.065 ms
[1783337587.226769] seq=750 owd=440.369 ms
[1783337587.366765] seq=757 owd=440.370 ms
[1783337587.847116] seq=781 owd=440.717 ms
[1783337587.906879] seq=784 owd=440.487 ms
[1783337587.946805] seq=786 owd=440.403 ms
[1783337587.966686] seq=787 owd=440.301 ms
[1783337588.006611] seq=789 owd=440.214 ms
[1783337588.026543] seq=790 owd=440.139 ms
[1783337588.446927] seq=811 owd=440.528 ms
[1783337588.727016] seq=825 owd=440.606 ms
[1783337589.307067] seq=854 owd=440.653 ms
[1783337589.527057] seq=865 owd=440.664 ms
[1783337589.626763] seq=870 owd=440.341 ms
[1783337589.706739] seq=874 owd=440.339 ms
[1783337589.946768] seq=886 owd=440.377 ms
[1783337590.026885] seq=890 owd=440.471 ms
[1783337590.226775] seq=900 owd=440.375 ms
[1783337590.306771] seq=904 owd=440.366 ms
[1783337590.346678] seq=906 owd=440.277 ms
[1783337590.426734] seq=910 owd=440.325 ms
[1783337590.606621] seq=919 owd=440.238 ms
[1783337590.726538] seq=925 owd=440.156 ms
[1783337590.786691] seq=928 owd=440.304 ms
[1783337590.926731] seq=935 owd=440.332 ms
[1783337591.166656] seq=947 owd=440.258 ms
[1783337591.266958] seq=952 owd=440.561 ms
[1783337591.286809] seq=953 owd=440.404 ms
[1783337591.586841] seq=968 owd=440.440 ms
[1783337612.086646] seq=2015 owd=0.141 ms
[1783337612.121487] seq=2016 owd=15.073 ms
[1783337612.252947] seq=2017 owd=126.534 ms
[1783337612.384442] seq=2018 owd=238.036 ms
[1783337612.515893] seq=2019 owd=349.494 ms
[1783337612.626770] seq=2020 owd=440.373 ms
[1783337612.706629] seq=2024 owd=440.230 ms
[1783337612.826756] seq=2030 owd=440.317 ms
[1783337612.946603] seq=2036 owd=440.202 ms
[1783337613.066556] seq=2042 owd=440.155 ms
