time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,788879271,140881984,76223402
2,1005548314,163387828,81680426
3,1004511980,163234362,81626316
4,1005055725,163334091,81653719
5,1003876778,163117940,81563524
6,1005923298,163452057,81726055
7,1004100483,163198597,81599391
8,1004270403,163153514,81581418
9,1004921436,163307384,81644978
10,1004912426,163280784,81653826
11,1005082593,163325243,81653826
12,1004055669,163144674,81572471
13,1004297245,163198626,81599367
14,1005118472,163325296,81662729
15,1004216720,163189572,81590527
16,1005216936,163334145,81671631
17,1004670687,163262788,81627035
18,1004867699,163271505,81644709
19,1005118418,163333930,81662836
20,1004697478,163271559,81626958
21,1018974,169829,89383
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,77,77,77
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,77,77,77
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,699991054,129905751,65601713
42,1005575237,163388097,81698607
43,1003814093,163135996,81563524
44,1005440840,163361282,81680641
45,1004341982,163207520,81599313
46,1004118473,163171743,81590485
47,1005333366,163352219,81689436
48,1004634784,163253378,81617840
49,1004697478,163253808,81626904
50,1005082593,163325189,81653772
51,1004037828,163162784,81581526
52,1005279629,163352488,81680749
53,1004787039,163262442,81627119
54,1004174898,163161431,81598646
55,1005064735,163334037,81644709
56,1004706511,163271583,81644948
57,1004762503,163261096,81635263
58,1004518354,163226778,81599874
59,1005421252,163380606,81699322
60,937647608,170045294,111819703
61,0,0,1314
62,0,0,0
63,0,0,0
