# OWD receiver: AF43  port=5003
[1783337657.418616] seq=1 owd=0.086 ms
[1783337657.505412] seq=2 owd=66.856 ms
[1783337657.636906] seq=3 owd=178.349 ms
[1783337657.768370] seq=4 owd=289.816 ms
[1783337657.899874] seq=5 owd=401.308 ms
[1783337658.038916] seq=10 owd=440.371 ms
[1783337658.119019] seq=14 owd=440.470 ms
[1783337658.779211] seq=47 owd=440.666 ms
[1783337658.959198] seq=56 owd=440.636 ms
[1783337659.038931] seq=60 owd=440.380 ms
[1783337659.058966] seq=61 owd=440.414 ms
[1783337659.158789] seq=66 owd=440.236 ms
[1783337659.318753] seq=74 owd=440.182 ms
[1783337659.759208] seq=96 owd=440.671 ms
[1783337659.839071] seq=100 owd=440.516 ms
[1783337659.939015] seq=105 owd=440.466 ms
[1783337660.479221] seq=132 owd=440.668 ms
[1783337660.619151] seq=139 owd=440.603 ms
[1783337660.638921] seq=140 owd=440.369 ms
[1783337660.838917] seq=150 owd=440.366 ms
[1783337661.038912] seq=160 owd=440.353 ms
[1783337661.118914] seq=164 owd=440.362 ms
[1783337661.138828] seq=165 owd=440.248 ms
[1783337661.238861] seq=170 owd=440.305 ms
[1783337661.258686] seq=171 owd=440.131 ms
[1783337661.418775] seq=179 owd=440.208 ms
[1783337661.518705] seq=184 owd=440.148 ms
[1783337661.778968] seq=197 owd=440.420 ms
[1783337661.818922] seq=199 owd=440.372 ms
[1783337661.838923] seq=200 owd=440.372 ms
[1783337662.038853] seq=210 owd=440.300 ms
[1783337662.098607] seq=213 owd=440.054 ms
[1783337662.378975] seq=227 owd=440.420 ms
[1783337662.539146] seq=235 owd=440.595 ms
[1783337662.578973] seq=237 owd=440.417 ms
[1783337662.838932] seq=250 owd=440.376 ms
[1783337663.119154] seq=264 owd=440.595 ms
[1783337663.319024] seq=274 owd=440.477 ms
[1783337663.418974] seq=279 owd=440.419 ms
[1783337663.739052] seq=295 owd=440.498 ms
[1783337663.799118] seq=298 owd=440.568 ms
[1783337663.838925] seq=300 owd=440.365 ms
[1783337664.038847] seq=310 owd=440.268 ms
[1783337664.058851] seq=311 owd=440.263 ms
[1783337664.178629] seq=317 owd=440.068 ms
[1783337664.458958] seq=331 owd=440.369 ms
[1783337664.679122] seq=342 owd=440.569 ms
[1783337665.039206] seq=360 owd=440.639 ms
[1783337665.239081] seq=370 owd=440.524 ms
[1783337665.278915] seq=372 owd=440.337 ms
[1783337665.378945] seq=377 owd=440.392 ms
[1783337665.438657] seq=380 owd=440.109 ms
[1783337665.518848] seq=384 owd=440.297 ms
[1783337665.538691] seq=385 owd=440.153 ms
[1783337665.638569] seq=390 owd=440.009 ms
[1783337665.958873] seq=406 owd=440.285 ms
[1783337666.039029] seq=410 owd=440.475 ms
[1783337666.238982] seq=420 owd=440.423 ms
[1783337666.318905] seq=424 owd=440.359 ms
[1783337666.398737] seq=428 owd=440.194 ms
[1783337666.438754] seq=430 owd=440.202 ms
[1783337666.578677] seq=437 owd=440.124 ms
[1783337666.638643] seq=440 owd=440.073 ms
[1783337666.939007] seq=455 owd=440.453 ms
[1783337667.259072] seq=471 owd=440.520 ms
[1783337667.439125] seq=480 owd=440.557 ms
[1783337667.638969] seq=490 owd=440.415 ms
[1783337667.658774] seq=491 owd=440.223 ms
[1783337667.739019] seq=495 owd=440.472 ms
[1783337667.838679] seq=500 owd=440.122 ms
[1783337668.159099] seq=516 owd=440.544 ms
[1783337668.319064] seq=524 owd=440.513 ms
[1783337668.419096] seq=529 owd=440.515 ms
[1783337668.458751] seq=531 owd=440.194 ms
[1783337668.498805] seq=533 owd=440.269 ms
[1783337668.638845] seq=540 owd=440.288 ms
[1783337668.919037] seq=554 owd=440.487 ms
[1783337669.239087] seq=570 owd=440.551 ms
[1783337669.439175] seq=580 owd=440.594 ms
[1783337669.778965] seq=597 owd=440.418 ms
[1783337670.239080] seq=620 owd=440.532 ms
[1783337670.299228] seq=623 owd=440.662 ms
[1783337670.359142] seq=626 owd=440.601 ms
[1783337670.398842] seq=628 owd=440.273 ms
[1783337670.438916] seq=630 owd=440.348 ms
[1783337670.638718] seq=640 owd=440.152 ms
[1783337670.658560] seq=641 owd=440.010 ms
[1783337670.678584] seq=642 owd=440.042 ms
[1783337670.838625] seq=650 owd=440.091 ms
[1783337670.918742] seq=654 owd=440.190 ms
[1783337670.938664] seq=655 owd=440.124 ms
[1783337671.218966] seq=669 owd=440.416 ms
[1783337671.239080] seq=670 owd=440.530 ms
[1783337671.278788] seq=672 owd=440.222 ms
[1783337671.759253] seq=696 owd=440.717 ms
