time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,678952886,123047071,67307248
2,1004975119,163298667,81644762
3,1003948302,163136157,81572471
4,1005788821,163416412,81717198
5,1003688831,163108993,81554899
6,1004715444,163262442,81626796
7,1004679565,163262657,81627011
8,1004966163,163298374,81644709
9,1004804952,163280515,81644978
10,1005109462,163316340,81662782
11,1003814224,163109231,81554708
12,1005216936,163360960,81671739
13,1004699872,163261150,81634995
14,1004145142,163162730,81581741
15,1005369245,163370077,81680533
16,1004494085,163216413,81617422
17,1004885557,163298374,81644870
18,1004401924,163199964,81591241
19,1004769127,163271452,81644709
20,993439565,161435490,80722276
21,77,77,77
22,0,0,0
23,210073341,50757988,24712449
24,1004073617,163162676,81572579
25,1004670609,163244745,81627011
26,1003993038,163189679,81590204
27,1005763262,163369862,81689597
28,1003495636,163089870,81545069
29,1005763262,163423868,81707509
30,1004491486,163217661,81617840
31,1004930416,163307193,81653743
32,1005207980,163343209,81662782
33,1004590057,163244583,81626743
34,1004679565,163235842,81617936
35,1003840935,163153890,81572525
36,1005118418,163307492,81653826
37,1004804952,163271559,81635752
38,1004455715,163217876,81609045
39,1004661653,163244529,81627011
40,1004822864,163298470,81644709
41,1003697856,163100123,81545707
42,996001031,198917406,126622944
43,1004616926,163253486,81627119
44,1004625828,163253754,81617894
45,1004939294,163316394,81653719
46,1004975161,163298535,81653880
47,1004279404,163180517,81590688
48,1004001986,163144674,81572632
49,1005127374,163316233,81663105
50,1005118418,163334091,81671900
51,1003957327,163135912,81563655
52,1004607970,163244529,81617948
53,1005154243,163325243,81662944
54,1004670609,163271721,81644816
55,1004467243,163216467,81608153
56,1004966163,163307276,81635752
57,1004554233,163217607,81618001
58,1004625828,163253647,81626743
59,1005243804,163360852,81680695
60,1004162821,163153836,81581418
61,66341976,28657873,41118055
62,0,0,0
63,0,0,0
