time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,714550178,128755868,70187064
2,1005557270,163396838,81689758
3,1003849882,163118101,81572686
4,1004616926,163244691,81618324
5,1005413972,163379033,81689758
6,1004903553,163289406,81645061
7,1004607916,163253647,81627065
8,1003921514,163135858,81554415
9,1005190145,163325105,81671762
10,1004395665,163225414,81608583
11,1005234848,163334360,81680802
12,1004091458,163153783,81572847
13,1004652750,163253862,81617948
14,1004625828,163262442,81635860
15,1005421252,163362622,81681553
16,1004028827,163163106,81572579
17,1004688521,163235896,81626796
18,1004894645,163307408,81653689
19,1004297245,163189787,81590419
20,1005501938,163389517,81699483
21,1004795996,163280677,81636021
22,1004350983,163198519,81599259
23,1004948250,163289364,81644762
24,1004189878,163180571,81599259
25,1004697478,163262657,81626958
26,1004795996,163271398,81644924
27,1004679619,163253593,81627065
28,1004742336,163271637,81635669
29,1004207773,163171408,81581365
30,1005207980,163361013,81680587
31,1004939294,163298266,81636021
32,1003984145,163136049,81572471
33,1004681978,163261580,81626101
34,1005136330,163316125,81662729
35,1004876601,163298105,81644816
36,1003715727,163099938,81545844
37,1006039844,163479114,81753004
38,1003930485,163136234,81564139
39,1005297541,163334306,81671792
40,1004154089,163198626,81581514
41,1004715444,163244583,81636129
42,1004520927,163216306,81608153
43,1004446705,163226778,81608992
44,1004995132,163306143,81662105
45,1004813962,163280462,81636129
46,1005001988,163289579,81653719
47,1003751462,163118047,81554684
48,1005172233,163343663,81662968
49,1004921382,163289472,81654041
50,1004368877,163216306,81599367
51,1005573659,163389571,81699268
52,1004652739,163253593,81626958
53,1003939355,163118047,81563739
54,1004787039,163289472,81627011
55,1004993085,163334145,81680802
56,1004849733,163253754,81626850
57,1004708819,163261365,81635102
58,1004046800,163162646,81581980
59,1005109515,163316233,81662998
60,1004697209,163280515,81617733
61,30677801,23500290,38212952
62,0,0,0
63,0,0,0
