size_B,offered_pps,offered_bps,lost_percent,jitter_ms,actual_pps
1400,500,5600000,0.000,0.030,500
1400,1000,11200000,0.010,0.035,1000
1400,2000,22400000,0.040,0.011,2000
1400,3000,33600000,0.023,0.022,3000
1400,4500,50400000,0.073,0.012,4500
1400,7000,78400000,0.039,0.010,7000
1400,11000,123200000,0.125,0.007,11001
1400,16000,179200000,0.506,0.019,16001
1400,20000,224000000,1.591,0.016,19999
1400,26000,291200000,0.704,0.033,25999
1400,34000,380800000,6.092,0.064,33972
1400,44000,492800000,15.096,0.019,43998
200,2000,3200000,0.000,0.006,2000
200,5000,8000000,0.014,0.005,5000
200,10000,16000000,0.080,0.028,10000
200,16000,25600000,0.183,0.027,16001
200,22000,35200000,1.305,0.023,21998
200,30000,48000000,3.013,0.025,29999
200,40000,64000000,12.673,0.014,39998
200,55000,88000000,39.257,0.076,53919
700,10000,56000000,0.038,0.027,10000
700,14000,78400000,0.144,0.027,13998
700,18000,100800000,0.851,0.007,17999
700,22000,123200000,1.225,0.018,21999
700,28000,156800000,2.342,0.025,27998
