agg_offered_M,flow,offered_bps,lost_percent,jitter_ms,rx_Mbps
30,Tx1,10000000,0.000,0.030,10.00
30,Tx2,10000000,0.000,0.035,10.00
30,Tx3,10000000,0.000,0.023,10.00
60,Tx1,20000000,0.000,0.011,20.00
60,Tx2,20000000,0.000,0.011,20.00
60,Tx3,20000000,0.039,0.148,19.99
90,Tx1,30000000,0.030,0.032,29.99
90,Tx2,30000000,0.000,0.025,29.99
90,Tx3,30000000,0.000,0.048,30.00
150,Tx1,50000000,0.011,0.018,49.99
150,Tx2,50000000,0.022,0.034,49.98
150,Tx3,50000000,0.013,0.032,49.99
240,Tx1,80000000,0.139,0.016,79.88
240,Tx2,80000000,0.315,0.011,79.74
240,Tx3,80000000,0.070,0.035,79.94
300,Tx1,100000000,0.412,0.106,99.59
300,Tx2,100000000,0.421,0.015,99.58
300,Tx3,100000000,0.319,0.028,99.69
360,Tx1,120000000,3.714,0.033,115.55
360,Tx2,120000000,3.706,0.031,115.54
360,Tx3,120000000,3.862,0.082,115.34
420,Tx1,140000000,44.262,0.059,78.03
420,Tx2,140000000,44.171,0.073,76.58
420,Tx3,140000000,44.090,0.123,78.22
