# OWD receiver: AF43  port=5003
[1784201454.834952] seq=1 owd=0.300 ms
[1784201454.996174] seq=2 owd=141.489 ms
[1784201455.237661] seq=3 owd=362.957 ms
[1784201455.479000] seq=4 owd=584.336 ms
[1784201455.720881] seq=5 owd=806.204 ms
[1784201455.994321] seq=14 owd=899.641 ms
[1784201456.054187] seq=17 owd=899.508 ms
[1784201456.293962] seq=29 owd=899.281 ms
[1784201456.554078] seq=42 owd=899.370 ms
[1784201456.814119] seq=55 owd=899.435 ms
[1784201457.374639] seq=83 owd=899.970 ms
[1784201457.794626] seq=104 owd=899.948 ms
[1784201458.974899] seq=163 owd=900.242 ms
[1784201459.074625] seq=168 owd=899.921 ms
[1784201459.354517] seq=182 owd=899.802 ms
[1784201460.595015] seq=244 owd=900.309 ms
[1784201461.034924] seq=266 owd=900.245 ms
[1784201461.434565] seq=286 owd=899.886 ms
[1784201461.674609] seq=298 owd=899.925 ms
[1784201461.774329] seq=303 owd=899.654 ms
[1784201461.894170] seq=309 owd=899.493 ms
[1784201461.953999] seq=312 owd=899.317 ms
[1784201462.113967] seq=320 owd=899.288 ms
[1784201462.133681] seq=321 owd=898.992 ms
[1784201462.153574] seq=322 owd=898.910 ms
[1784201462.193558] seq=324 owd=898.868 ms
[1784201462.312843] seq=330 owd=898.151 ms
[1784201462.913900] seq=360 owd=899.208 ms
[1784201463.034174] seq=366 owd=899.480 ms
[1784201463.114375] seq=370 owd=899.657 ms
[1784201463.494574] seq=389 owd=899.912 ms
[1784201463.934630] seq=411 owd=899.940 ms
[1784201463.954649] seq=412 owd=899.951 ms
[1784201464.034605] seq=416 owd=899.907 ms
[1784201464.293953] seq=429 owd=899.243 ms
[1784201464.834570] seq=456 owd=899.892 ms
[1784201464.914383] seq=460 owd=899.693 ms
[1784201465.154470] seq=472 owd=899.781 ms
[1784201465.254327] seq=477 owd=899.650 ms
[1784201465.634235] seq=496 owd=899.561 ms
[1784201465.774158] seq=503 owd=899.471 ms
[1784201465.793922] seq=504 owd=899.242 ms
[1784201465.893872] seq=509 owd=899.141 ms
[1784201465.993545] seq=514 owd=898.865 ms
[1784201466.013452] seq=515 owd=898.776 ms
[1784201466.593823] seq=544 owd=899.108 ms
[1784201466.734065] seq=551 owd=899.383 ms
[1784201466.814089] seq=555 owd=899.385 ms
[1784201466.914437] seq=560 owd=899.750 ms
[1784201467.074117] seq=568 owd=899.439 ms
[1784201467.193861] seq=574 owd=899.183 ms
[1784201467.253792] seq=577 owd=899.113 ms
[1784201467.433479] seq=586 owd=898.757 ms
[1784201467.693561] seq=599 owd=898.894 ms
[1784201468.554649] seq=642 owd=899.992 ms
[1784201468.734686] seq=651 owd=900.009 ms
[1784201468.954503] seq=662 owd=899.826 ms
[1784201469.014352] seq=665 owd=899.665 ms
[1784201469.074103] seq=668 owd=899.414 ms
[1784201469.274035] seq=678 owd=899.351 ms
[1784201469.373577] seq=683 owd=898.893 ms
[1784201469.473593] seq=688 owd=898.910 ms
[1784201469.533625] seq=691 owd=898.949 ms
[1784201469.693513] seq=699 owd=898.842 ms
[1784201470.013861] seq=715 owd=899.179 ms
[1784201470.053764] seq=717 owd=899.092 ms
[1784201470.514201] seq=740 owd=899.525 ms
