time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,788450720,74080204,41782172
2,1004811855,79901376,39950822
3,1005852824,80005782,40016298
4,1004270403,79890332,39940638
5,1004225667,79863544,39922851
6,1004966324,79943047,39971625
7,1004876655,79925338,39962561
8,1004822864,79916436,39953982
9,1004717767,79908226,39958694
10,1004995132,79935122,39976589
11,1003772725,79828848,39910089
12,1004923554,79944015,39967749
13,1005093552,79935122,39976750
14,1004377771,79890386,39931745
15,1005243858,79952045,39980796
16,1003903643,79836833,39923036
17,1005019900,79943143,39971733
18,1005118418,79934025,39971571
19,1003231334,79821010,39915104
20,990528754,90475659,45238071
21,0,6203228,29863308
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,77,77,77
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,41,0
33,0,0,0
34,0,0,0
35,0,0,0
36,77,77,77
37,0,0,0
38,0,0,0
39,0,0,0
40,48387016,19925609,9967305
41,1019629339,79927117,39963719
42,1005612493,79988913,39994429
43,1005279629,79969743,39980635
44,1004670663,79925069,39953659
45,1004270403,79854704,39931960
46,1004351006,79872610,39940919
47,1004851976,79926443,39967426
48,1004805005,79916167,39962615
49,1003844178,79855664,39919027
50,1005675124,79988752,39994483
51,1003969316,79864656,39927805
52,1005371012,79952963,39976481
53,1004503032,79890439,39958694
54,1004022946,79864709,39927805
55,1005147235,79935014,39967695
56,1005020031,79961402,39971595
57,1004279351,79863490,39931745
58,1005335128,79961856,39985590
59,1004860923,79917281,39958801
60,901619467,90270809,72018003
61,0,0,0
62,0,0,0
63,0,0,0
