# OWD receiver: AF41  port=5001
[1784201531.284127] seq=1 owd=0.155 ms
[1784201531.304147] seq=2 owd=0.148 ms
[1784201531.324268] seq=3 owd=0.152 ms
[1784201531.344206] seq=4 owd=0.196 ms
[1784201531.364165] seq=5 owd=0.165 ms
[1784201531.384265] seq=6 owd=0.246 ms
[1784201531.404243] seq=7 owd=0.200 ms
[1784201531.424217] seq=8 owd=0.222 ms
[1784201531.444215] seq=9 owd=0.215 ms
[1784201531.464178] seq=10 owd=0.174 ms
[1784201531.484162] seq=11 owd=0.186 ms
[1784201531.504188] seq=12 owd=0.184 ms
[1784201531.524172] seq=13 owd=0.170 ms
[1784201531.544159] seq=14 owd=0.159 ms
[1784201531.564196] seq=15 owd=0.158 ms
[1784201531.584160] seq=16 owd=0.162 ms
[1784201531.604147] seq=17 owd=0.149 ms
[1784201531.624134] seq=18 owd=0.142 ms
[1784201531.644194] seq=19 owd=0.187 ms
[1784201531.664176] seq=20 owd=0.175 ms
[1784201531.684195] seq=21 owd=0.195 ms
[1784201531.704185] seq=22 owd=0.180 ms
[1784201531.724197] seq=23 owd=0.182 ms
[1784201531.744157] seq=24 owd=0.155 ms
[1784201531.764182] seq=25 owd=0.174 ms
[1784201531.784151] seq=26 owd=0.159 ms
[1784201531.804161] seq=27 owd=0.156 ms
[1784201531.824125] seq=28 owd=0.128 ms
[1784201531.844144] seq=29 owd=0.145 ms
[1784201531.864149] seq=30 owd=0.154 ms
[1784201531.884162] seq=31 owd=0.165 ms
[1784201531.904140] seq=32 owd=0.141 ms
[1784201531.924133] seq=33 owd=0.134 ms
[1784201531.944138] seq=34 owd=0.140 ms
[1784201531.964140] seq=35 owd=0.125 ms
[1784201531.984167] seq=36 owd=0.140 ms
[1784201532.004129] seq=37 owd=0.130 ms
[1784201532.024174] seq=38 owd=0.175 ms
[1784201532.044130] seq=39 owd=0.121 ms
[1784201532.064164] seq=40 owd=0.150 ms
[1784201532.084171] seq=41 owd=0.168 ms
[1784201532.104165] seq=42 owd=0.163 ms
[1784201532.124188] seq=43 owd=0.183 ms
[1784201532.144194] seq=44 owd=0.152 ms
[1784201532.164194] seq=45 owd=0.180 ms
[1784201532.184121] seq=46 owd=0.144 ms
[1784201532.204137] seq=47 owd=0.140 ms
[1784201532.224151] seq=48 owd=0.120 ms
[1784201532.244118] seq=49 owd=0.127 ms
[1784201532.264138] seq=50 owd=0.135 ms
[1784201532.284164] seq=51 owd=0.165 ms
[1784201532.304171] seq=52 owd=0.167 ms
[1784201532.324158] seq=53 owd=0.157 ms
[1784201532.344188] seq=54 owd=0.127 ms
[1784201532.364189] seq=55 owd=0.202 ms
[1784201532.384175] seq=56 owd=0.169 ms
[1784201532.404209] seq=57 owd=0.207 ms
[1784201532.424165] seq=58 owd=0.163 ms
[1784201532.444184] seq=59 owd=0.180 ms
[1784201532.464182] seq=60 owd=0.182 ms
[1784201532.484193] seq=61 owd=0.190 ms
[1784201532.504172] seq=62 owd=0.147 ms
[1784201532.524128] seq=63 owd=0.139 ms
[1784201532.544199] seq=64 owd=0.194 ms
[1784201532.564212] seq=65 owd=0.167 ms
[1784201532.584255] seq=66 owd=0.214 ms
[1784201532.604206] seq=67 owd=0.175 ms
[1784201532.624256] seq=68 owd=0.253 ms
[1784201532.644169] seq=69 owd=0.154 ms
