time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,734864830,69633424,39880190
2,1005476665,79978914,39980527
3,1004404612,79881331,39940638
4,1004995132,79934961,39976481
5,1004109406,79872652,39940746
6,1005245655,79943896,39967534
7,1004022946,79855717,39927954
8,1005413972,79978860,39980420
9,1004957338,79943005,39971864
10,1003593904,79802355,39910035
11,1004932501,79944069,39967641
12,1004762503,79917227,39958855
13,1004670663,79916113,39953766
14,1001321000,79638579,39810306
15,1004201713,79864602,39936636
16,1004822864,79934025,39971625
17,1004136195,79854704,39931799
18,1004690979,79917227,39958748
19,1005172233,79961187,39980605
20,984076376,93365341,46678089
21,0,2776414,28221069
22,0,0,0
23,41,0,0
24,793447633,77533770,38252039
25,1004028827,79854597,39931906
26,1005136384,79943197,39971625
27,1004279351,79899387,39940746
28,1004795996,79898308,39953766
29,1005172233,79952015,39989669
30,1004163036,79872545,39931852
31,1005243858,79952153,39971571
32,1004341982,79890589,39940853
33,1005055725,79934133,39971571
34,1004619347,79908173,39949639
35,1004109406,79854758,39940746
36,1003957249,79854489,39922798
37,1005397759,79961856,39976374
38,1005216936,79961055,39980527
39,1003424206,79820029,39910059
40,1006112553,80023641,40007611
41,994693430,79137033,39550739
42,1004885557,79898362,39962507
43,1004366099,79889406,39935681
44,1004180985,79881492,39931745
45,1004724346,79916059,39953659
46,1005100505,79942928,39989591
47,961421239,102593364,74667902
48,1014962384,79881331,39958640
49,1004503164,79908304,39940931
50,1004139145,79846725,39927805
51,1005637876,79996826,40007503
52,1004661653,79916059,39944756
53,1004939348,79934025,39962454
54,1004634784,79898201,39962615
55,1003808425,79828926,39910143
56,1005818280,79997645,40003538
57,1003867830,79863544,39922905
58,1005216936,79952099,39971840
59,1004984153,79934264,39971595
60,988819306,90368077,45184065
61,0,6166049,29894393
62,0,0,0
63,0,0,0
